# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.0, nsweeps=10, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-10T16:33:52.533]
10; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]; [0.0, 0.0, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.007142857142857143; -0.0018366096649300445; 0.9729333685093158; -0.013295815687512166; [0.00020404691631170646, 0.00040801055140748943, 0.0004081006239837759, 0.0004081006879708138, 0.00040810068801744315, 0.00040810068801699906, 0.0004081006879714799, 0.0004081006255030051, 0.000408010545232651, 0.00020404691551678678]; [0.028568508734311847, 2.913769975618944e-5, 2.904978042568123e-8]; [5.067955562755777e-13, 1.7151098357435247e-15, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.014285714285714285; -0.0073449344253142534; 0.9455282814983944; -0.026469829152011272; [0.0008157706543651111, 0.0016302096468212568, 0.0016316427940794576, 0.0016316468555519492, 0.001631646867557901, 0.001631646867558345, 0.001631646855929425, 0.0016316428883538237, 0.0016302092594890905, 0.0008157706018929733]; [0.05711939320589603, 0.0002326969152880059, 9.266739343338543e-7]; [6.418553487545584e-11, 8.673675493690067e-13, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.02142857142857143; -0.016520432448254407; 0.918546795031877; -0.039041718395747264; [0.0018339170241813418, 0.0036610996074168956, 0.0036682878120379847, 0.0036683334408524892, 0.003668333743277463, 0.003668333743325869, 0.00366833344977624, 0.0036682888330206165, 0.003661095339400955, 0.0018339163997240782]; [0.08563450296482762, 0.0007830644265306106, 6.999887739523288e-6]; [1.0772025648304206e-9, 3.265957379371809e-11, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.02857142857142857; -0.02935549940378568; 0.8917651772088714; -0.051122514446748896; [0.0032564190715165253, 0.006491538875690317, 0.006513991021370957, 0.006514269876776835, 0.006514276575386724, 0.006514275777284695, 0.0065142599059409, 0.006514015574228038, 0.0064915733701125244, 0.0032563971733522434]; [0.11409548564562388, 0.002028556382100658, 4.3538296952288926e-5]; [1.7879148896201534e-8, 6.9364533868945125e-9, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.03571428571428571; -0.04583980788154515; 0.8652280178138841; -0.06271708162961478; [0.005080553872293558, 0.010109131554068007, 0.010163281899935095, 0.010164377893215004, 0.01016440683447195, 0.010164406846413954, 0.010164377930789614, 0.010163281749009823, 0.010109131337163069, 0.005080553830223655]; [0.14248738198847, 0.003953342168455992, 0.00013250556690952786]; [7.486948992089161e-8, 5.28517488290562e-9, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.04285714285714286; -0.06595912153551901; 0.8389380597921915; -0.07381481452442311; [0.007302562519880262, 0.014497434741111093, 0.014607725827217255, 0.014610910719443204, 0.014611030661838553, 0.014611030715732776, 0.014610910853606995, 0.014607725190659782, 0.014497433836305307, 0.0073025623387652505]; [0.17078550661928477, 0.0067893374171914675, 0.0003255792694359901]; [2.592624984805069e-7, 3.0354783737548555e-8, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.05; -0.08969648115928817; 0.8129163073192041; -0.08440475906676274; [0.009918167584479387, 0.019637030985166115, 0.019837072738107864, 0.01984484927317043, 0.019845243173263194, 0.019845243369086107, 0.019844849653738894, 0.019837070584878935, 0.019637027971337373, 0.00991816694362524]; [0.19897102797649507, 0.01070240954937766, 0.0006932140158187487]; [7.322580862447555e-7, 1.24468624744002e-7, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.05714285714285714; -0.11703138934466642; 0.7871850746921519; -0.09447272280607746; [0.01292234286032734, 0.025505117130347088, 0.025838127557008983, 0.025854820572257964, 0.025855909298112323, 0.025855909879137995, 0.025854821451232635, 0.025838121372517397, 0.025505108661414422, 0.012922340954936051]; [0.2270218616358027, 0.01584001340822885, 0.001328126817840817]; [1.7780169785762604e-6, 4.0175320872981724e-7, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.06428571428571428; -0.14793990923556766; 0.7617666911056871; -0.10400593045274381; [0.016309417219379285, 0.03207584092465754, 0.03259467086337575, 0.03262715090181101, 0.03262987006167806, 0.032629870785899406, 0.032627154187596874, 0.03259468034046242, 0.0320758210524954, 0.01630941151059684]; [0.2549153323702714, 0.02235831678891882, 0.002360774627465751]; [3.996282207031089e-6, 1.159697969738421e-6, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.07142857142857142; -0.18239432702201164; 0.7366846763238862; -0.11298572557199504; [0.02007325003477667, 0.03932019859223734, 0.040086837846262435, 0.040145246247731636, 0.040151023311084666, 0.040151023160851285, 0.04014524464305702, 0.04008683308102312, 0.03932019712470192, 0.020073249039600727]; [0.28262513602908296, 0.030342961139932918, 0.003914939974911021]; [7.658313629470452e-6, 2.7375261637549607e-6, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.07857142857142857; -0.220363179219091; 0.711963450336027; -0.12139561237532759; [0.0242068093714235, 0.04720657088026381, 0.04829115494266345, 0.04838939564727829, 0.048401011717684295, 0.048401010994176374, 0.048389390735078974, 0.04829116205324113, 0.047206570768170586, 0.02420680724912927]; [0.310125011675337, 0.03993449111667945, 0.00618726531613215]; [1.4127107873688657e-5, 6.000360985241198e-6, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.08571428571428572; -0.2618108815692404; 0.6876281920107115; -0.1292176696568959; [0.02870289487208344, 0.05570041187226904, 0.05717982065075966, 0.0573362903772785, 0.05735766790583896, 0.05735766848718726, 0.057336290306990056, 0.05717981587093934, 0.05570041410258275, 0.02870289454028563]; [0.33738435687395363, 0.051169766458701416, 0.009321432348964053]; [2.4048010566233948e-5, 1.1779393558806235e-5, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.09285714285714286; -0.3066976346276311; 0.6637045509774513; -0.13643301056112972; [0.03355335855289465, 0.06476487588968016, 0.06672088074129312, 0.06695842789853246, 0.06699551237384016, 0.06699551344540011, 0.06695842758832482, 0.06672087185779274, 0.06476488102390454, 0.03355335821336425]; [0.3643713490841765, 0.06412340517904562, 0.013526138102560863]; [3.890253771819819e-5, 2.1653121078228997e-5, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.1; -0.35497932113841646; 0.6402186646436068; -0.14302266040152345; [0.038749826299386725, 0.07436084609587823, 0.07687798144297298, 0.07722414107626263, 0.0772848096149652, 0.07728481217259353, 0.07722408956880078, 0.07687798270314516, 0.07436085197042974, 0.038749825914407565]; [0.3910516296445893, 0.07882266206123767, 0.01904102948220045]; [5.9958193303156506e-5, 3.8515567896362754e-5, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.10714285714285714; -0.40660710550975665; 0.6171964327367521; -0.14896763345728103; [0.04428342162058674, 0.08444707026140463, 0.08761008315967111, 0.08809632873454265, 0.08819108999270209, 0.08819107916723312, 0.08809629551849674, 0.08761008068196419, 0.08444705029541, 0.044283420924875916]; [0.417387632018122, 0.09527432722214017, 0.026029544099202256]; [8.846110548660149e-5, 6.068018551266662e-5, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.11428571428571428; -0.4615271717964964; 0.5946632941575904; -0.15424961848343133; [0.050144363147612836, 0.09498028102204503, 0.09887160777586534, 0.0995326455133716, 0.09967390211862126, 0.09967392408099873, 0.09953270108376344, 0.0988716142903574, 0.09498020100768301, 0.050144323344197494]; [0.4433382675509675, 0.11347159820670201, 0.034669873995995755]; [0.00012538009215447786, 9.532481146355551e-5, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.12142857142857143; -0.5196808231115924; 0.5726439598966966; -0.1588510335693547; [0.05632257027562626, 0.10591555100300742, 0.1106126637207856, 0.11148497434182869, 0.11168733824795574, 0.1116873667220637, 0.11148506097993183, 0.11061259968467274, 0.10591551457183845, 0.05632262830085022]; [0.4688604677156918, 0.1333547792892448, 0.04511582918596018]; [0.0001713862786508015, 0.0001431533209654535, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
10; 0.12857142857142856; -0.5810037102725714; 0.5511609737394298; -0.16275621892718561; [0.0628068377927058, 0.11720595155352531, 0.12277839160635451, 0.12389898582218972, 0.12417798582007356, 0.12417803620768253, 0.12389910936620963, 0.12277836137400588, 0.11720592153400622, 0.06280678186030242]; [0.4939069538686732, 0.15481122825138016, 0.05748021342417903]; [0.0002265849692654499, 0.00020429580066566678, NaN]; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
