# J, K_∞, e_K_∞, chi2n
0.2571428571428571,0.7601461372913644,0.01276276130385446,0.00010648316291164349
0.2642857142857143,0.6762894153278524,0.011264066283911363,8.29434400812005e-5
0.2714285714285714,0.6135565034564616,0.009784997649963276,6.259117440322778e-5
0.2785714285714286,0.5666546088036228,0.008418205354252813,4.632662696154267e-5
0.2857142857142857,0.5313605488458194,0.007242581544439626,3.429086465648553e-5
0.29285714285714287,0.5044521836682042,0.006276293543013399,2.5751239834598333e-5
0.3,0.48347922827477174,0.005505355214406946,1.9813552048745403e-5
0.30714285714285716,0.4667942101422409,0.00490768861003943,1.5745108121628264e-5
0.3142857142857143,0.453201367640833,0.004447168251947112,1.2928816460677277e-5
0.32142857142857145,0.4418442126950573,0.004084382749527887,1.090547321586797e-5
0.32857142857142857,0.432137678117279,0.0038020990795280545,9.450145799390477e-6
0.3357142857142857,0.4236627135033698,0.0035724357016423407,8.342966328097545e-6
0.34285714285714286,0.4161443658870756,0.0033833704614201353,7.483258637592915e-6
0.35,0.40933933846385545,0.0032206943633114765,6.780952079484164e-6
