# Hubbard model DMRG. nmax=3, μ0=0.0.
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ [calculated 2025-02-06T12:59:07.776]
10; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0]
10; 0.025; -0.022481195085000127; 0.9052626859638809; 0.044754236422152274; [0.0024948162481825964, 0.004977142044195748, 0.00499041633907682, 0.0049905494396425, 0.004990551179729463, 0.00499055117972258, 0.00499054943948174, 0.004990416338654269, 0.004977142043975702, 0.002494816248035381]; [0.01120827261603174, 0.00017406985112249193]
10; 0.05; -0.08969648425043708; 0.8129434481574173; 0.08437098746727192; [0.009918176605659412, 0.019637032567091595, 0.01983706731651136, 0.01984485461109209, 0.019845250727282604, 0.01984525072739385, 0.019844854611377416, 0.019837067316727852, 0.01963703256728011, 0.009918176605750229]; [0.044329408343326236, 0.002705547336518799]
10; 0.075; -0.2009412080623063; 0.7243451756378452; 0.11725977519121983; [0.022094181519287326, 0.04318486561146062, 0.04410098747696867, 0.04417721598284863, 0.044185472049272034, 0.04418547204177714, 0.04417721596523383, 0.044100987467564634, 0.0431848656022662, 0.02209418151743392]; [0.09782862099910537, 0.013032210145552113]
10; 0.1; -0.35497538096589176; 0.6404207084722834; 0.1430243480263203; [0.03874849829783489, 0.07435715160127843, 0.07687184706780847, 0.07721659416420645, 0.07727719660443988, 0.07727719660930887, 0.0772165941638554, 0.07687184705742145, 0.07435715157791734, 0.03874849827767346]; [0.1690510744957265, 0.03830331134445745]
10; 0.125; -0.5499283764083853; 0.5623009620823884; 0.1609020331140496; [0.05951872981623785, 0.11149908978130063, 0.11661332282845516, 0.11759840887132422, 0.11783554948576636, 0.11783554946634744, 0.11759840890496198, 0.11661332285100334, 0.11149908978222323, 0.059518729819332594]; [0.25400485642283194, 0.0846506357431914]
10; 0.15; -0.7831792410467893; 0.49102294071037617; 0.17021319920622635; [0.08393420448657007, 0.1526442669064727, 0.16110157175581308, 0.1631353648077376, 0.16372984002267144, 0.16372984001872815, 0.16313536479837598, 0.1611015717560833, 0.1526442668991268, 0.08393420446888589]; [0.34702458637693057, 0.1538310204470906]
10; 0.175; -1.0512536157082137; 0.4271910243779178; 0.17067123139436746; [0.11132103811059357, 0.19557134006786514, 0.20751332792496746, 0.21077224872553857, 0.21183350774460052, 0.21183350774270515, 0.21077224869840006, 0.2075133279431549, 0.19557134006591603, 0.11132103812664929]; [0.44079583000334216, 0.24067257300493997]
10; 0.2; -1.3498456316214935; 0.3706508450438373; 0.16266408877184313; [0.14062796736765315, 0.23790626949158677, 0.2527862739455773, 0.2570564984828345, 0.2585171560676618, 0.25851715608538184, 0.2570564985248074, 0.2527862739383129, 0.23790626960464412, 0.14062796731956695]; [0.5276923481608037, 0.33403839293450627]
10; 0.225; -1.6741130492584926; 0.32044244304864367; 0.14728789253910857; [0.17038602836199213, 0.27747771280245237, 0.2943495777360017, 0.2991600512753423, 0.30082383696981996, 0.30082383722218653, 0.29916005179546046, 0.29434957834392206, 0.27747771290713685, 0.1703860272544404]; [0.6022983000129477, 0.4220964376866377]
10; 0.25; -2.019229463134277; 0.2751313721491562; 0.12604339570891288; [0.199042743616757, 0.31284690363561096, 0.330813104907522, 0.3357065738069076, 0.3373776551582035, 0.3373776553525014, 0.3357065742492691, 0.3308131051004142, 0.31284690354306943, 0.19904274286168588]; [0.6629614867243189, 0.4976189523650357]
10; 0.275; -2.3809147103889527; 0.2332654023477474; 0.10041981604201222; [0.22543071728943853, 0.3435307030481045, 0.3620152581310774, 0.36670596674581457, 0.36826371379175726, 0.36826371429804006, 0.3667059680652429, 0.36201525893991193, 0.3435307030836141, 0.225430715906193]; [0.7110268152626552, 0.5589486060693611]
10; 0.3; -2.755692273423885; 0.19366212076707345; 0.07163591026757654; [0.24895823220905844, 0.3697657657914881, 0.38853446225946353, 0.392909762262849, 0.3943079040311328, 0.39430790636894275, 0.3929097682204201, 0.388534467745153, 0.369765766098217, 0.24895822801272927]; [0.749040727557371, 0.6077357122874002]
10; 0.325; -3.1408783081991567; 0.1554756396347936; 0.04058485901626385; [0.26950342167367414, 0.3921269596883743, 0.41118275425126916, 0.4152400588624987, 0.41647726778561767, 0.4164772690590408, 0.41524006198239194, 0.4111827565329287, 0.39212696037044026, 0.26950341969262226]; [0.7794896993641764, 0.6466106202934465]
10; 0.35; -3.534441926933921; 0.11814372862317502; 0.00788750321494236; [0.28722073568645, 0.4112564941085062, 0.43072642675846673, 0.43451435551377515, 0.4356086802193724, 0.4356086847127336, 0.4345143671409717, 0.4307264380415483, 0.41125649628915406, 0.2872207313495364]; [0.8043414089954304, 0.6780027315670069]
20; 0.0; 0.0; 1.0; 0.0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0]
20; 0.025; -0.047465496293924936; 0.903673752989419; 0.04461566788026812; [0.002494816248185039, 0.004977142044196192, 0.004990416339079484, 0.004990549439649605, 0.0049905511801384694, 0.004990551205748872, 0.004990551206150773, 0.004990551206156546, 0.004990551206157434, 0.004990551206156546, 0.004990551206156768, 0.004990551206156102, 0.004990551206154992, 0.0049905512061492185, 0.004990551205747762, 0.0049905511801291436, 0.004990549439488845, 0.004990416338654935, 0.004977142043976146, 0.002494816248036269]; [0.011208272663061503, 0.00017406995715576944, 2.966282405627335e-6, 5.136409565318125e-8, 8.914399178696118e-10]
20; 0.05; -0.18944176106847355; 0.8068739934657718; 0.08698243251010501; [0.009918176605695161, 0.019637032567551005, 0.019837067323154045, 0.019844854709967885, 0.019845252247228995, 0.019845275188508538, 0.019845276609653517, 0.01984527670190328, 0.019845276708089665, 0.019845276708512438, 0.01984527670851377, 0.019845276708090775, 0.0198452767019055, 0.019845276609671725, 0.019845275188602907, 0.01984525224743483, 0.01984485471027342, 0.019837067323373647, 0.019637032567737966, 0.009918176605782869]; [0.04432945446333075, 0.002705640632216207, 0.00018521466441365103, 1.329013759303663e-5, 9.726525382676563e-7]
20; 0.075; -0.4246217916041979; 0.7133366182876032; 0.12311332669322927; [0.022094181594685236, 0.04318486611659034, 0.044100990872058654, 0.044177239210610564, 0.04418563607623871, 0.0441866846819694, 0.0441868254760962, 0.044186845305659084, 0.04418684819337382, 0.044186848614790275, 0.04418684861471123, 0.04418684819297858, 0.044186845304250655, 0.0441868254715454, 0.044186684671771115, 0.044185636058675426, 0.04417723918807548, 0.04410099086104635, 0.043184866107069286, 0.022094181592784645]; [0.09783107809986513, 0.013037234134383366, 0.0019455726370504545, 0.00030476939226175897, 4.878844259357769e-5]
20; 0.1; -0.7506734527495018; 0.623756932774614; 0.15268308866593283; [0.03874851310922578, 0.074357210268015, 0.07687208199001527, 0.07721754593528463, 0.07728116626490489, 0.07729451431054546, 0.07729753215524515, 0.07729824885412517, 0.07729842447649382, 0.07729846604191826, 0.07729846603939983, 0.07729842446745039, 0.07729824883338754, 0.07729753214710322, 0.07729451429156087, 0.07728116625085835, 0.07721754593574559, 0.07687208198360085, 0.07435721024204667, 0.03874851308781746]; [0.1690892930479867, 0.03838324478751774, 0.009726301963090288, 0.0025914047821936864, 0.0007097776969045292]
20; 0.125; -1.164014090153736; 0.5392857696904567; 0.17468968552592234; [0.059519414020724914, 0.11150092291335789, 0.11661840304473658, 0.1176125718274239, 0.11787599289173678, 0.11795601745512885, 0.11798229083846135, 0.11799135235466673, 0.11799454470808923, 0.117995573112474, 0.11799557312149411, 0.1179945447304005, 0.11799135238625813, 0.11798229088080747, 0.11795601749653639, 0.11787599288911044, 0.11761257187057206, 0.11661840306888505, 0.1115009229203272, 0.05951941404211347]; [0.254294122602058, 0.0852726607207338, 0.03178275925246668, 0.012432240486241747, 0.0049970661351073]
20; 0.15; -1.6595174210861656; 0.4612106452312976; 0.18791068069109085; [0.08394610256991075, 0.15266758817152004, 0.16115082129176095, 0.1632400501657929, 0.16395673594086002, 0.16424076851356184, 0.1643626968053582, 0.16441745146570796, 0.16444206686797846, 0.1644516225556778, 0.16445162257089718, 0.16444206691825536, 0.16441745154253828, 0.16436269687765548, 0.16424076860032177, 0.16395673599814597, 0.16324005022190557, 0.1611508213475421, 0.15266758822323934, 0.08394610262296698]; [0.3483306829974611, 0.15675089927989433, 0.07793602547994609, 0.040538375130550156, 0.021600186645361074]
20; 0.175; -2.2302065665380675; 0.3908567273879173; 0.191494228102552; [0.11142019938429348, 0.1957204873522107, 0.20776931839912693, 0.21121902240459378, 0.2126282967715729, 0.2132983118658609, 0.21364306550706114, 0.21382684364555504, 0.21392258776490714, 0.2139637823952809, 0.21396378236359093, 0.2139225876767703, 0.2138268439030313, 0.2136430656215107, 0.21329831193385695, 0.21262829706448816, 0.21121902274031124, 0.20776931865447357, 0.19572048753556137, 0.11142019957616656]; [0.4446085005031772, 0.24965962281091522, 0.15363779493968652, 0.09840586549827222, 0.06425241882193966]
20; 0.2; -2.8670666125500066; 0.32915136353651064; 0.18488829398648932; [0.14108148604300275, 0.23844447748580921, 0.2535700954942446, 0.2582418624509908, 0.2603559116216734, 0.26147595463415896, 0.26211590154824504, 0.2624907082728529, 0.2627013472209341, 0.2627965871844178, 0.2627965876765206, 0.26270134769366704, 0.2624907089259554, 0.2621159036733758, 0.26147595515711153, 0.2603559100470496, 0.2582418601074772, 0.2535700911057963, 0.23844447618089393, 0.14108148362667006]; [0.5350952886428589, 0.3528285082232291, 0.2524595880368313, 0.18680731204172546, 0.14014683249924337]
20; 0.225; -3.5592988266139405; 0.2757414437883141; 0.16873161776024137; [0.17164104395764046, 0.27866744787738096, 0.29586103694118404, 0.30121933544148893, 0.303742057521436, 0.3051433587747492, 0.3059809949782992, 0.30649124762134483, 0.306786767155137, 0.30692295121054247, 0.3069229345828046, 0.3067867358604701, 0.30649121599765206, 0.3059810438865582, 0.30514339984238004, 0.3037420338399972, 0.3012192652425205, 0.29586092409549725, 0.2786673976196352, 0.17164090158448442]; [0.6120976873137033, 0.4498573977672339, 0.3552896878986224, 0.28848468183998344, 0.23651111724876622]
