# Hubbard model DMRG. nmax=3, μ=1 (SF phase).
# J, L, Γ(r) [r even, r<L/2] [calculated 2025-02-03T13:18:00.741]
0.24; 10; [0.6403292315463454, 0.46912490482414226]
0.24; 20; [0.6501381843197115, 0.49969734962796314, 0.41064846508876585, 0.3460332123826171, 0.2939598087776718]
0.24; 30; [0.6523445232891474, 0.506513884046074, 0.4224080738597952, 0.36317898545895944, 0.3171520850967322, 0.2792247195621576, 0.24668894599074806]
0.24; 40; [0.6527570617970975, 0.508173607885568, 0.4253018449415678, 0.367321444266994, 0.3225815267674903, 0.2859833298341935, 0.2549084890248977, 0.22784661367300227, 0.20387139578540703, 0.18237166051564252]
0.26; 10; [0.6835657999467947, 0.5238057059305232]
0.26; 20; [0.6917406015172236, 0.5546172883666045, 0.4728342739852469, 0.4123097240017296, 0.362054854368353]
0.26; 30; [0.6933541677020237, 0.561336842090662, 0.48527892462514094, 0.43124215124504567, 0.38852201547592, 0.35247990795667866, 0.3206617347343381]
0.26; 40; [0.6933951877258584, 0.5627856201231582, 0.4881642023679883, 0.43561928487854057, 0.3944948580243276, 0.3602184939254574, 0.3304245002029376, 0.30379404088680856, 0.27953078852741897, 0.2571143048293002]
0.28; 10; [0.719348399530545, 0.5696284639329094]
0.28; 20; [0.7246681055824082, 0.5977223615606257, 0.5219848393091783, 0.4654908366159168, 0.4178341241166987]
0.28; 30; [0.7252047663698895, 0.6032159344453152, 0.5332655308826844, 0.48357379354930113, 0.4440819943796057, 0.41042245754077766, 0.38029023328023365]
0.28; 40; [0.7245528405247617, 0.6037349066469305, 0.5349762425784372, 0.48659195389028326, 0.44852213222186016, 0.4165317832248711, 0.3884082589419551, 0.3629488630983214, 0.3394224970582524, 0.31733085034675196]
0.3; 10; [0.7490407275573706, 0.6077357122873971]
0.3; 20; [0.7510177381088138, 0.6316121655617057, 0.5604985961161936, 0.5073667406191982, 0.46222399460824926]
0.3; 30; [0.7503359786099707, 0.6354270957622481, 0.5697369577602529, 0.5231842655532334, 0.48616421699996387, 0.4545222981016199, 0.4260203462449889]
0.3; 40; [0.7489938422173993, 0.6349882154535124, 0.5701573170447803, 0.5245544673788786, 0.48866927754531825, 0.45841267118180445, 0.4316991118767668, 0.40738174113877934, 0.38474707867232866, 0.3633327940002324]
0.32; 10; [0.7739023480308703, 0.6395048244149549]
0.32; 20; [0.7725334678261057, 0.6587485664440977, 0.5910892750247223, 0.540589698694625, 0.49758503915660074]
0.32; 30; [0.7706856125613409, 0.6609113383303132, 0.5982039008217058, 0.5538776701290211, 0.5186841649074796, 0.4885958143417769, 0.4614586597552838]
0.32; 40; [0.7687553609258216, 0.6596902883556631, 0.5976342432042878, 0.5540273127160146, 0.5197356247928075, 0.4908129640109278, 0.46525442506534936, 0.4419237338164888, 0.420152752153984, 0.3994610486864095]
0.34; 10; [0.7949700020795167, 0.6662100958445433]
0.34; 20; [0.7904657836200657, 0.6809622911787157, 0.6158859215670357, 0.5673979968332623, 0.526106381127209]
0.34; 30; [0.7876155531683262, 0.6817237222788785, 0.6211790470647964, 0.578450734704049, 0.544587905580514, 0.5156541423676233, 0.4895568836751534]
0.34; 40; [0.7852908122505559, 0.6801566043009875, 0.6203440019747495, 0.578483434600262, 0.5456837058344626, 0.5181194397637978, 0.4937976328316749, 0.4715993983478077, 0.4508370608891067, 0.4310721288490485]
0.36; 10; [0.8130507953990177, 0.6889069902606421]
0.36; 20; [0.8057018495965007, 0.6995672019442967, 0.6364735410109029, 0.5895436614539045, 0.5496158233086047]
0.36; 30; [0.8019017471930553, 0.6990546152229061, 0.6401047523629223, 0.5985216154848833, 0.5655917777241539, 0.5374820537681891, 0.5121296739995177]
0.36; 40; [0.7990382493690804, 0.6967547490198028, 0.6382615339535959, 0.5971907438543329, 0.5649462612443955, 0.5377843802177346, 0.5137684980497831, 0.49179547303239723, 0.4712300748336543, 0.4516137787708655]
