# Hubbard model DMRG. nmax=3, μ=1 (SF phase).
# J, L, Γ(r) [r even, r<L/2] [calculated 2025-02-02T19:01:46.639]
0.2; 15; [0.5333100090438073, 0.34842201434555214, 0.24534975299743886, 0.17668777853414255]
0.2; 20; [0.5350952886428673, 0.3528285082232422, 0.25245958803684676, 0.18680731204173562, 0.1401468324992509]
0.2; 25; [0.5358589019481259, 0.3546918269494574, 0.2554099393734314, 0.1908847384953242, 0.1454548261807632, 0.11194152818999657]
0.2; 30; [0.5361870932242282, 0.3554900565805323, 0.25665762789547175, 0.19257878739285084, 0.1476103519675066, 0.11458573415424687, 0.08959201223775581]
0.22; 15; [0.5954507655200063, 0.42472050547818346, 0.32380798909453, 0.25127428014976955]
0.22; 20; [0.5980293994902672, 0.43166507557518413, 0.33544870550541683, 0.2682808812495466, 0.21678693190033327]
0.22; 25; [0.5993138445059276, 0.4350884268479517, 0.3410808749382467, 0.2762678766006101, 0.22739177256251922, 0.1885089739455697]
0.22; 30; [0.5999606501189625, 0.4368165051604971, 0.34389638515237164, 0.28019572909150914, 0.2324915410757424, 0.1948709614264157, 0.16415284328204638]
0.24; 15; [0.647386934302983, 0.4912512368937238, 0.395785934273229, 0.32358098250698436]
0.24; 20; [0.6501381843197115, 0.49969734962796314, 0.41064846508876585, 0.3460332123826171, 0.2939598087776718]
0.24; 25; [0.6515968484418679, 0.504152696013166, 0.4183512965112303, 0.35732248690555457, 0.30934791201211187, 0.26926091928333956]
0.24; 30; [0.6523445232891474, 0.506513884046074, 0.4224080738597952, 0.36317898545895944, 0.3171520850967322, 0.2792247195621576, 0.24668894599074806]
0.26; 15; [0.6895299527932605, 0.5461404036149843, 0.45696426823037894, 0.3873594044080633]
0.26; 20; [0.6917406015172236, 0.5546172883666045, 0.4728342739852469, 0.4123097240017296, 0.362054854368353]
0.26; 25; [0.6928825381215944, 0.5590994773699178, 0.481108928185111, 0.4249369711187907, 0.37981845306547435, 0.3410234355653489]
0.26; 30; [0.6933541677020237, 0.561336842090662, 0.48527892462514094, 0.43124215124504567, 0.38852201547592, 0.35247990795667866, 0.3206617347343381]
0.28; 15; [0.7234499476582802, 0.5902849174898077, 0.5068916441104558, 0.4406466343093582]
0.28; 20; [0.7246681055824082, 0.5977223615606257, 0.5219848393091783, 0.4654908366159168, 0.4178341241166987]
0.28; 25; [0.7251798758065862, 0.6014973307228156, 0.5296214882113136, 0.47772488886761777, 0.4356676092647415, 0.3989755393211823]
0.28; 30; [0.7252047663698895, 0.6032159344453152, 0.5332655308826844, 0.48357379354930113, 0.4440819943796057, 0.41042245754077766, 0.38029023328023365]
0.3; 15; [0.7509534728815779, 0.6256990354613242, 0.5471204004879813, 0.48416526133424076]
0.3; 20; [0.7510177381088138, 0.6316121655617057, 0.5604985961161936, 0.5073667406191982, 0.46222399460824926]
0.3; 25; [0.7507914523933279, 0.6343640034475669, 0.5668950805784237, 0.5182414227039766, 0.4787156286328032, 0.4440146565411407]
0.3; 30; [0.7503359786099707, 0.6354270957622481, 0.5697369577602529, 0.5231842655532334, 0.48616421699996387, 0.4545222981016199, 0.4260203462449889]
0.32; 15; [0.7735975195591639, 0.654424634477075, 0.579688035667957, 0.5196208659663162]
0.32; 20; [0.7725334678261057, 0.6587485664440977, 0.5910892750247223, 0.540589698694625, 0.49758503915660074]
0.32; 25; [0.77161958098437, 0.6605182020148926, 0.59622973187495, 0.5499821750848257, 0.5124353188201367, 0.47941522581532003]
0.32; 30; [0.7706856125613409, 0.6609113383303132, 0.5982039008217058, 0.5538776701290211, 0.5186841649074796, 0.4885958143417769, 0.4614586597552838]
0.34; 15; [0.7925700518392804, 0.678121466303834, 0.6064118436619609, 0.5487604931872403]
0.34; 20; [0.7904657836200657, 0.6809622911787157, 0.6158859215670357, 0.5673979968332623, 0.526106381127209]
0.34; 25; [0.7889281504136009, 0.6818469415317051, 0.619866345360846, 0.5753635233674773, 0.5392814682209188, 0.5075548215560254]
0.34; 30; [0.7876155531683262, 0.6817237222788785, 0.6211790470647964, 0.578450734704049, 0.544587905580514, 0.5156541423676233, 0.4895568836751534]
0.36; 15; [0.8087356950865718, 0.6980263965662309, 0.6287095708540924, 0.5730415510693778]
0.36; 20; [0.8057018495965007, 0.6995672019442967, 0.6364735410109029, 0.5895436614539045, 0.5496158233086047]
0.36; 25; [0.8036073315906276, 0.6996788215577232, 0.6394297870253239, 0.5962230182488294, 0.5612373163659202, 0.5304962994942566]
0.36; 30; [0.8019017471930553, 0.6990546152229061, 0.6401047523629223, 0.5985216154848833, 0.5655917777241539, 0.5374820537681891, 0.5121296739995177]
0.38; 15; [0.8227143075557011, 0.7150291927321927, 0.6476261004767682, 0.5935806575216044]
0.38; 20; [0.818847752613593, 0.7154363248039891, 0.6538928083084854, 0.6081756252591423, 0.5693242634169948]
0.38; 25; [0.8162481936724214, 0.7148817100331579, 0.6559759843849878, 0.6137497046702375, 0.57958361678586, 0.5495815107247557]
0.38; 30; [0.8142076565440693, 0.7138121135968232, 0.6560682518442069, 0.6153040671092734, 0.5830196171919358, 0.555463648077606, 0.5306123478301897]
0.4; 15; [0.8349555260357382, 0.7297695130604802, 0.663921443619056, 0.611210700082341]
0.4; 20; [0.8303513154466811, 0.7292060815751861, 0.668912923933571, 0.6241619613076181, 0.5861724227342177]
0.4; 25; [0.8273084694635642, 0.7280808711595685, 0.6702562279807764, 0.6287998142648002, 0.5952743273118628, 0.5658523163967208]
0.4; 30; [0.8249805797536942, 0.7266688698801768, 0.669915437833122, 0.6298212007851235, 0.5980611898277938, 0.570949677090135, 0.5464968822933741]
