# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J; μ; E; n_variance; <a_i>; Γ; eΓ; C; eC; Re(D); Im(D) where D=FT(C) [calculated 2025-02-13T11:56:27.660 @site  i=3]
0.29; 0.033; -1.30520390486031; 0.3697510589110722; -7.124165979625045e-11; [0.8638535066074238]; [2.8445169204939733e-8]; [-0.1453777745979098, -0.10203446373753303, -0.08408968309458574, -0.07697978847602599]; [0.006678686542406103, 0.054274426658347426, 0.058967954891559676, 0.05996972547931199]; 0.08186533203307672; -0.07559802782023095 # MI
0.29; 0.038; -1.330203904858048; 0.36975105836546196; -7.694753671040897e-10; [0.8638535063566435]; [2.853733653693552e-8]; [-0.1453777745869128, -0.10203446369854195, -0.08408968292739964, -0.07697978842962268]; [0.006678686426404825, 0.05427442668051413, 0.05896795506046944, 0.05996972548374821]; 0.08186533188401353; -0.0755980279292555 # MI
0.29; 0.043; -1.3552039048560411; 0.3697510579642247; 1.1539974521238361e-10; [0.8638535061802021]; [2.8624095449943497e-8]; [-0.1453777745938917, -0.10203446367310268, -0.08408968278109487, -0.07697978839309504]; [0.0066786862987291504, 0.05427442670815356, 0.058967955224374535, 0.05996972549685824]; 0.08186533175420076; -0.07559802804167563 # MI
0.29; 0.048; -1.3802039048538504; 0.36975105767069505; -4.238410478691912e-11; [0.8638535062057559]; [2.905559673793825e-8]; [-0.1453777745901596, -0.10203446362205504, -0.08408968262885873, -0.07697978838483398]; [0.006678686048552747, 0.05427442674683891, 0.05896795537232698, 0.05996972545548058]; 0.0818653315934468; -0.07559802810546004 # MI
0.29; 0.053; -1.405203904851656; 0.36975105701573074; 1.583043534553309e-10; [0.8638535058023094]; [2.8930561247421624e-8]; [-0.14537777457940418, -0.10203446359507758, -0.08408968246317901, -0.07697978831806514]; [0.0066786860208504694, 0.054274426759695786, 0.05896795554740027, 0.05996972549123489]; 0.08186533146154018; -0.07559802824025909 # MI
0.29; 0.058; -1.4302039048364117; 0.3697510537211801; 3.646771086663963e-10; [0.8638535047322528]; [2.969649890200897e-8]; [-0.14537777442851998, -0.10203446327009805, -0.08408968141661959, -0.0769797880922657]; [0.006678685050387717, 0.054274426882366444, 0.05896795649670396, 0.05996972534788758]; 0.08186533046834352; -0.07559802873564174 # MI
0.29; 0.063; -1.4552039048471492; 0.3697510561568256; 1.5347421511128143e-10; [0.863853505542192]; [2.9380387634034035e-8]; [-0.14537777456650844, -0.10203446350976246, -0.08408968214430552, -0.07697978825887039]; [0.006678685675759371, 0.0542744268182155, 0.05896795586765492, 0.05996972546328032]; 0.08186533115682193; -0.07559802842157427 # MI
0.29; 0.068; -1.4802039048448687; 0.36975105550828236; -1.592091869116895e-10; [0.8638535051421286]; [2.926547955389441e-8]; [-0.14537777456011827, -0.10203446348410683, -0.08408968197523313, -0.07697978819122456]; [0.0066786856397419905, 0.054274426834234314, 0.058967956050560016, 0.059969725502897385]; 0.08186533102216202; -0.0755980285641301 # MI
0.29; 0.073; -1.5052039048425438; 0.3697510550561014; 6.885954365018858e-11; [0.863853505012165]; [2.9586650915845192e-8]; [-0.1453777745468052, -0.10203446343179366, -0.08408968181058891, -0.07697978816156265]; [0.00667868545357659, 0.05427442686606699, 0.05896795620713344, 0.05996972547971649]; 0.08186533085991982; -0.07559802864570529 # MI
0.29; 0.078; -1.5302039048401808; 0.3697510547045686; 8.862034395947229e-11; [0.863853504974817]; [2.984642734490717e-8]; [-0.1453777745474124, -0.10203446339217499, -0.08408968165309619, -0.07697978814440434]; [0.006678685241310642, 0.05427442689786921, 0.05896795637032768, 0.059969725455977084]; 0.08186533070556792; -0.07559802873188592 # MI
