# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J; μ; E; n_variance; <a_i>; Γ; eΓ; C; eC; Re(D); Im(D) where D=FT(C) [calculated 2025-02-13T11:56:27.660 @site  i=3]
0.29; 0.083; -1.5552039048378044; 0.3697510540673561; -7.302009088252098e-11; [0.8638535046065162]; [2.986920169302963e-8]; [-0.1453777745349672, -0.10203446335319206, -0.08408968147714092, -0.07697978808049832]; [0.0066786851651782645, 0.05427442692045427, 0.058967956550043533, 0.05996972548021262]; 0.08186533055527309; -0.07559802886133841 # MI
0.29; 0.088; -1.5802039048350567; 0.3697510534181505; -4.300003492267501e-10; [0.8638535042980673]; [2.988071761467247e-8]; [-0.14537777451859532, -0.10203446331227163, -0.08408968127866957, -0.07697978802263546]; [0.006678685037373037, 0.054274426936484134, 0.058967956749892345, 0.05996972548818588]; 0.08186533038454087; -0.07559802899340477 # MI
0.29; 0.093; -1.605203904832881; 0.3697510531210455; 2.100517471340627e-10; [0.863853504330428]; [3.0333905098211186e-8]; [-0.1453777745115315, -0.10203446325962205, -0.08408968114199895, -0.07697978801957203]; [0.006678684814225945, 0.05427442697514463, 0.05896795687725694, 0.0599697254411056]; 0.0818653302345071; -0.07559802903898652 # MI
0.29; 0.098; -1.6302039048304566; 0.36975105255012375; -3.0618817285721137e-12; [0.8638535040065262]; [3.0318537975281064e-8]; [-0.14537777451037778, -0.1020344632287136, -0.08408968096872611, -0.0769797879606553]; [0.006678684719675653, 0.054274427000633306, 0.058967957065438135, 0.05996972547000521]; 0.08186533008788376; -0.07559802917760207 # MI
0.29; 0.103; -1.6552039048277924; 0.3697510518960352; 2.835674543771273e-10; [0.8638535036846708]; [3.0357750484904326e-8]; [-0.14537777449412945, -0.10203446318623376, -0.08408968078318607, -0.0769797879035615]; [0.006678684617991221, 0.05427442702081515, 0.05896795725078976, 0.05996972547972667]; 0.08186532992607576; -0.07559802930053709 # MI
0.29; 0.108; -1.6802039048253947; 0.3697510514138378; 3.7941522003080724e-11; [0.8638535034952808]; [3.0713370460444864e-8]; [-0.14537777448322964, -0.10203446313203283, -0.08408968061292163, -0.07697978786329351]; [0.006678684440859336, 0.05427442705850817, 0.058967957415880984, 0.059969725469901834]; 0.08186532976029118; -0.07559802939668833 # MI
0.29; 0.113; -1.7052039048227945; 0.36975105084759385; 1.1477179396841116e-10; [0.8638535032179464]; [3.065636896027395e-8]; [-0.14537777448091382, -0.10203446310287756, -0.08408968043758554, -0.07697978781217797]; [0.006678684333818518, 0.05427442707936014, 0.05896795760543442, 0.05996972548830575]; 0.08186532961136539; -0.07559802952902253 # MI
0.29; 0.118; -1.7302039048202014; 0.36975105027800104; -1.8362056337630262e-11; [0.8638535029985441]; [3.080344321059614e-8]; [-0.14537777446154393, -0.10203446305516468, -0.08408968026338322, -0.0769797877714812]; [0.006678684196262157, 0.054274427100384125, 0.058967957771511675, 0.05996972547518243]; 0.08186532945039383; -0.07559802962365424 # MI
0.29; 0.123; -1.7552039048175292; 0.3697510499462855; -1.1355711038334105e-11; [0.8638535029864131]; [3.121397426520809e-8]; [-0.14537777446338085, -0.10203446300403962, -0.08408968008955604, -0.07697978775411438]; [0.006678683925756465, 0.05427442714417187, 0.058967957948764735, 0.05996972544461245]; 0.08186532927320267; -0.0755980297140406 # MI
0.29; 0.128; -1.7802039047993574; 0.369751046604625; -3.0336720110211497e-10; [0.8638535017860969]; [3.1804731287361105e-8]; [-0.14537777440525418, -0.10203446266238292, -0.08408967905697054, -0.07697978750906041]; [0.006678682970375705, 0.05427442740484345, 0.05896795895660379, 0.05996972539182269]; 0.08186532825510531; -0.07559803029793677 # MI
0.2918421052631579; 0.033; -1.317411841535363; 0.3718223509986689; 1.8774447865475244e-10; [0.866328264739325]; [2.8953894469954746e-8]; [-0.14604886658349542, -0.10259154946286844, -0.08458420693993136, -0.0774474575869211]; [0.0067460730826936904, 0.0544205527084666, 0.05914379454117404, 0.06015525716503291]; 0.08236420551585942; -0.07582826742118254 # MI
0.2918421052631579; 0.038; -1.3424118415331758; 0.3718223503889828; 1.3473869820402123e-10; [0.8663282643764172]; [2.8961145863470555e-8]; [-0.1460488665763268, -0.10259154942757975, -0.084584206771958, -0.07744745752395982]; [0.0067460730148871115, 0.05442055273368733, 0.0591437947176466, 0.06015525719467475]; 0.08236420537308829; -0.07582826755223461 # MI
0.2918421052631579; 0.043; -1.367411841530945; 0.37182234993766095; -4.222984492078473e-11; [0.8663282642265482]; [2.910251848003828e-8]; [-0.1460488665721978, -0.10259154939003776, -0.0845842066153413, -0.077447457492575]; [0.006746072865478896, 0.054420552760712, 0.0591437948790479, 0.060155257187156634]; 0.08236420522698497; -0.07582826764814676 # MI
0.2918421052631579; 0.048; -1.3924118415286841; 0.3718223495609503; -6.563375837077755e-12; [0.8663282641299892]; [2.9329383180513693e-8]; [-0.14604886657753083, -0.10259154935196423, -0.08458420645690551, -0.07744745746601644]; [0.006746072673176219, 0.05442055279758047, 0.059143795048786044, 0.060155257179040474]; 0.08236420507456464; -0.07582826774922465 # MI
0.2918421052631579; 0.053; -1.4174118415264152; 0.371822348887096; 3.136958226330163e-11; [0.866328263714276]; [2.919681831161145e-8]; [-0.14604886656901447, -0.10259154932415278, -0.08458420628769041, -0.07744745739706863]; [0.006746072646649477, 0.05442055281412171, 0.059143795229721505, 0.06015525721821181]; 0.08236420493910457; -0.07582826788981335 # MI
0.2918421052631579; 0.058; -1.442411841524076; 0.371822348552201; 1.6963175590465166e-10; [0.866328263711718]; [2.9584357324781545e-8]; [-0.14604886656659652, -0.10259154927369472, -0.08458420612908424, -0.07744745738470085]; [0.006746072404714844, 0.05442055285375209, 0.05914379538672283, 0.06015525718192651]; 0.08236420477453708; -0.07582826796284407 # MI
0.2918421052631579; 0.063; -1.4674118415217476; 0.3718223478576812; 1.0458321839652792e-10; [0.8663282632886766]; [2.954028184629062e-8]; [-0.14604886655327085, -0.10259154923701383, -0.08458420595425961, -0.07744745731402908]; [0.006746072365243846, 0.05442055287448709, 0.0591437955666443, 0.06015525721560191]; 0.08236420462938218; -0.0758282680985823 # MI
0.2918421052631579; 0.068; -1.4924118415116387; 0.371822346259266; -7.245704988500477e-10; [0.8663282629860718]; [3.030810526042547e-8]; [-0.14604886652199142, -0.10259154902981256, -0.08458420534041086, -0.07744745722000033]; [0.00674607157385715, 0.05442055302439052, 0.059143796157598405, 0.06015525711535379]; 0.08236420400386109; -0.07582826839728184 # MI
0.2918421052631579; 0.073; -1.5174118415169557; 0.3718223469715096; 8.6787461577927e-11; [0.8663282629986806]; [2.995074970468111e-8]; [-0.1460488665520951, -0.10259154915382251, -0.08458420562213036, -0.07744745724788375]; [0.006746072011070172, 0.05442055294361746, 0.059143795912788136, 0.060155257202551674]; 0.08236420431418412; -0.07582826830669409 # MI
0.2918421052631579; 0.078; -1.5424118415145083; 0.37182234656814783; 2.1949953034584623e-11; [0.8663282629208278]; [3.0262556878199057e-8]; [-0.14604886654917584, -0.10259154910600908, -0.08458420545674601, -0.07744745722435414]; [0.00674607179946728, 0.054420552980942845, 0.059143796079495194, 0.06015525717994937]; 0.08236420414987665; -0.07582826839540213 # MI
0.2918421052631579; 0.083; -1.5674118415119835; 0.3718223460044858; -2.629580270820433e-10; [0.8663282626439903]; [3.0332591480355623e-8]; [-0.14604886654568117, -0.1025915490668783, -0.08458420527827949, -0.07744745717204618]; [0.006746071672394841, 0.054420553011476455, 0.05914379626760777, 0.060155257194676015]; 0.08236420399108071; -0.07582826852372583 # MI
0.2918421052631579; 0.088; -1.592411841509528; 0.3718223454630316; -1.0116809805768799e-10; [0.8663282624507558]; [3.0511768076601935e-8]; [-0.14604886652998572, -0.10259154901991314, -0.08458420511187695, -0.07744745713546326]; [0.006746071534214424, 0.05442055303620123, 0.05914379642785671, 0.060155257180707994]; 0.08236420383461751; -0.07582826861379455 # MI
0.2918421052631579; 0.093; -1.617411841507006; 0.3718223448300968; 3.107941044250158e-11; [0.8663282621092959]; [3.047900770492838e-8]; [-0.1460488665209965, -0.10259154898318905, -0.08458420493412638, -0.07744745707588857]; [0.0067460714502363, 0.05442055305949828, 0.05914379661300221, 0.06015525720231216]; 0.08236420368229126; -0.07582826874479746 # MI
0.2918421052631579; 0.098; -1.6424118415044369; 0.3718223442370656; 4.664589040980662e-11; [0.8663282618039858]; [3.057260193695062e-8]; [-0.146048866515925, -0.10259154894173185, -0.08458420475322541, -0.07744745701913133]; [0.006746071331689436, 0.0544205530914447, 0.059143796802219296, 0.06015525722039444]; 0.08236420352150586; -0.07582826887591655 # MI
0.2918421052631579; 0.103; -1.6674118415016839; 0.37182234370434575; -1.9937340797529473e-10; [0.8663282616241679]; [3.076771410810171e-8]; [-0.14604886650546461, -0.10259154889320514, -0.08458420456699395, -0.07744745698047939]; [0.00674607114776421, 0.054420553121200095, 0.05914379698783953, 0.060155257207529365]; 0.08236420334675908; -0.07582826898366911 # MI
0.2918421052631579; 0.108; -1.6924118414991725; 0.37182234321552654; -8.671196885444153e-11; [0.8663282614235859]; [3.093487706339577e-8]; [-0.14604886650650648, -0.10259154885262109, -0.0845842043994996, -0.07744745693957607]; [0.006746070996322446, 0.054420553158074036, 0.05914379716543146, 0.060155257212548524]; 0.08236420319073795; -0.07582826909815735 # MI
0.2918421052631579; 0.113; -1.7174118414964594; 0.3718223427611145; -1.4277868953669214e-10; [0.8663282613672696]; [3.129751668680521e-8]; [-0.14604886648921445, -0.10259154879297043, -0.08458420422512465, -0.07744745692096572]; [0.006746070767950452, 0.054420553190877644, 0.0591437973256054, 0.06015525716773417]; 0.0823642030125017; -0.07582826916684439 # MI
0.2918421052631579; 0.118; -1.7424118414937695; 0.3718223421102431; -1.2430205230344738e-10; [0.866328260970628]; [3.125549057149598e-8]; [-0.146048866491182, -0.10259154876010441, -0.0845842040364113, -0.07744745684967724]; [0.006746070684046001, 0.05442055322272133, 0.059143797534416814, 0.06015525721091197]; 0.08236420285466158; -0.0758282693281198 # MI
0.2918421052631579; 0.123; -1.7674118414910405; 0.3718223415346922; 2.6265020020725797e-11; [0.8663282607119008]; [3.135148311974886e-8]; [-0.14604886648513127, -0.1025915487178121, -0.08458420385424714, -0.07744745680018775]; [0.006746070546381596, 0.05442055325318413, 0.05914379772312324, 0.060155257218427]; 0.08236420269023535; -0.07582826945164708 # MI
0.2918421052631579; 0.128; -1.792411841488251; 0.37182234096516864; 6.113289289217891e-12; [0.8663282604785815]; [3.152306863297592e-8]; [-0.14604886647511958, -0.10259154866870478, -0.08458420366888586, -0.07744745675416789]; [0.006746070386909224, 0.05442055328581598, 0.05914379790898924, 0.060155257215550303]; 0.08236420251786097; -0.07582826956598097 # MI
0.29368421052631577; 0.033; -1.3296508855023754; 0.3738757516821096; -8.146000677831855e-11; [0.8687755304678875]; [2.90624114887413e-8]; [-0.1467127040025366, -0.10314335088122409, -0.08507438321950381, -0.07791121712985462]; [0.006812197010231826, 0.054564176804508514, 0.05931679304955644, 0.06033779068247755]; 0.08285873655718717; -0.07605477513676846 # MI
0.29368421052631577; 0.038; -1.3546508855000852; 0.3738757512927191; -9.769636515265192e-12; [0.8687755303909528]; [2.9362450505262918e-8]; [-0.14671270400056502, -0.10314335083233417, -0.08507438305883312, -0.07791121710713717]; [0.006812196800276271, 0.05456417684449919, 0.059316793211219944, 0.06033779065997186]; 0.08285873639527842; -0.07605477522220204 # MI
0.29368421052631577; 0.043; -1.3796508854977194; 0.37387575069600953; -5.29785431664653e-10; [0.8687755301051789]; [2.9403049956059562e-8]; [-0.14671270399253444, -0.10314335079477176, -0.08507438288965058, -0.07791121705635791]; [0.006812196706856255, 0.05456417686955561, 0.059316793386376195, 0.060337790672466037]; 0.08285873624619147; -0.07605477534022285 # MI
0.29368421052631577; 0.048; -1.4046508854954203; 0.37387575029345954; 2.7420560274717633e-10; [0.868775529990911]; [2.964400184009278e-8]; [-0.14671270399664607, -0.10314335075312607, -0.08507438272912236, -0.077911217027576]; [0.006812196518257206, 0.05456417690937891, 0.059316793556442315, 0.060337790664671695]; 0.08285873609025289; -0.07605477544138385 # MI
0.29368421052631577; 0.053; -1.4296508854930652; 0.3738757498146641; -2.5019275482658763e-11; [0.8687755298226196]; [2.985525244209432e-8]; [-0.14671270399281702, -0.1031433507083772, -0.08507438256414136, -0.07791121699212208]; [0.0068121963563971665, 0.054564176944658885, 0.059316793724992725, 0.06033779065818747]; 0.08285873593271696; -0.07605477554213155 # MI
0.29368421052631577; 0.058; -1.4546508854906062; 0.37387574932794165; -3.582931501861765e-10; [0.8687755296743038]; [3.003381285555521e-8]; [-0.1467127039865123, -0.10314335066334326, -0.08507438239634915, -0.07791121696037054]; [0.006812196188055896, 0.054564176976622435, 0.059316793894285055, 0.06033779064461879]; 0.08285873577229703; -0.07605477563848845 # MI
0.29368421052631577; 0.063; -1.4796508854882315; 0.37387574884502794; 8.653381143166037e-11; [0.868775529448615]; [3.013772581372055e-8]; [-0.14671270399364716, -0.10314335062878865, -0.08507438222816158, -0.07791121691479028]; [0.006812196045541238, 0.05456417701395907, 0.05931679408032778, 0.06033779066163518]; 0.08285873562015544; -0.07605477576717098 # MI
0.29368421052631577; 0.068; -1.5046508854857796; 0.37387574818911684; -1.2069722435050774e-10; [0.8687755290444066]; [2.999879759559713e-8]; [-0.1467127039962918, -0.10314335060341813, -0.08507438205183558, -0.07791121684493607]; [0.006812195998590752, 0.05456417703975197, 0.05931679427918358, 0.060337790709003976]; 0.08285873547774843; -0.07605477592485088 # MI
0.29368421052631577; 0.073; -1.5296508854832789; 0.37387574781063826; -1.7661511679277375e-11; [0.8687755289887311]; [3.03506054651526e-8]; [-0.14671270399768555, -0.10314335055235081, -0.0850743818832296, -0.07791121682346812]; [0.006812195762014801, 0.05456417708474209, 0.05931679445120246, 0.06033779068464337]; 0.08285873530623225; -0.07605477601568116 # MI
0.29368421052631577; 0.078; -1.5546508854807373; 0.37387574705948445; -1.7688207049940063e-10; [0.8687755285860089]; [3.036736376850574e-8]; [-0.14671270397318126, -0.10314335050391818, -0.08507438170180029, -0.07791121675762216]; [0.006812195711896188, 0.05456417710515111, 0.059316794624803514, 0.06033779069912631]; 0.08285873514818981; -0.07605477613317288 # MI
0.29368421052631577; 0.083; -1.5796508854781814; 0.37387574670980706; 6.582238539669817e-12; [0.8687755285743461]; [3.0811611773621684e-8]; [-0.14671270397370564, -0.10314335044744818, -0.085074381531964, -0.07791121674170928]; [0.006812195446581289, 0.054564177154014216, 0.05931679479448993, 0.06033779066467205]; 0.08285873496985947; -0.07605477621544067 # MI
0.29368421052631577; 0.088; -1.6046508854755963; 0.37387574609632823; 1.5665997316661148e-11; [0.8687755282638387]; [3.0795899230350654e-8]; [-0.1467127039694696, -0.10314335041117077, -0.08507438135399539, -0.07791121668626601]; [0.006812195348689095, 0.05456417718163379, 0.059316794983494105, 0.06033779068437363]; 0.08285873481497273; -0.07605477634742562 # MI
0.29368421052631577; 0.093; -1.6296508854727545; 0.37387574555480896; -3.2111003695126343e-10; [0.8687755280719693]; [3.0978641663579875e-8]; [-0.14671270396695285, -0.10314335036293502, -0.08507438116499973, -0.07791121664491255]; [0.006812195163798608, 0.054564177220599516, 0.059316795179209056, 0.060337790680121246]; 0.08285873463660513; -0.07605477646709814 # MI
0.29368421052631577; 0.098; -1.6546508854633988; 0.3738757437873328; 6.719837199890683e-10; [0.8687755275388229]; [3.145237066675555e-8]; [-0.14671270391395186, -0.10314335017117514, -0.08507438059093045, -0.07791121652559833]; [0.006812194575994729, 0.05456417733737936, 0.0593167957183312, 0.060337790611357085]; 0.08285873407028464; -0.07605477675488163 # MI
0.29368421052631577; 0.103; -1.6796508854675896; 0.3738757444998251; 1.3273085660918135e-11; [0.8687755276657001]; [3.142762263390791e-8]; [-0.14671270395243535, -0.10314335026355902, -0.08507438081477409, -0.07791121656268675]; [0.006812194838223184, 0.054564177294213055, 0.05931679553087315, 0.06033779066925881]; 0.08285873430276508; -0.07605477667893829 # MI
0.29368421052631577; 0.108; -1.7046508854648623; 0.37387574382813527; -4.9279536909724074e-11; [0.8687755272843862]; [3.129560164503336e-8]; [-0.14671270395151864, -0.10314335023297276, -0.08507438062961212, -0.07791121649637069]; [0.006812194768958545, 0.0545641773203497, 0.05931679573430835, 0.06033779070593908]; 0.08285873414899717; -0.07605477683199408 # MI
0.29368421052631577; 0.113; -1.7296508854620782; 0.37387574326485096; 2.7195648486748417e-11; [0.8687755270795496]; [3.1650043344688265e-8]; [-0.14671270393819769, -0.10314335017056268, -0.08507438044144933, -0.07791121645347954]; [0.006812194578386138, 0.05456417736341444, 0.05931679591485112, 0.06033779069124281]; 0.08285873396364996; -0.07605477693403263 # MI
0.29368421052631577; 0.118; -1.754650885458335; 0.373875742454707; -2.670464897446626e-10; [0.8687755267174544]; [3.1690859389739586e-8]; [-0.1467127039234653, -0.10314335010836581, -0.08507438020417878, -0.07791121638656064]; [0.006812194415108061, 0.05456417740418797, 0.05931679615297038, 0.06033779069708522]; 0.08285873374660735; -0.07605477708657067 # MI
0.29368421052631577; 0.123; -1.7796508854564062; 0.3738757422901; -2.6891678727423415e-11; [0.8687755267792405]; [3.193371783704538e-8]; [-0.14671270394281075, -0.10314335008812427, -0.08507438008145246, -0.07791121638449773]; [0.006812194204009753, 0.0545641774360145, 0.05931679629785146, 0.06033779068044039]; 0.08285873362560332; -0.07605477716717027 # MI
0.29368421052631577; 0.128; -1.8046508854535217; 0.3738757416584706; -4.3707873606200136e-11; [0.8687755264630375]; [3.198937785021959e-8]; [-0.14671270393822392, -0.10314335004287079, -0.08507437988819934, -0.07791121632554886]; [0.006812194072810357, 0.054564177471933525, 0.059316796500148046, 0.06033779069777389]; 0.08285873345228105; -0.07605477730586363 # MI
0.2955263157894737; 0.033; -1.3650521057571638; 0.37761585008621634; -0.10835493979352877; [0.7458782045047057]; [1.1784543293748301e-6]; [-0.13895256026508054, -0.10271761703143482, -0.08800878172874575, -0.08261737675973495]; [0.009576907623703635, 0.04576174351038888, 0.04921869964499275, 0.04943671087196096]; 0.08583202188966414; -0.06222357983876174 # SF
0.2955263157894737; 0.038; -1.385110390453874; 0.37760019135165257; 0.1126641645526671; [0.745956201710847]; [5.564282657867947e-6]; [-0.13891737974867818, -0.10268914464442694, -0.08797101889453546, -0.08258040536428257]; [0.009577591438265861, 0.04575243064529561, 0.04922314166957915, 0.04943977895437456]; 0.08580073263701223; -0.06223074385380492 # SF
0.2955263157894737; 0.043; -1.3919206219455127; 0.37591144544850374; -3.203808877839495e-10; [0.871195738660071]; [2.9709473361041302e-8]; [-0.14736937320631768, -0.10368991626765856, -0.08556024224612925, -0.07837108928349237]; [0.006877039675829292, 0.05470534337405825, 0.05948700234719299, 0.06051738080443107]; 0.08334895519839533; -0.07627762255671108 # MI
0.2955263157894737; 0.048; -1.4169206219431114; 0.37591144502392604; 6.254171746202012e-11; [0.871195738524831]; [2.989232138298837e-8]; [-0.14736937321434276, -0.10368991622805786, -0.08556024208069501, -0.07837108925125724]; [0.006877039491930355, 0.05470534341613343, 0.05948700252721558, 0.06051738080349296]; 0.0833489550399999; -0.07627762266896386 # MI
0.2955263157894737; 0.053; -1.4419206219406604; 0.37591144444146507; -6.309152629752111e-11; [0.8711957382511649]; [2.99489324011648e-8]; [-0.14736937321127377, -0.10368991618911715, -0.08556024190925587, -0.07837108920123342]; [0.006877039383860006, 0.054705343448006975, 0.05948700270819996, 0.060517380817393746]; 0.08334895488620561; -0.0762776227915012 # MI
0.2955263157894737; 0.058; -1.4669206219381632; 0.3759114440477851; 5.0975341786510895e-11; [0.8711957382085447]; [3.031654670552034e-8]; [-0.14736937320801902, -0.10368991613284671, -0.08556024174135655, -0.07837108918309979]; [0.006877039144377293, 0.05470534349333223, 0.059487002873418314, 0.06051738078384011]; 0.08334895471145787; -0.07627762287126569 # MI
0.2955263157894737; 0.063; -1.4919206219356456; 0.3759114434856341; -2.8168098963360183e-11; [0.8711957379514762]; [3.0435117968375316e-8]; [-0.1473693732076087, -0.10368991609088475, -0.08556024156600633, -0.07837108913393044]; [0.006877039013729825, 0.05470534353081238, 0.05948700305933747, 0.06051738079639146]; 0.08334895455096955; -0.07627762299604195 # MI
0.2955263157894737; 0.068; -1.5169206219330933; 0.3759114430002026; -5.496615826464095e-12; [0.8711957377783246]; [3.0621201322842744e-8]; [-0.14736937320927718, -0.1036899160452961, -0.08556024139152936, -0.07837108909628064]; [0.0068770388350843335, 0.054705343572480906, 0.05948700324274538, 0.06051738079410135]; 0.08334895438405156; -0.07627762310919445 # MI
0.2955263157894737; 0.073; -1.541920621930509; 0.37591144244716057; 4.498149698903411e-11; [0.8711957375368555]; [3.068829694743053e-8]; [-0.14736937321074875, -0.10368991600713882, -0.08556024121652993, -0.07837108904986856]; [0.006877038703536768, 0.05470534360742738, 0.05948700343106178, 0.06051738080588852]; 0.08334895422549154; -0.07627762323516833 # MI
0.2955263157894737; 0.078; -1.566920621927884; 0.37591144199955817; 3.244754002214034e-11; [0.8711957374461354]; [3.097321196983926e-8]; [-0.1473693732089829, -0.10368991595655477, -0.08556024104461984, -0.07837108902480175]; [0.006877038492900791, 0.054705343649058685, 0.05948700360536914, 0.06051738078374814]; 0.08334895405378175; -0.07627762332864253 # MI
0.2955263157894737; 0.083; -1.5919206219252438; 0.3759114412900382; -3.352502770913868e-11; [0.871195737017546]; [3.090453196495141e-8]; [-0.14736937320555307, -0.1036899159183695, -0.08556024085641308, -0.07837108895100944]; [0.006877038431257291, 0.05470534368196192, 0.05948700380809175, 0.06051738082495949]; 0.08334895389448971; -0.07627762348374165 # MI
0.2955263157894737; 0.088; -1.616920621922528; 0.3759114408783055; -1.110953377823878e-10; [0.8711957369724685]; [3.1315442824929114e-8]; [-0.1473693732043209, -0.10368991586052898, -0.08556024068009352, -0.07837108893091287]; [0.0068770381802432225, 0.05470534373073277, 0.05948700398390688, 0.06051738079299393]; 0.08334895371164117; -0.07627762357132296 # MI
0.2955263157894737; 0.093; -1.6419206219198195; 0.3759114401736352; 8.783227775809707e-11; [0.8711957365393832]; [3.1146140383146226e-8]; [-0.147369373208612, -0.10368991583250667, -0.08556024049241959, -0.07837108885607694]; [0.00687703813133355, 0.05470534376125035, 0.05948700419654044, 0.060517380844737755]; 0.08334895355893879; -0.07627762374041812 # MI
0.2955263157894737; 0.098; -1.6669206219170603; 0.3759114396860985; -4.574193751431334e-12; [0.871195736427882]; [3.146697072101498e-8]; [-0.14736937319980384, -0.10368991577361115, -0.08556024031306968, -0.0783710888282361]; [0.006877037915010361, 0.05470534380394439, 0.059487004370534786, 0.06051738081678118]; 0.08334895337751937; -0.07627762382932061 # MI
0.2955263157894737; 0.103; -1.691920621913825; 0.3759114390999936; -3.644243518067016e-10; [0.8711957362433189]; [3.1732546522086986e-8]; [-0.14736937319579238, -0.10368991571230855, -0.08556024010473413, -0.07837108878609875]; [0.00687703768993618, 0.05470534385404949, 0.059487004581535434, 0.060517380803709137]; 0.0833489531736383; -0.07627762395200426 # MI
0.2955263157894737; 0.108; -1.716920621911414; 0.3759114384976747; -9.146830878489528e-11; [0.8711957358867598]; [3.1683205189003506e-8]; [-0.14736937319987345, -0.1036899156839036, -0.08556023993711129, -0.07837108872355235]; [0.006877037626118243, 0.05470534388462091, 0.05948700476968523, 0.06051738084328047]; 0.08334895303311524; -0.07627762409720096 # MI
0.2955263157894737; 0.113; -1.7419206219085535; 0.37591143788596004; -2.3388175920964818e-11; [0.8711957356307425]; [3.184752863208603e-8]; [-0.14736937319066923, -0.10368991563050808, -0.0855602397479125, -0.0783710886745531]; [0.006877037472420706, 0.05470534392351342, 0.05948700495947658, 0.06051738084256176]; 0.08334895285483819; -0.07627762421487147 # MI
