# J, ΔEplus(∞), ΔEminus(∞), error_ΔEplus(∞), error_ΔEminus(∞), chi2_plus, chi2_minus
0.0,0.999999999999497,-2.10627581270801e-14,2.1783876456471862e-13,9.12129995414942e-15,9.00836505969707e-25,1.5793890485468178e-27
0.007142857142857143,0.9720792114115878,-0.013745293740223095,5.713217056059881e-5,3.0157437914925506e-5,6.196366466436783e-8,1.7264918462493403e-8
0.014285714285714285,0.9433312289078026,-0.027483724406093833,0.00012446747099724288,6.556604717446102e-5,2.9409482160535277e-7,8.160817211364323e-8
0.02142857142857143,0.9147724498692744,-0.04094675784983494,0.000204496894945647,0.00011191032381848428,7.938694381756049e-7,2.3774749601880351e-7
0.02857142857142857,0.8864559701238955,-0.05378767938271142,0.0002705434286215523,0.0001571608315324332,1.389471444938379e-6,4.688827794268844e-7
0.03571428571428571,0.85815765045114,-0.06617198897919674,0.0003065638740046213,0.00021607082966308778,1.7840934465640656e-6,8.862738305574714e-7
0.04285714285714286,0.8301875419717378,-0.07853609414869281,0.00041837490618013197,0.00021092426984056382,3.3228206650649065e-6,8.445565910393451e-7
0.05,0.8020904308303044,-0.0903384167792521,0.00044463261852942276,0.0002678019741132015,3.7529975945873325e-6,1.3614546983907643e-6
0.05714285714285714,0.7742994170457642,-0.10163099809233703,0.0004976415939582769,0.0002959758969001375,4.7012028605284975e-6,1.6629850208307524e-6
0.06428571428571428,0.746635783033419,-0.11249763315103833,0.0005402457320284147,0.00033861000777167175,5.54061962617852e-6,2.1765829670997307e-6
0.07142857142857142,0.7192642101413647,-0.12302616566358343,0.0006015852410214152,0.00035097203254861643,6.870209691457417e-6,2.3384100474180206e-6
0.07857142857142857,0.692019190905344,-0.13305801685294272,0.0006291319966931528,0.0003729144161122417,7.513792430112098e-6,2.639939608698813e-6
0.08571428571428572,0.6650929479051898,-0.1426223776219265,0.0006775329690558195,0.00039480540413809975,8.7143803806074e-6,2.9589785996934425e-6
0.09285714285714286,0.6384355177070881,-0.15164359304207567,0.0007278654950575517,0.00041520048723015976,1.0057219077197354e-5,3.272588167197367e-6
0.1,0.6120686755699318,-0.16014516534136788,0.0007805178422175003,0.0004327656770506241,1.1564884966493415e-5,3.5553410344147226e-6
0.10714285714285714,0.5860017459618138,-0.16810484532063152,0.0008298315378461946,0.00045042532191105045,1.3072405748051798e-5,3.851423198768129e-6
0.11428571428571428,0.5602722951651816,-0.175508363499225,0.0008829615158413155,0.00046024616078816554,1.4799914179271691e-5,4.0212029799344345e-6
0.12142857142857143,0.5348858844920463,-0.18231628752691995,0.0009309675344509557,0.0004680003511577363,1.6452985657267042e-5,4.157842218169988e-6
0.12857142857142856,0.5098821890337537,-0.18849763453292698,0.0009762631329759699,0.00047254880086349297,1.809295175645237e-5,4.239054280587674e-6
0.1357142857142857,0.4852815385842607,-0.19402823273133446,0.0010130988756522138,0.000471382986126114,1.9484053506540095e-5,4.218163926490468e-6
0.14285714285714285,0.4611198515059241,-0.19888512402078953,0.0010399816035691499,0.0004581864950961765,2.0531796962958474e-5,3.985292624953332e-6
0.15,0.43742695521776076,-0.2030237135742248,0.0010519925694359028,0.00043448418307084853,2.100878764949919e-5,3.583633509633025e-6
0.15714285714285714,0.41425089284409233,-0.2064103040430114,0.0010489238962680318,0.00039660774022657523,2.088640070906237e-5,2.9860564814308747e-6
0.16428571428571428,0.39163403555755877,-0.2089996498736578,0.0010271919896987257,0.0003445526218860786,2.0029905246082055e-5,2.2536515332055245e-6
0.17142857142857143,0.36962273659487643,-0.21074956370433198,0.000984451715992442,0.0002780306851752877,1.8397740439763627e-5,1.4674425467083017e-6
0.17857142857142858,0.34826866046210947,-0.21161361882584945,0.0009197467593960748,0.00020112385704693463,1.605876635665416e-5,7.678967420202004e-7
0.18571428571428572,0.3276251359098015,-0.2115448178875964,0.0008334498295412389,0.00013165801648225547,1.3186652784204208e-5,3.2905633974720023e-7
0.19285714285714287,0.307744552709656,-0.21049932702658933,0.0007281080710981939,0.00013051558377794292,1.0063923741514192e-5,3.2337049192105055e-7
0.2,0.28867517582768165,-0.2084389141948887,0.0006083742405144665,0.0002143991023576173,7.026147795804048e-6,8.726127861074563e-7
0.20714285714285716,0.270457516172277,-0.20533439541243068,0.000481710252467607,0.00032349187501412666,4.405015350969646e-6,1.9865632687391264e-6
0.21428571428571427,0.25311681545455567,-0.20117261664740513,0.00035738796268689583,0.00043066077274685953,2.424685907840208e-6,3.5208399019495346e-6
0.22142857142857142,0.23665634420944562,-0.19596196663267876,0.0002456018554014681,0.0005224045538068562,1.145088184703926e-6,5.180713248894245e-6
0.22857142857142856,0.22105010873040676,-0.189738536821081,0.00015531989416878145,0.0005898348186390835,4.579623958477457e-7,6.604446988138418e-6
0.2357142857142857,0.20624077770795832,-0.18256802502977984,9.262561660635177e-5,0.0006279351544154976,1.6286879041479733e-7,7.48523158514524e-6
0.24285714285714285,0.1921412742431077,-0.17454280084762627,5.934104695003681e-5,0.0006363397086789372,6.684763629218498e-8,7.686943631600263e-6
0.25,0.17864356189224098,-0.16577413360245324,5.2666872785682106e-5,0.0006189048761473415,5.2656345023908967e-8,7.271490742698547e-6
0.2571428571428571,0.165631610545327,-0.15637924393705818,6.502376335696915e-5,0.0005822068570584414,8.026382449347537e-8,6.43472926431571e-6
0.2642857142857143,0.15299348864018492,-0.14647037085876147,8.846852480350622e-5,0.0005334914637544544,1.48577558634001e-7,5.402945619533125e-6
0.2714285714285714,0.1406307051955176,-0.13614607653426322,0.00011684190343061346,0.00047913307031621137,2.591629372333919e-7,4.358007181716929e-6
0.2785714285714286,0.12846155373716545,-0.12548837135588445,0.00014556837975101273,0.0004239388445387579,4.022626803223237e-7,3.411788259528702e-6
0.2857142857142857,0.11642167068042235,-0.11456240944780285,0.00017155420773961642,0.000370992213170805,5.58699645628789e-7,2.612794392000624e-6
0.29285714285714287,0.10446194360548978,-0.10341870923351253,0.00019317176986490285,0.00032202833527937764,7.083745741980042e-7,1.968628738372381e-6
0.3,0.09254547896876031,-0.09209623055254018,0.00020972132664680176,0.00027779499696762504,8.349507120143307e-7,1.4649556822428343e-6
0.30714285714285716,0.0806454208075196,-0.08062437431631363,0.00022119987155694648,0.00023839706010660318,9.288495771048551e-7,1.0788906705151805e-6
0.3142857142857143,0.06874228007629017,-0.06902569638724716,0.00022799642334363646,0.00020362540816133714,9.86805849209039e-7,7.871175259628933e-7
0.32142857142857145,0.05682188657400941,-0.05731762333707416,0.00023063507204005033,0.00017306719179002822,1.0097790281501245e-6,5.6859775475338e-7
0.32857142857142857,0.044874555207041804,-0.045513575776151394,0.00022973189225006843,0.00014626095628341042,1.0018858117461098e-6,4.0609950863700227e-7
