# Hubbard model DMRG. L=16, N=16, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance [calculated 2025-02-11T12:15:39.380 @site  i=8]
0.018421052631578946, 0.5263157894736842, -8.441404408285837, 0.0027118877110643425 # MI
0.018421052631578946, 0.5736842105263158, -9.199299145123227, 0.0027118876449871987 # MI
0.018421052631578946, 0.6210526315789474, -9.95719388195643, 0.002711887807167246 # MI
0.018421052631578946, 0.6684210526315789, -10.715088618806416, 0.0027118877001186537 # MI
0.018421052631578946, 0.7157894736842105, -11.47298335564448, 0.002711887755725728 # MI
0.018421052631578946, 0.7631578947368421, -12.230878092489874, 0.0027118877714920053 # MI
0.018421052631578946, 0.8105263157894737, -12.9887728293296, 0.0027118877059464364 # MI
0.018421052631578946, 0.8578947368421053, -13.746667566167435, 0.0027118877458720547 # MI
0.018421052631578946, 0.9052631578947369, -14.504562303015614, 0.0027118878145171443 # MI
0.018421052631578946, 0.9526315789473684, -15.262457039854453, 0.0027118879941852025 # MI
0.018421052631578946, 1.0, -16.02035177669501, 0.0027118877623384385 # SF
0.03684210526315789, 0.1, -1.681306775753096, 0.010813752374553509 # MI
0.03684210526315789, 0.14736842105263157, -2.439201512595172, 0.010813752389592368 # MI
0.03684210526315789, 0.19473684210526315, -3.1970962494373176, 0.010813752377842212 # MI
0.03684210526315789, 0.24210526315789474, -3.954990986279365, 0.010813752383991515 # MI
0.03684210526315789, 0.2894736842105263, -4.712885723121464, 0.010813752373837193 # MI
0.03684210526315789, 0.3368421052631579, -5.470780459963571, 0.010813752397670795 # MI
0.03684210526315789, 0.38421052631578945, -6.228675196805642, 0.01081375237270965 # MI
0.03684210526315789, 0.43157894736842106, -6.986569933647723, 0.0108137523865377 # MI
0.03684210526315789, 0.4789473684210526, -7.744464670489806, 0.01081375237680815 # MI
0.03684210526315789, 0.5263157894736842, -8.502359407331841, 0.010813752371596097 # MI
0.03684210526315789, 0.5736842105263158, -9.260254144174011, 0.010813752371967134 # MI
0.03684210526315789, 0.6210526315789474, -10.01814888101606, 0.010813752392451637 # MI
0.03684210526315789, 0.6684210526315789, -10.776043617858097, 0.010813752399034371 # MI
0.03684210526315789, 0.7157894736842105, -11.53393835470019, 0.010813752380960162 # MI
0.03684210526315789, 0.7631578947368421, -12.29183309154235, 0.010813752386618969 # MI
0.03684210526315789, 0.8105263157894737, -13.049727828384427, 0.01081375237506288 # MI
0.03684210526315789, 0.8578947368421053, -13.807622565226513, 0.010813752377309305 # MI
0.03684210526315789, 0.9052631578947369, -14.565517302068654, 0.010813752373892482 # MI
0.03684210526315789, 0.9526315789473684, -15.323412038910796, 0.010813752384218445 # SF
0.03684210526315789, 1.0, -16.660741153097923, 0.23928495928205096 # SF
0.05526315789473684, 0.1, -1.7825578604704313, 0.02419965330559193 # MI
0.05526315789473684, 0.14736842105263157, -2.540452597312855, 0.024199653381985042 # MI
0.05526315789473684, 0.19473684210526315, -3.298347334153553, 0.024199653407088073 # MI
0.05526315789473684, 0.24210526315789474, -4.056242070993756, 0.024199653146999456 # MI
0.05526315789473684, 0.2894736842105263, -4.814136807836327, 0.024199653507366747 # MI
0.05526315789473684, 0.3368421052631579, -5.572031544677008, 0.024199653452201986 # MI
0.05526315789473684, 0.38421052631578945, -6.329926281518872, 0.024199653577941405 # MI
0.05526315789473684, 0.43157894736842106, -7.08782101835925, 0.024199653801060927 # MI
0.05526315789473684, 0.4789473684210526, -7.845715755199907, 0.0241996534934783 # MI
0.05526315789473684, 0.5263157894736842, -8.603610492038722, 0.024199654109483992 # MI
0.05526315789473684, 0.5736842105263158, -9.361505228885088, 0.024199653351328232 # MI
0.05526315789473684, 0.6210526315789474, -10.119399965721538, 0.02419965442433214 # MI
0.05526315789473684, 0.6684210526315789, -10.877294702559714, 0.024199653710728075 # MI
0.05526315789473684, 0.7157894736842105, -11.635189439401904, 0.024199653707100532 # MI
0.05526315789473684, 0.7631578947368421, -12.393084176244017, 0.02419965370845767 # MI
0.05526315789473684, 0.8105263157894737, -13.150978913086634, 0.0241996528405517 # MI
0.05526315789473684, 0.8578947368421053, -13.908873649928008, 0.02419965374965094 # MI
0.05526315789473684, 0.9052631578947369, -14.666768386771713, 0.024199654484139632 # MI
0.05526315789473684, 0.9526315789473684, -16.119332559700805, 0.2636672443069368 # SF
0.05526315789473684, 1.0, -17.184394371529358, 0.26302346618469485 # SF
0.07368421052631578, 0.1, -1.9235748369122652, 0.042679588997900586 # MI
0.07368421052631578, 0.14736842105263157, -2.6814695737493714, 0.04267958945760153 # MI
0.07368421052631578, 0.19473684210526315, -3.439364310571648, 0.04267958944743766 # MI
0.07368421052631578, 0.24210526315789474, -4.197259047406258, 0.04267958959821461 # MI
0.07368421052631578, 0.2894736842105263, -4.9551537842314755, 0.042679589746605906 # MI
0.07368421052631578, 0.3368421052631579, -5.7130485210621575, 0.04267958984286713 # MI
0.07368421052631578, 0.38421052631578945, -6.470943257892662, 0.042679590319329996 # MI
0.07368421052631578, 0.43157894736842106, -7.228837994713576, 0.0426795904180397 # MI
0.07368421052631578, 0.4789473684210526, -7.986732731534385, 0.04267959026774193 # MI
0.07368421052631578, 0.5263157894736842, -8.744627468355407, 0.04267959098779417 # MI
0.07368421052631578, 0.5736842105263158, -9.502522205176938, 0.04267959031383195 # MI
0.07368421052631578, 0.6210526315789474, -10.260416941911306, 0.042679591842450515 # MI
0.07368421052631578, 0.6684210526315789, -11.018311678746638, 0.04267959173199687 # MI
0.07368421052631578, 0.7157894736842105, -11.776206415588739, 0.04267959173199998 # MI
0.07368421052631578, 0.7631578947368421, -12.534101152430866, 0.042679591731997535 # MI
0.07368421052631578, 0.8105263157894737, -13.291995889272917, 0.04267959173199998 # MI
0.07368421052631578, 0.8578947368421053, -14.049890626115065, 0.04267959173199776 # MI
0.07368421052631578, 0.9052631578947369, -15.516467368261427, 0.27216764340023203 # SF
0.07368421052631578, 0.9526315789473684, -16.645423509847703, 0.2887500276606807 # SF
0.07368421052631578, 1.0, -17.81746956752019, 0.29303736723599405 # SF
0.09210526315789473, 0.1, -2.103577034952306, 0.06595941843203668 # MI
0.09210526315789473, 0.14736842105263157, -2.8614717718107587, 0.0659594189153252 # MI
0.09210526315789473, 0.19473684210526315, -3.619366508523781, 0.06595941970598007 # MI
0.09210526315789473, 0.24210526315789474, -4.377261245310375, 0.06595942084312201 # MI
0.09210526315789473, 0.2894736842105263, -5.135155982075374, 0.06595942175988623 # MI
0.09210526315789473, 0.3368421052631579, -5.89305071888204, 0.06595942314707659 # MI
0.09210526315789473, 0.38421052631578945, -6.6509454556198975, 0.06595942416105927 # MI
0.09210526315789473, 0.43157894736842106, -7.408840192378709, 0.06595942642567265 # MI
0.09210526315789473, 0.4789473684210526, -8.166734928977995, 0.06595942736459359 # MI
0.09210526315789473, 0.5263157894736842, -8.924629665542954, 0.06595943397528314 # MI
0.09210526315789473, 0.5736842105263158, -9.68252440238739, 0.06595943401727222 # MI
0.09210526315789473, 0.6210526315789474, -10.440419139229515, 0.06595943401727267 # MI
0.09210526315789473, 0.6684210526315789, -11.198313876071612, 0.06595943401727089 # MI
0.09210526315789473, 0.7157894736842105, -11.956208612913702, 0.06595943401727089 # MI
0.09210526315789473, 0.7631578947368421, -12.714103349755835, 0.06595943401726978 # MI
0.09210526315789473, 0.8105263157894737, -13.471998086597917, 0.06595943401727333 # MI
0.09210526315789473, 0.8578947368421053, -14.229892823565077, 0.06595943409974914 # MI
0.09210526315789473, 0.9052631578947369, -16.061215689546188, 0.30244678629461275 # SF
0.09210526315789473, 0.9526315789473684, -17.195052110052142, 0.31034113397295116 # SF
0.09210526315789473, 1.0, -18.380927970371438, 0.3130597636694321 # SF
0.11052631578947368, 0.1, -2.3214965216467824, 0.09361359733676622 # MI
0.11052631578947368, 0.14736842105263157, -3.0793912586711385, 0.09361359713552497 # MI
0.11052631578947368, 0.19473684210526315, -3.8372859954783083, 0.09361359717749385 # MI
0.11052631578947368, 0.24210526315789474, -4.595180732394305, 0.09361359752239884 # MI
0.11052631578947368, 0.2894736842105263, -5.35307546897991, 0.09361359671509306 # MI
0.11052631578947368, 0.3368421052631579, -6.110970205872608, 0.09361359635652344 # MI
0.11052631578947368, 0.38421052631578945, -6.86886494253536, 0.09361359591432694 # MI
0.11052631578947368, 0.43157894736842106, -7.626759679557158, 0.09361359637275646 # MI
0.11052631578947368, 0.4789473684210526, -8.384654416381668, 0.09361359574193218 # MI
0.11052631578947368, 0.5263157894736842, -9.14254915322488, 0.09361359486955645 # MI
0.11052631578947368, 0.5736842105263158, -9.900443890453724, 0.09361359025310056 # MI
0.11052631578947368, 0.6210526315789474, -10.658338627510323, 0.09361359039766515 # MI
0.11052631578947368, 0.6684210526315789, -11.416233364352479, 0.09361359039766004 # MI
0.11052631578947368, 0.7157894736842105, -12.174128101194572, 0.09361359039775063 # MI
0.11052631578947368, 0.7631578947368421, -12.93202283826967, 0.09361359089687138 # MI
0.11052631578947368, 0.8105263157894737, -14.327134712224483, 0.26496582407529434 # MI
0.11052631578947368, 0.8578947368421053, -15.50740589481014, 0.3193339195546132 # SF
0.11052631578947368, 0.9052631578947369, -16.622189124895776, 0.3289039623561889 # SF
0.11052631578947368, 0.9526315789473684, -17.78268211463837, 0.33397136155875895 # SF
0.11052631578947368, 1.0, -18.987848995764914, 0.33470384418646315 # SF
0.12894736842105264, 0.1, -2.575934923225608, 0.12504897410711258 # MI
0.12894736842105264, 0.14736842105263157, -3.3338296600987256, 0.12504897576953433 # MI
0.12894736842105264, 0.19473684210526315, -4.091724396936265, 0.12504897540467508 # MI
0.12894736842105264, 0.24210526315789474, -4.849619133864439, 0.125048976733392 # MI
0.12894736842105264, 0.2894736842105263, -5.607513870854871, 0.12504897859374897 # MI
0.12894736842105264, 0.3368421052631579, -6.365408607840429, 0.1250489771440404 # MI
0.12894736842105264, 0.38421052631578945, -7.123303345223793, 0.12504898127642372 # MI
0.12894736842105264, 0.43157894736842106, -7.881198082067614, 0.12504898127916997 # MI
0.12894736842105264, 0.4789473684210526, -8.639092818909749, 0.12504898127916864 # MI
0.12894736842105264, 0.5263157894736842, -9.396987555751847, 0.12504898127916997 # MI
0.12894736842105264, 0.5736842105263158, -10.154882292593943, 0.12504898127916841 # MI
0.12894736842105264, 0.6210526315789474, -10.912777029436064, 0.12504898127916975 # MI
0.12894736842105264, 0.6684210526315789, -11.67067176645969, 0.12504898175525803 # MI
0.12894736842105264, 0.7157894736842105, -12.758727148748854, 0.21883495017351695 # MI
0.12894736842105264, 0.7631578947368421, -13.881014347564847, 0.29688912200820927 # MI
0.12894736842105264, 0.8105263157894737, -14.976110724764089, 0.326953588613355 # SF
0.12894736842105264, 0.8578947368421053, -16.072497778322283, 0.34517097842229694 # SF
0.12894736842105264, 0.9052631578947369, -17.21215297258827, 0.3499034893212931 # SF
0.12894736842105264, 0.9526315789473684, -18.39723411263345, 0.3557690352293026 # SF
0.12894736842105264, 1.0, -19.61959427025768, 0.35954050584934993 # SF
0.14736842105263157, 0.1, -2.9983366944459005, 0.22802371057641713 # SF
0.14736842105263157, 0.14736842105263157, -3.62301037942854, 0.15945297336340802 # MI
0.14736842105263157, 0.19473684210526315, -4.38090511442824, 0.15945297189345164 # MI
0.14736842105263157, 0.24210526315789474, -5.138799863463709, 0.15945299979216143 # MI
0.14736842105263157, 0.2894736842105263, -5.896694600556893, 0.15945300354415015 # MI
0.14736842105263157, 0.3368421052631579, -6.654589337319004, 0.1594530038765387 # MI
0.14736842105263157, 0.38421052631578945, -7.412484074223871, 0.15945300241403082 # MI
0.14736842105263157, 0.43157894736842106, -8.170378810909417, 0.15945300338178736 # MI
0.14736842105263157, 0.4789473684210526, -8.928273573564324, 0.15945300702334264 # MI
0.14736842105263157, 0.5263157894736842, -9.686168310328302, 0.15945300750534575 # MI
0.14736842105263157, 0.5736842105263158, -10.444063047057142, 0.15945300839576815 # MI
0.14736842105263157, 0.6210526315789474, -11.406290172148278, 0.2403742711550234 # MI
0.14736842105263157, 0.6684210526315789, -12.311857145522758, 0.25643660962858217 # MI
0.14736842105263157, 0.7157894736842105, -13.38193510530022, 0.3098909278833666 # MI
0.14736842105263157, 0.7631578947368421, -14.446733866086932, 0.3400420492623051 # MI
0.14736842105263157, 0.8105263157894737, -15.561689116099465, 0.35999848200146767 # SF
0.14736842105263157, 0.8578947368421053, -16.685453822450583, 0.3697485487960108 # SF
0.14736842105263157, 0.9052631578947369, -17.842325530318963, 0.3759927863102881 # SF
0.14736842105263157, 0.9526315789473684, -19.053669884452496, 0.38143572058002695 # SF
0.14736842105263157, 1.0, -20.293951335649098, 0.3837210680595624 # SF
0.16578947368421051, 0.1, -3.309430163736886, 0.23683736792316956 # SF
0.16578947368421051, 0.14736842105263157, -3.9447328965375896, 0.1957212487311346 # MI
0.16578947368421051, 0.19473684210526315, -4.70262763332405, 0.19572124923781797 # MI
0.16578947368421051, 0.24210526315789474, -5.460522370009737, 0.19572124913343858 # MI
0.16578947368421051, 0.2894736842105263, -6.218417106773676, 0.19572124859889617 # MI
0.16578947368421051, 0.3368421052631579, -6.976311843445631, 0.19572124622811704 # MI
0.16578947368421051, 0.38421052631578945, -7.734206580223056, 0.1957212467039382 # MI
0.16578947368421051, 0.43157894736842106, -8.492101316931667, 0.19572124693802695 # MI
0.16578947368421051, 0.4789473684210526, -9.249996058850606, 0.19572123907817507 # MI
0.16578947368421051, 0.5263157894736842, -10.007890795675891, 0.19572124110071254 # MI
0.16578947368421051, 0.5736842105263158, -11.018004081221614, 0.27934707010687077 # MI
0.16578947368421051, 0.6210526315789474, -11.901393876961258, 0.2942814972322687 # MI
0.16578947368421051, 0.6684210526315789, -12.916841878338397, 0.3255405450168074 # MI
0.16578947368421051, 0.7157894736842105, -13.920567630505838, 0.34126080695557937 # MI
0.16578947368421051, 0.7631578947368421, -15.053632676248391, 0.3672306760410269 # SF
0.16578947368421051, 0.8105263157894737, -16.177461836532995, 0.3900944199497136 # SF
0.16578947368421051, 0.8578947368421053, -17.31566375054648, 0.3922465896076788 # SF
0.16578947368421051, 0.9052631578947369, -18.50609843269634, 0.4042186074125165 # SF
0.16578947368421051, 0.9526315789473684, -19.73766241367199, 0.4042424896952208 # SF
0.16578947368421051, 1.0, -21.009044983060868, 0.4088965227728907 # SF
0.18421052631578946, 0.1, -3.664139660421112, 0.2747584608549005 # SF
0.18421052631578946, 0.14736842105263157, -4.296342583924, 0.23242239028127099 # MI
0.18421052631578946, 0.19473684210526315, -5.054237320368753, 0.23242239121869313 # MI
0.18421052631578946, 0.24210526315789474, -5.81213205726979, 0.23242239057401237 # MI
0.18421052631578946, 0.2894736842105263, -6.570026793874373, 0.23242239190803105 # MI
0.18421052631578946, 0.3368421052631579, -7.32792154344317, 0.23242240323930607 # MI
0.18421052631578946, 0.38421052631578945, -8.085816292799237, 0.23242242568398752 # MI
0.18421052631578946, 0.43157894736842106, -8.843711029618914, 0.23242242387191836 # MI
0.18421052631578946, 0.4789473684210526, -9.601605767793812, 0.23242242563860804 # MI
0.18421052631578946, 0.5263157894736842, -10.607292243140783, 0.305111127953166 # MI
0.18421052631578946, 0.5736842105263158, -11.47521204603474, 0.3142667161858934 # MI
0.18421052631578946, 0.6210526315789474, -12.524127236180426, 0.3528114159671216 # MI
0.18421052631578946, 0.6684210526315789, -13.48400966110098, 0.35976809335122084 # MI
0.18421052631578946, 0.7157894736842105, -14.574615795245391, 0.3824357201231243 # MI
0.18421052631578946, 0.7631578947368421, -15.686500019944567, 0.4086922800538466 # SF
0.18421052631578946, 0.8105263157894737, -16.82277693268744, 0.41009511618040806 # SF
0.18421052631578946, 0.8578947368421053, -17.995238345638146, 0.41915677996976397 # SF
0.18421052631578946, 0.9052631578947369, -19.20651372788998, 0.4260959108848468 # SF
0.18421052631578946, 0.9526315789473684, -20.44835655050995, 0.4304996786535842 # SF
0.18421052631578946, 1.0, -21.74344390948887, 0.43555693849530996 # SF
0.2026315789473684, 0.1, -4.011854667148554, 0.2925611637188543 # SF
0.2026315789473684, 0.14736842105263157, -4.674747034409258, 0.26792334239740745 # MI
0.2026315789473684, 0.19473684210526315, -5.4326417694649445, 0.2679233430961796 # MI
0.2026315789473684, 0.24210526315789474, -6.190536504857597, 0.26792334580960464 # MI
0.2026315789473684, 0.2894736842105263, -6.948431247389573, 0.26792334164430653 # MI
0.2026315789473684, 0.3368421052631579, -7.70632599103041, 0.2679233360901203 # MI
0.2026315789473684, 0.38421052631578945, -8.464220726622216, 0.26792331720800666 # MI
0.2026315789473684, 0.43157894736842106, -9.222115464094147, 0.2679233165596153 # MI
0.2026315789473684, 0.4789473684210526, -10.215829652131317, 0.33056378763593464 # MI
0.2026315789473684, 0.5263157894736842, -11.10968109696759, 0.34657684967770575 # MI
