# Fit results on Γ. Minimum size considered: LMin = 20.
# J, rMin, rMax, K_∞, e_K_∞, chi2n
0.2, 2, 12, 0.8081218585835961, 0.001006643637830489, 290.096349026219
0.2, 2, 14, 0.7961831977443464, 0.0009150609836346405, 246.47022075563294
0.2, 2, 16, 0.7903069494354862, 0.000874049456435065, 216.0666429657611
0.2, 2, 18, 0.7856022408673096, 0.0008470582682099556, 211.68439846188522
0.2, 4, 12, 0.674023800847419, 0.00407214825415463, 54.95652497148784
0.2, 4, 14, 0.6629099953292344, 0.0034118377753527794, 48.152611258694165
0.2, 4, 16, 0.6585152745590831, 0.0031566695184322598, 42.5097634697884
0.2, 4, 18, 0.6566614505684674, 0.0029928864429061472, 40.656242175325076
0.2, 6, 12, 0.6214820431119626, 0.005741789700562298, 34.138004692992254
0.2, 6, 14, 0.6257773568727051, 0.004276784572731448, 34.24897239880835
0.2, 6, 16, 0.6266450336671961, 0.003823594388738409, 30.68131603875528
0.2, 6, 18, 0.6288733943585754, 0.0035506191692125156, 31.417341853625047
0.2, 8, 12, 0.5953682702458608, 0.007957821186137005, 8.582019007799552
0.2, 8, 14, 0.604618181071349, 0.005200343495994306, 10.747977426016195
0.2, 8, 16, 0.6071412911262446, 0.0045198024311176145, 8.565494026970097
0.2, 8, 18, 0.6104601866414441, 0.004160495326538809, 8.08992018827775
0.20714285714285716, 2, 12, 0.7813495640928859, 0.0009665919245720336, 24.19621655280978
0.20714285714285716, 2, 14, 0.7723633401676931, 0.0009046949942107584, 92.3293211149273
0.20714285714285716, 2, 16, 0.7644775739928815, 0.0008492272415179185, 87.23297077308042
0.20714285714285716, 2, 18, 0.7615464378010547, 0.0008304007722197892, 101.78705646636458
0.20714285714285716, 4, 12, 0.6689648602907522, 0.004229640547319128, 8.318893600543104
0.20714285714285716, 4, 14, 0.6546737235247178, 0.0036962089809414855, 16.60646108692704
0.20714285714285716, 4, 16, 0.6455745123883446, 0.003296832512269525, 10.987220372364025
0.20714285714285716, 4, 18, 0.6429700355033929, 0.003169383112990771, 6.803116860008769
0.20714285714285716, 6, 12, 0.6195207554292905, 0.006728035027899861, 2.957318304248772
0.20714285714285716, 6, 14, 0.6113882862360185, 0.004947375755740941, 6.578140693948156
0.20714285714285716, 6, 16, 0.6101967949381775, 0.004149972041487017, 3.6863048924050075
0.20714285714285716, 6, 18, 0.6106567182888258, 0.0039252263458291895, 1.9530276300417797
0.20714285714285716, 8, 12, 0.5994284896329295, 0.009103827672526031, 1.5050200007408256
0.20714285714285716, 8, 14, 0.5975709503030887, 0.005774820690401811, 4.535637594541034
0.20714285714285716, 8, 16, 0.5995762472103505, 0.004691451382323444, 2.2352271604177454
0.20714285714285716, 8, 18, 0.601133268678229, 0.004403690338350566, 1.722463182382859
0.21428571428571427, 2, 12, 0.768315485406127, 0.0009202108385856452, 29.607541185207083
0.21428571428571427, 2, 14, 0.7625566933096947, 0.000868633861637996, 300.25269695217014
0.21428571428571427, 2, 16, 0.7539454801472039, 0.000799694974625084, 220.0241904360784
0.21428571428571427, 2, 18, 0.750798647642483, 0.0007719648806270135, 218.42976816345862
0.21428571428571427, 4, 12, 0.6567737102184825, 0.00413889052488566, 31.254421110992403
0.21428571428571427, 4, 14, 0.654505892218493, 0.003684400456492411, 40.42265325222483
0.21428571428571427, 4, 16, 0.6428016896447689, 0.0032393126378160515, 33.55322135067426
0.21428571428571427, 4, 18, 0.6367322251713154, 0.003059054436921544, 19.829157691840933
0.21428571428571427, 6, 12, 0.5943788738866989, 0.006266366218261602, 13.854292232023484
0.21428571428571427, 6, 14, 0.5970473439089935, 0.005222102786880177, 19.05297335379482
0.21428571428571427, 6, 16, 0.5959648900245225, 0.004311776662680635, 15.799386444383723
0.21428571428571427, 6, 18, 0.5934294957417342, 0.004015789962371409, 5.4045816982978785
0.21428571428571427, 8, 12, 0.5717053070070879, 0.008273748310584257, 5.117734989905634
0.21428571428571427, 8, 14, 0.5774745531096945, 0.006248204428830281, 9.738069051165237
0.21428571428571427, 8, 16, 0.5804637058737192, 0.004938446981118882, 6.519033174202359
0.21428571428571427, 8, 18, 0.5794128100843, 0.004571445926720087, 4.431048632493956
0.22142857142857142, 2, 12, 0.7481104307730866, 0.0010410842693616743, 99.51885957696284
0.22142857142857142, 2, 14, 0.742269609344758, 0.0009696820303285365, 78.4866261187148
0.22142857142857142, 2, 16, 0.7363098230544416, 0.0008945051073595108, 78.40631898820882
0.22142857142857142, 2, 18, 0.7347583975837111, 0.0008159030506504384, 142.55364269426136
0.22142857142857142, 4, 12, 0.6735825611686674, 0.005426777306540658, 0.9261007649977212
0.22142857142857142, 4, 14, 0.6607169140404552, 0.00464293817536515, 1.3115513641942957
0.22142857142857142, 4, 16, 0.6411778512594535, 0.003935526566762635, 2.7109584292389446
0.22142857142857142, 4, 18, 0.6329403309298741, 0.0033892758916996032, 1.4252206952788307
0.22142857142857142, 6, 12, 0.6439374883226796, 0.009689291952980088, 0.10966124202699572
0.22142857142857142, 6, 14, 0.6256802516708544, 0.0071005488437902945, 0.7991639319217752
0.22142857142857142, 6, 16, 0.6005855327556737, 0.0054723031923350944, 3.4252733643608786
0.22142857142857142, 6, 18, 0.5944038462099493, 0.004488148493528116, 3.8319536330365773
0.22142857142857142, 8, 12, 0.6327609917403818, 0.013638214111857675, 0.15243327851109256
0.22142857142857142, 8, 14, 0.611600901206285, 0.008767007752739978, 0.9410222414994144
0.22142857142857142, 8, 16, 0.5858511024828997, 0.006425222199327873, 3.337395710633303
0.22142857142857142, 8, 18, 0.5825825949203645, 0.005171396058682718, 3.7645513973173172
0.22857142857142856, 2, 12, 0.7352060792784221, 0.0009415483037841475, 183.84666060257103
0.22857142857142856, 2, 14, 0.7310575283065929, 0.0008566232909290036, 149.4414948549583
0.22857142857142856, 2, 16, 0.7251028159996025, 0.0007852669524029377, 166.3033834252113
0.22857142857142856, 2, 18, 0.7201310413999303, 0.0007275102126909061, 254.56624290137063
0.22857142857142856, 4, 12, 0.6677054649620512, 0.004018403885045393, 2.038523692917826
0.22857142857142856, 4, 14, 0.6564597669099743, 0.0032634060166464975, 2.1147737374101876
0.22857142857142856, 4, 16, 0.6415205950095393, 0.0028824350280140217, 5.174927043099245
0.22857142857142856, 4, 18, 0.6341134750066091, 0.0026037554727246642, 5.596259766265444
0.22857142857142856, 6, 12, 0.6364548155814919, 0.007480581375323167, 0.2829473812488692
0.22857142857142856, 6, 14, 0.6185157688361751, 0.00569413348474276, 1.6152688715821335
0.22857142857142856, 6, 16, 0.5987888313663495, 0.004761712245959254, 4.577029161137658
0.22857142857142856, 6, 18, 0.5928394102959846, 0.0040474448932616746, 4.946301851445941
0.22857142857142856, 8, 12, 0.6253295974064742, 0.01190465947295184, 0.21080340103522408
0.22857142857142856, 8, 14, 0.6033367219685012, 0.00880981662272583, 1.8766791179997149
0.22857142857142856, 8, 16, 0.5785360512519669, 0.006808996698562492, 6.714100704355633
0.22857142857142856, 8, 18, 0.575957073769804, 0.005352603893190431, 6.312028028953213
0.2357142857142857, 2, 12, 0.7125650658708894, 0.0008934573677807195, 46.05765179477642
0.2357142857142857, 2, 14, 0.7034534544300934, 0.0006826139244079603, 31.47153453275026
0.2357142857142857, 2, 16, 0.6763662089472157, 0.0005334525459167555, 534.7862406774176
0.2357142857142857, 2, 18, 0.6709640004213321, 0.0004947859559790374, 569.8283752120462
0.2357142857142857, 4, 12, 0.6452865821379105, 0.003964299609479947, 1.0836257047212745
0.2357142857142857, 4, 14, 0.6284986916326605, 0.003596655574735419, 12.925828646224524
0.2357142857142857, 4, 16, 0.5782309479318132, 0.003045393982974433, 174.66875738645638
0.2357142857142857, 4, 18, 0.5789608824009402, 0.0028072476831094506, 169.98881942524412
