# J, K_∞, e_K_∞, chi2n
0.2571428571428571,0.7682003648435178,0.0052872739799123564,7.137078055861117e-5
0.2642857142857143,0.7165559472831342,0.004932297048429581,6.210910394825689e-5
0.2714285714285714,0.6740423716993192,0.004422125175387077,4.9925092592849526e-5
0.2785714285714286,0.6389015796475774,0.003844868448867378,3.7741554645832555e-5
0.2857142857142857,0.6096203420374815,0.0032687286325838397,2.7278127180732836e-5
0.29285714285714287,0.5849655206719132,0.00274130525011518,1.918543325220734e-5
0.3,0.56396350658816,0.00228729069942789,1.3356711437780236e-5
0.30714285714285716,0.545851849604344,0.0019164614074709415,9.37685006199645e-6
0.3142857142857143,0.5300443979169601,0.001628713745704907,6.772458285030463e-6
0.32142857142857145,0.5160817900650412,0.0014145898463834336,5.108788084607405e-6
0.32857142857142857,0.503618749545656,0.0012622897051094363,4.067943345061149e-6
0.3357142857142857,0.4923799244094576,0.0011552004873814027,3.4069953610172585e-6
0.34285714285714286,0.48215305645006123,0.0010800665756966973,2.9782274910704274e-6
0.35,0.4727707836895981,0.0010256694946770306,2.685787778694779e-6
