# Hubbard model DMRG. L=10, N=10, J=0.2, μ=0.6, nmax=3
# maxm, E [calculated 2025-02-02T11:40:54.533 @ nsweeps=5]
10, -7.3498150079146
20, -7.349845533234189
30, -7.349845630210825
40, -7.349845631578078
50, -7.349845631621841
60, -7.34984563162182
70, -7.349845631621843
80, -7.3498456316218235
90, -7.3498456316218235
100, -7.3498456316218235
