# J, K_∞, e_K_∞, chi2n
0.20714285714285716,0.6327186506165695,0.008944552777837955,3.580812056259298e-5
0.21428571428571427,0.5934117059511441,0.014645504882586417,9.600038206096671e-5
0.22142857142857142,0.5549368961485583,0.015396050699020076,0.00010609207173482924
0.22857142857142856,0.549720159492642,0.009211832248134797,3.798011777675615e-5
0.2357142857142857,0.47992592958201086,0.011734047770583206,6.162543091796119e-5
0.24285714285714285,0.45487411154207685,0.01202620221789735,6.473233446544493e-5
0.25,0.4073377584196993,0.007663241780703033,2.6283870658334687e-5
0.2571428571428571,0.3471741233560018,0.01845797120015868,0.00015248677981556527
0.2642857142857143,0.24554443366303413,0.011468348688038324,5.886620560937213e-5
0.2714285714285714,0.22674206339265154,0.014761387715231123,9.752560201311639e-5
0.2785714285714286,0.20882135661349532,0.00902116744336899,3.642417743806788e-5
0.2857142857142857,0.24295291546443842,0.009588900446591046,4.1153036430621985e-5
0.29285714285714287,0.21731088200273904,0.012381113585883487,6.86094094029601e-5
0.3,0.22262811227439838,0.016497556957426728,0.00012181577652029595
0.30714285714285716,0.1959405160193374,0.010350513322910558,4.794993718775934e-5
0.3142857142857143,0.19441106007727807,0.011701773680988223,6.128689990269505e-5
0.32142857142857145,0.18568322759800368,0.013598223673715536,8.276155197809758e-5
0.32857142857142857,0.186366089831387,0.012242146926884566,6.707789727820755e-5
0.3357142857142857,0.17510540248050718,0.010891484118361149,5.309313747135917e-5
0.34285714285714286,0.17081271879362678,0.011544687184699039,5.965249385343124e-5
0.35,0.1741495696995315,0.010222104979342853,4.676758440242774e-5
