# Fit results on Γ. Minimum size considered: LMin = 20.
# J, rMin, rMax, K_∞, e_K_∞, chi2n
0.2, 2, 12, 1.5292431200991272, 0.00041940848129952147, 1174.5715620601559
0.2, 2, 14, 1.5483320388094244, 0.00036674414477547114, 15749.400459204107
0.2, 2, 16, 1.5896069662470191, 0.0003345800314784495, 32001.97804349633
0.2, 2, 18, 1.5858205362715525, 0.0003029003448587231, 143651.12156931372
0.2, 4, 12, 1.9163137597259954, 0.0013284302428638857, 127.16150196853224
0.2, 4, 14, 1.9739707145766585, 0.0011013054768862678, 1516.4392951443112
0.2, 4, 16, 2.04201268888889, 0.0009720435339495957, 3174.0339833096787
0.2, 4, 18, 2.060194923262626, 0.0008472964992122388, 13685.050352313578
0.2, 6, 12, 2.2268187592896553, 0.0029272252207517926, 17.989623478954503
0.2, 6, 14, 2.301020308556529, 0.002305568211835171, 318.13389342843385
0.2, 6, 16, 2.371697215602859, 0.0019525634307947142, 766.0438875052698
0.2, 6, 18, 2.4044736914490805, 0.0016738941384326904, 3179.968775304805
0.2, 8, 12, 2.48892461636209, 0.0058845185541511105, 3.679456891353572
0.2, 8, 14, 2.584714574246093, 0.004308902952252243, 92.56156188046724
0.2, 8, 16, 2.6653626312109786, 0.0034500825210077423, 265.9232276029697
0.2, 8, 18, 2.7283782539727577, 0.002888701795656494, 989.0662604192963
0.20714285714285716, 2, 12, 1.3835743153393196, 0.0005312822411581572, 558.9315221786921
0.20714285714285716, 2, 14, 1.3831382999137443, 0.0004757482644791592, 9442.920980635183
0.20714285714285716, 2, 16, 1.3998420556167703, 0.00044211775961999343, 20795.982485956956
0.20714285714285716, 2, 18, 1.3921711734748625, 0.0004161037928297073, 93473.13467859397
0.20714285714285716, 4, 12, 1.6821884235895144, 0.0017145810760141324, 61.744827179557895
0.20714285714285716, 4, 14, 1.7048311313011402, 0.0014646974551429878, 873.7001957426202
0.20714285714285716, 4, 16, 1.739785401515122, 0.0013239598205898589, 2037.2801835850555
0.20714285714285716, 4, 18, 1.7486547554726555, 0.0011996772997603187, 8165.394530969888
0.20714285714285716, 6, 12, 1.9207150544350275, 0.0037806172114277963, 8.525986779665512
0.20714285714285716, 6, 14, 1.9662360407658497, 0.00309552375021665, 184.35223749405552
0.20714285714285716, 6, 16, 2.0107199087020633, 0.002692222587864918, 488.2577070204088
0.20714285714285716, 6, 18, 2.041836885824389, 0.0023949851782360003, 1810.6540404819746
0.20714285714285716, 8, 12, 2.125514868363885, 0.007483987166530093, 1.6766690353275946
0.20714285714285716, 8, 14, 2.191561123543069, 0.005725007850594698, 55.0001262882798
0.20714285714285716, 8, 16, 2.2392725564724807, 0.004704581040940559, 176.8965325387759
0.20714285714285716, 8, 18, 2.2921688770096895, 0.00407758002821869, 587.745754453314
0.21428571428571427, 2, 12, 1.2467282572380725, 0.0006598517084481637, 290.8111588908107
0.21428571428571427, 2, 14, 1.2476223017599584, 0.00060441250085911, 5686.888898308229
0.21428571428571427, 2, 16, 1.266380288933302, 0.0005677459469653095, 12115.56699709868
0.21428571428571427, 2, 18, 1.293728279928512, 0.0005462393280842411, 44605.954021274105
0.21428571428571427, 4, 12, 1.4702901282411764, 0.002147890928193074, 31.662387194122747
0.21428571428571427, 4, 14, 1.489983935942381, 0.0018733177366268808, 516.8273835302105
0.21428571428571427, 4, 16, 1.5250775361237807, 0.0017088652351512647, 1170.2433973216853
0.21428571428571427, 4, 18, 1.5571377067642682, 0.0015796740692039944, 3931.847115085349
0.21428571428571427, 6, 12, 1.649970322619057, 0.0047396981475119, 4.417917368266526
0.21428571428571427, 6, 14, 1.689969371973652, 0.003958662606101827, 112.52571783265032
0.21428571428571427, 6, 16, 1.7310205121277564, 0.0034684352727799126, 304.62973671510025
0.21428571428571427, 6, 18, 1.7796823202764633, 0.0031318235605323763, 908.9704171326116
0.21428571428571427, 8, 12, 1.8052302118283927, 0.009408506946119435, 0.9334443406375076
0.21428571428571427, 8, 14, 1.8620245123511634, 0.0073151453310638685, 34.80612973014148
0.21428571428571427, 8, 16, 1.9004283249823615, 0.0060408282310225716, 120.73668668349852
0.21428571428571427, 8, 18, 1.965604207087815, 0.00529732286400946, 306.41478914337597
0.22142857142857142, 2, 12, 1.1272149856710518, 0.0007937979458565252, 146.63682344096185
0.22142857142857142, 2, 14, 1.1311102918865032, 0.0007405205253009515, 3440.9979991584455
0.22142857142857142, 2, 16, 1.149101210301424, 0.0007000509534927856, 7328.358224648585
0.22142857142857142, 2, 18, 1.192696605593851, 0.0006745892866251883, 23649.022448570755
0.22142857142857142, 4, 12, 1.286858530451351, 0.002578934444346754, 16.480213957998174
0.22142857142857142, 4, 14, 1.3037511573661529, 0.0022821510085885826, 317.9754355934895
0.22142857142857142, 4, 16, 1.33351718374327, 0.002090693077748516, 724.3540011454222
0.22142857142857142, 4, 18, 1.3725901471141022, 0.001948720808769436, 2140.9876093384396
0.22142857142857142, 6, 12, 1.4148300689208568, 0.005696329658670479, 2.5384474533185117
0.22142857142857142, 6, 14, 1.4484006945130536, 0.004815829777949269, 72.46692099145547
0.22142857142857142, 6, 16, 1.4810041627407982, 0.00423586722258996, 205.81608230069284
0.22142857142857142, 6, 18, 1.5327102115930629, 0.003848795715695586, 519.1800144133158
0.22142857142857142, 8, 12, 1.5268453825485335, 0.011355648594558619, 0.6188169265989376
0.22142857142857142, 8, 14, 1.574591114179928, 0.008903483395773503, 23.89295409034128
0.22142857142857142, 8, 16, 1.601716890749456, 0.007378503177394357, 89.7187276466913
0.22142857142857142, 8, 18, 1.6669847509110873, 0.006497166024885905, 186.1711090522083
0.22857142857142856, 2, 12, 1.0226361170230076, 0.0009168192289775046, 75.5200099624307
0.22857142857142856, 2, 14, 1.0285093791643387, 0.0008640063397612674, 2121.7613468341447
0.22857142857142856, 2, 16, 1.0446834166449568, 0.0008179763514428609, 4573.019991538553
0.22857142857142856, 2, 18, 1.0937451447817892, 0.0007809952346629685, 12993.904242434384
0.22857142857142856, 4, 12, 1.1273352485143908, 0.002960949101321188, 9.250007679001815
0.22857142857142856, 4, 14, 1.1413595003269459, 0.002641219075480214, 205.56759193229448
0.22857142857142856, 4, 16, 1.1653821121953194, 0.0024197739495057775, 475.7448170936869
0.22857142857142856, 4, 18, 1.20492266665939, 0.0022574975932352884, 1251.4759350315103
0.22857142857142856, 6, 12, 1.2118127932406084, 0.006537720583311336, 1.6023000479359413
0.22857142857142856, 6, 14, 1.239105110633259, 0.005556185459739078, 49.522764259814245
0.22857142857142856, 6, 16, 1.2635388445183375, 0.004887151608155366, 148.3873701577062
0.22857142857142856, 6, 18, 1.3123050475105984, 0.004442395383879403, 326.6426789004155
0.22857142857142856, 8, 12, 1.288202147511935, 0.013096972625662347, 0.43080850197908105
0.22857142857142856, 8, 14, 1.3276483291115053, 0.010282305740760249, 17.25805236100446
0.22857142857142856, 8, 16, 1.3452218913998868, 0.008521117553782855, 69.66920641463744
0.22857142857142856, 8, 18, 1.4052953683516034, 0.007494819903339238, 124.78516305749723
0.2357142857142857, 2, 12, 0.9326502933698974, 0.0010047162402731524, 40.65528245077452
0.2357142857142857, 2, 14, 0.9385437089789596, 0.0009520162582292483, 1367.3273096055902
0.2357142857142857, 2, 16, 0.9514240161506927, 0.000901657747893709, 3024.0527311420738
0.2357142857142857, 2, 18, 0.9981061997045549, 0.0008510058828526412, 7619.057443559997
0.2357142857142857, 4, 12, 0.9923463131487703, 0.0032234949572111527, 5.754245605699489
0.2357142857142857, 4, 14, 1.0021142515406947, 0.002892223764910005, 142.07603004314407
0.2357142857142857, 4, 16, 1.0192981659764022, 0.0026523725704616623, 338.8926749071006
0.2357142857142857, 4, 18, 1.0549157450721152, 0.0024736402233847634, 807.5505617200629
0.2357142857142857, 6, 12, 1.0418506694002887, 0.00711879919353509, 1.1353473027944134
0.2357142857142857, 6, 14, 1.0622837915535668, 0.006081173299273806, 36.37485919161304
0.2357142857142857, 6, 16, 1.07863060430657, 0.005358693039271494, 115.12311813801571
0.2357142857142857, 6, 18, 1.1217424285334792, 0.004869799720326855, 226.9137996402484
0.2357142857142857, 8, 12, 1.0900133107388632, 0.01428702600909829, 0.31760525841854015
0.2357142857142857, 8, 14, 1.1209132042462362, 0.01124726475215449, 13.377489921340144
0.2357142857142857, 8, 16, 1.1297870688031757, 0.009339218013678463, 57.50237953372154
0.2357142857142857, 8, 18, 1.1822096716898218, 0.008199313363970165, 92.5301484474606
0.24285714285714285, 2, 12, 0.8561483538593295, 0.0010498878316520751, 22.932762641907484
0.24285714285714285, 2, 14, 0.8610023179649127, 0.0009964869966524513, 908.395547499224
0.24285714285714285, 2, 16, 0.870473001935416, 0.000942367623197805, 2072.1252389819724
0.24285714285714285, 2, 18, 0.910162027370585, 0.0008803096794184108, 4635.292005069813
0.24285714285714285, 4, 12, 0.8803659750708592, 0.0033605381341440237, 3.7885043145910253
0.24285714285714285, 4, 14, 0.8866970382523789, 0.003018096893318642, 103.09316827424732
0.24285714285714285, 4, 16, 0.8984804911469105, 0.0027610069296297455, 252.30633178173463
0.24285714285714285, 4, 18, 0.928503210246463, 0.0025671449556784244, 550.6724036276332
0.24285714285714285, 6, 12, 0.9031136185596812, 0.00742814581359197, 0.8339855476713676
0.24285714285714285, 6, 14, 0.9180301942434428, 0.00633961900103835, 27.905021045130393
0.24285714285714285, 6, 16, 0.9280413185352309, 0.005572093228093393, 92.50085472524644
0.24285714285714285, 6, 18, 0.9638671374200795, 0.005049999650890856, 167.30077043606875
0.24285714285714285, 8, 12, 0.9298421563426443, 0.014927569021554605, 0.24272471235983922
0.24285714285714285, 8, 14, 0.9535076023724174, 0.011712685857235356, 10.78976069086149
0.24285714285714285, 8, 16, 0.9556445121973609, 0.00970274476349608, 48.80035886952963
0.24285714285714285, 8, 18, 0.9989614421388998, 0.00849265218014275, 72.7763307442977
0.25, 2, 12, 0.7929350491903406, 0.0010519001100586971, 14.322877712517567
0.25, 2, 14, 0.7957397711696532, 0.0009993726933186277, 610.9371332476207
0.25, 2, 16, 0.8014683167850634, 0.0009448965337329774, 1457.597622380102
