# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.6, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-13T17:48:25.089]
10; 0.0; -6.0; 1.0000000000000004; 1.1999999999999997; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]; [0.0, 0.0, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10; 0.007142857142857143; -6.00183660966492; 0.9726762412302129; 1.1865464671359827; [0.00020404691631081828, 0.00040801055140660125, 0.0004081006239828877, 0.0004081006879699256, 0.00040810068801655497, 0.0004081006880161109, 0.00040810068797059174, 0.0004081006255021169, 0.00040801054523176283, 0.0002040469155158986]; [0.028568508734311927, 2.9137699756189712e-5, 2.9049780425681594e-8]; [5.068188009164408e-13, 1.7151234151881864e-15, NaN]; [-0.0002039628495294796, -0.00010802112991231356, -7.651497770043425e-5, -6.121198216302674e-5, -5.246741328231521e-5, -4.7086140124949705e-5, -4.3722844401590986e-5, -4.1735442383246015e-5, -4.080798810801836e-5]; [1.4998219826361425e-9, 0.00010489341596719243, 0.00010084397171963481, 9.504997836538264e-5, 9.043337246144716e-5, 8.704816829862572e-5, 8.469699175303656e-5, 8.321538059417293e-5, 8.249924529079656e-5]
10; 0.014285714285714285; -6.007344934425294; 0.9455032556110184; 1.1735038041885955; [0.0008157706543668874, 0.0016302096468228111, 0.0016316427940807898, 0.0016316468555537256, 0.0016316468675590112, 0.0016316468675598994, 0.0016316468559305353, 0.001631642888355378, 0.0016302092594906448, 0.0008157706018945277]; [0.05711939320589623, 0.0002326969152880098, 9.266739343338793e-7]; [6.418565370891283e-11, 8.673683480892939e-13, NaN]; [-0.0008144257499016606, -0.00043181766297774234, -0.00030587152592254546, -0.00024469722152278643, -0.00020974047559153076, -0.00018822863194085262, -0.00017478372965917016, -0.00016683901467453628, -0.00016313148101504044]; [2.2533959358172744e-8, 0.0004183067533223298, 0.00040239725494824587, 0.0003793514033926241, 0.00036095998183374283, 0.0003474663308051407, 0.00033809171243122713, 0.0003321833248786156, 0.0003293272906669875]
10; 0.02142857142857143; -6.016520432448251; 0.918529703153918; 1.1609516772769104; [0.0018339170241808977, 0.0036610996074157853, 0.0036682878120375406, 0.003668333440851823, 0.003668333743277019, 0.003668333743325425, 0.003668333449775796, 0.0036682888330201724, 0.003661095339400511, 0.001833916399723634]; [0.08563450296482772, 0.0007830644265306108, 6.999887739523319e-6]; [1.0772023528558283e-9, 3.265957181988567e-11, NaN]; [-0.001827110056321129, -0.000970575520328081, -0.0006874987122813073, -0.0005499989898198554, -0.00047142770561360136, -0.00042307614606359084, -0.00039285642134472855, -0.00037499931128358186, -0.000366665993255043]; [1.0186316374228716e-7, 0.0009364521919726948, 0.0009017293076038396, 0.0008503630656179232, 0.0008092630410192104, 0.0007790788425809994, 0.0007580985613004298, 0.0007448722748222728, 0.0007384780393776612]
10; 0.02857142857142857; -6.029355499403784; 0.8917646165596101; 1.1488748869860834; [0.0032564190715167474, 0.006491538875691427, 0.006513991021370735, 0.006514269876777057, 0.006514276575386946, 0.006514275777286027, 0.006514259905941122, 0.0065140155742300365, 0.006491573370117187, 0.003256397173354242]; [0.11409548564562226, 0.0020285563821001835, 4.353829695230499e-5]; [1.7879148166092843e-8, 6.936454017600636e-9, NaN]; [-0.0032349229761182707, -0.0017228792395765063, -0.0012204371307257035, -0.0009763502800563743, -0.0008368716745256157, -0.0007510386823291549, -0.000697393062163474, -0.000665693377519715, -0.0006509001913526275]; [2.9206337360302784e-7, 0.0016531226925251684, 0.0015939989421072081, 0.0015038864285743959, 0.0014315145866983633, 0.001378290783625333, 0.0013412712926501602, 0.0013179252174324104, 0.001306636519437425]
10; 0.03571428571428571; -6.04583980788154; 0.8652274330087554; 1.1372826132713088; [0.005080553872190752, 0.010109131554034256, 0.010163281899854493, 0.010164377892877274, 0.010164406834900275, 0.010164406846081553, 0.010164377930364177, 0.010163281749463238, 0.010109131337328492, 0.0050805538303145825]; [0.1424873819876515, 0.003953342152335459, 0.00013250555497051992]; [7.487028275664912e-8, 5.33861554574579e-9, NaN]; [-0.005028039674030069, -0.002686792517231741, -0.00190340159940533, -0.001522724989649408, -0.0013051929094869091, -0.0011713269711013158, -0.0010876607588974113, -0.001038221633493256, -0.0010151500416378553]; [6.265720240123972e-7, 0.002559693703963813, 0.0024724792179611067, 0.0023340972696435855, 0.0022224094972609623, 0.0021401227561183337, 0.0020828380308499685, 0.002046694729810734, 0.0020292139172538516]
10; 0.04285714285714286; -6.065959121535522; 0.838937652756654; 1.1261850826839344; [0.0073025625222952195, 0.01449743474264209, 0.014607725823494233, 0.014610910721464698, 0.0146110306607663, 0.014611030714762885, 0.014610910857246084, 0.014607725187838483, 0.01449743383591695, 0.007302562338075802]; [0.17078550661674116, 0.0067893370377024725, 0.0003255790814759695]; [2.592649495951009e-7, 3.0787656913481584e-8, NaN]; [-0.007193707764310695, -0.003859475576192353, -0.0027345492999055476, -0.002187655015919336, -0.0018751332383343858, -0.0016828118895627347, -0.0015626110405245039, -0.0014915832659599443, -0.0014584369711609084]; [1.0083752440197225e-6, 0.0036453277302888483, 0.0035285963295048203, 0.003333549522989589, 0.0031751548880798904, 0.0030581929474013734, 0.0029766793465453765, 0.0029252189191620198, 0.00290032257750064]
10; 0.05; -6.089696481159305; 0.8129162946372531; 1.115595124116147; [0.009918167588306659, 0.019637030987279314, 0.019837072730182426, 0.01984484927619401, 0.01984524317017189, 0.01984524336717941, 0.01984484966005917, 0.01983707057978168, 0.019637027971179055, 0.009918166942514794]; [0.19897102796934094, 0.010702408985206163, 0.0006932136616142394]; [7.322625286618408e-7, 1.2489860830561316e-7, NaN]; [-0.009716602595252692, -0.0052374129232757305, -0.00371169758547762, -0.00296941003293553, -0.0025452102549804296, -0.0022841631040912513, -0.002121008598430029, -0.002024599116735695, -0.001979608025253859]; [1.246025417239696e-6, 0.0048971137592937865, 0.004752049816235738, 0.00449330681841025, 0.004281605401242939, 0.004124852835399828, 0.004015463412628899, 0.003946355950555896, 0.0039129101587628565]
10; 0.05714285714285714; -6.117031389344752; 0.7871850665767489; 1.1055264076782634; [0.01292234286710725, 0.025505117133767685, 0.025838127537707756, 0.025854820577259963, 0.02585590929050663, 0.02585590987406161, 0.025854821463080713, 0.02583812136346042, 0.025505108662439824, 0.012922340953422484]; [0.22702186161604399, 0.01584001243829308, 0.0013281260862155813]; [1.7780279414992353e-6, 4.0226459379193514e-7, NaN]; [-0.012578721964277216, -0.0068161386832663725, -0.004832154089690159, -0.0038658696091610025, -0.003313608552243522, -0.002973751522795326, -0.0027613407105430304, -0.0026358252241129236, -0.002577251330255671]; [9.376533961412588e-7, 0.006300252471783648, 0.006130872797069863, 0.005802970441837765, 0.005532279315031441, 0.005331197211554888, 0.005190652578337145, 0.005101788707405264, 0.0050587634329576775]
10; 0.06428571428571428; -6.147939909235567; 0.7617666946629255; 1.0959940313919518; [0.016309417208221877, 0.032075840918297516, 0.03259467086781953, 0.03262715089769075, 0.03262987006044682, 0.032629870786522464, 0.03262715418622508, 0.032594680333783765, 0.0320758210547738, 0.01630941150556353]; [0.25491533237868413, 0.02235831679478331, 0.0023607746251689365]; [3.99627157813117e-6, 1.1596125197789487e-6, NaN]; [-0.01576125075287201, -0.00858939253400337, -0.006092629822112945, -0.004874533817100431, -0.004178196655911907, -0.0037496651331398413, -0.0034818319932224976, -0.003323566906886112, -0.003249709864659933]; [1.1240723861705162e-6, 0.007841017636021146, 0.007652927322381772, 0.007251869597865688, 0.006917421974093621, 0.006668053471249045, 0.006493446407676657, 0.006382940377547733, 0.0063294110135329665]
