# Fit results on Γ. Minimum size considered: LMin = 20.
# J, rMin, rMax, K_∞, e_K_∞, chi2n
0.2, 2, 12, 0.759777955877318, 0.003329487391662419, 5.982430400085022
0.2, 2, 14, 0.7464288434434877, 0.0031213968281624794, 32.02615561897777
0.2, 2, 16, 0.7271689912949899, 0.002878509603686269, 135.66562440014368
0.2, 2, 18, 0.7200161591138413, 0.0026947161495982372, 103.15440579544278
0.2, 4, 12, 0.6753678079621421, 0.008650792481834929, 2.9459899998290613
0.2, 4, 14, 0.6435698237213086, 0.007679784538697766, 15.927583829566359
0.2, 4, 16, 0.6167991641951023, 0.006530247061913351, 31.438488440090335
0.2, 4, 18, 0.6098414839331021, 0.005802537828445871, 30.716882057825824
0.2, 6, 12, 0.6568735041545979, 0.012668321706494647, 3.0508091161841655
0.2, 6, 14, 0.6125712595526911, 0.010625623568017821, 18.49281257883898
0.2, 6, 16, 0.5853403641980498, 0.008469615521807167, 32.9199814533205
0.2, 6, 18, 0.5816154638382861, 0.0073207021370850734, 33.288511439484076
0.2, 8, 12, 0.6553549052310895, 0.016099385890476117, 3.2654266697389938
0.2, 8, 14, 0.6014421014392333, 0.012794221712075733, 19.599159260082978
0.2, 8, 16, 0.5719721046602357, 0.009765991939272, 32.78565433372514
0.2, 8, 18, 0.5704424307945681, 0.00837167752441107, 33.03346140028424
0.20714285714285716, 2, 12, 0.723221239424029, 0.001656455265953547, 15.768650351393632
0.20714285714285716, 2, 14, 0.7097879872083603, 0.0015463101231716837, 44.924140418148426
0.20714285714285716, 2, 16, 0.6983381848231128, 0.0014599248774322608, 67.0501318663693
0.20714285714285716, 2, 18, 0.6979437433284037, 0.0013857077632092767, 234.05753858597024
0.20714285714285716, 4, 12, 0.6394356149902047, 0.00392437310029822, 6.977743639145364
0.20714285714285716, 4, 14, 0.618190251299111, 0.0034655461836239658, 29.2348060612385
0.20714285714285716, 4, 16, 0.6006961966867672, 0.003110413319079276, 60.66568880795036
0.20714285714285716, 4, 18, 0.5944956763011757, 0.0028506190801049773, 61.59642615656801
0.20714285714285716, 6, 12, 0.6146341884312386, 0.005966430802865624, 8.165124433822864
0.20714285714285716, 6, 14, 0.5873570706102272, 0.004942874603958405, 35.70288339573237
0.20714285714285716, 6, 16, 0.5664731029964746, 0.004251444485858252, 69.63432872440566
0.20714285714285716, 6, 18, 0.5611152926132476, 0.003843614327778477, 66.68049301290864
0.20714285714285716, 8, 12, 0.6096289851872925, 0.008696785184624347, 8.760006740285943
0.20714285714285716, 8, 14, 0.5749609334128575, 0.00662340114083153, 38.526941761584986
0.20714285714285716, 8, 16, 0.5497846836409891, 0.005487624507176044, 69.46139101147222
0.20714285714285716, 8, 18, 0.5460310667034943, 0.004946068763727041, 68.3248539765041
0.21428571428571427, 2, 12, 0.6968947013496319, 0.0019271528068342224, 20.59977315920345
0.21428571428571427, 2, 14, 0.7046940754465473, 0.001518722014713856, 133.26600387259106
0.21428571428571427, 2, 16, 0.6896330701559478, 0.00144074186735213, 146.67381398627128
0.21428571428571427, 2, 18, 0.6798518428435982, 0.0013890177996977936, 117.85505990605841
0.21428571428571427, 4, 12, 0.6195366127761784, 0.004082469481704168, 2.9546089910987607
0.21428571428571427, 4, 14, 0.6075674535606342, 0.0031651397495511165, 14.254456490751155
0.21428571428571427, 4, 16, 0.5915939777613692, 0.0028912190324315514, 37.70218054435109
0.21428571428571427, 4, 18, 0.5772197700150598, 0.0026805917421889305, 24.181074641680894
0.21428571428571427, 6, 12, 0.5922612044308253, 0.005415964380727835, 0.8840280583943607
0.21428571428571427, 6, 14, 0.5777312326455301, 0.004255166986908535, 8.490100693291764
0.21428571428571427, 6, 16, 0.5632130412276434, 0.003761511027889306, 31.194511837638643
0.21428571428571427, 6, 18, 0.5478127263544108, 0.0034061572119581485, 30.28883391033096
0.21428571428571427, 8, 12, 0.5806589754964915, 0.007606597742790739, 0.4004465166976915
0.21428571428571427, 8, 14, 0.5711094666196435, 0.006033994438823369, 5.756630603008724
0.21428571428571427, 8, 16, 0.5564792856566995, 0.005171418881013013, 29.991998116495353
0.21428571428571427, 8, 18, 0.5366627853905349, 0.004575262183694681, 48.1012443633047
0.22142857142857142, 2, 12, 0.6714869297815345, 0.0015640811108911352, 26.897934407331896
0.22142857142857142, 2, 14, 0.6779441738339369, 0.0012594315592914774, 145.81644478143036
0.22142857142857142, 2, 16, 0.6666082356977227, 0.001202456846751014, 153.79038348814328
0.22142857142857142, 2, 18, 0.6579064766304296, 0.0011485096309555684, 116.35062622847339
0.22142857142857142, 4, 12, 0.589037269441418, 0.003235580585569824, 2.6651536689150612
0.22142857142857142, 4, 14, 0.5797963852343665, 0.002605474560234, 11.787243231573537
0.22142857142857142, 4, 16, 0.5670048598058728, 0.00242295094546057, 33.13984837791253
0.22142857142857142, 4, 18, 0.5519478539933131, 0.0022331100041095807, 29.32366793142773
0.22142857142857142, 6, 12, 0.5578292162716725, 0.004410081803147887, 0.8842931936258646
0.22142857142857142, 6, 14, 0.5466284038873311, 0.003667840168769433, 7.886956303725646
0.22142857142857142, 6, 16, 0.5349293828820937, 0.003317278301102398, 29.597228107677726
0.22142857142857142, 6, 18, 0.5199976748476896, 0.0030008921244673663, 49.44468773969471
0.22142857142857142, 8, 12, 0.5453616225338923, 0.006764427317474649, 0.32201240631659106
0.22142857142857142, 8, 14, 0.5401021104209661, 0.0055148485395777385, 5.907304251707742
0.22142857142857142, 8, 16, 0.5294031478179501, 0.004829757819485357, 29.408200824259175
0.22142857142857142, 8, 18, 0.5154742899405809, 0.00428285885719048, 68.82247114100511
0.22857142857142856, 2, 12, 0.6436963224806317, 0.0009766778044620304, 55.638721674473004
0.22857142857142856, 2, 14, 0.6393576473951751, 0.0009343011976349555, 65.84832457020975
0.22857142857142856, 2, 16, 0.6396500468394413, 0.0008667586004731054, 172.52414807190897
0.22857142857142856, 2, 18, 0.6315285595134857, 0.0008375352006931285, 107.07260631334509
0.22857142857142856, 4, 12, 0.5602421543513215, 0.002242935610084873, 27.808494765295773
0.22857142857142856, 4, 14, 0.5555500176750859, 0.002055474805250217, 24.446889852923523
0.22857142857142856, 4, 16, 0.5487047256215708, 0.0018622524948210609, 14.327922210473748
0.22857142857142856, 4, 18, 0.5396627988598492, 0.0017446789557354445, 28.52730164380779
0.22857142857142856, 6, 12, 0.5194627096828783, 0.0034138978521386166, 15.80665505631999
0.22857142857142856, 6, 14, 0.5182153581307994, 0.003013341036246639, 12.44072764745724
0.22857142857142856, 6, 16, 0.5133320586866502, 0.002684431080694524, 5.7145084625340905
0.22857142857142856, 6, 18, 0.5045970580423728, 0.0024546770599265647, 51.79462541270097
0.22857142857142856, 8, 12, 0.48649449058782956, 0.006527786553564693, 3.1070830196857018
0.22857142857142856, 8, 14, 0.4885024554044037, 0.005368467122425358, 2.379786491415674
0.22857142857142856, 8, 16, 0.486512121938828, 0.004614011246557973, 0.4118905623894662
0.22857142857142856, 8, 18, 0.4777223470012671, 0.004077325500079132, 45.12023035816563
0.2357142857142857, 2, 12, 0.6220166300742206, 0.0007971704121932859, 132.95214742739813
0.2357142857142857, 2, 14, 0.6174297111266134, 0.0007672162253758068, 151.67204509944474
0.2357142857142857, 2, 16, 0.6129036681346595, 0.0007379458691527581, 189.577701510795
0.2357142857142857, 2, 18, 0.6143720804929274, 0.0006864676413067175, 383.2226526918361
0.2357142857142857, 4, 12, 0.5271962819566124, 0.001630665110264924, 94.0573539340605
0.2357142857142857, 4, 14, 0.524020540115139, 0.0015205584747170861, 92.84575540454658
0.2357142857142857, 4, 16, 0.5201078024360812, 0.0014240687904563533, 83.0128655728706
0.2357142857142857, 4, 18, 0.5174057623855655, 0.0013367637471419262, 68.48941137269759
0.2357142857142857, 6, 12, 0.4815039626852026, 0.002576912210427307, 33.35785841956479
0.2357142857142857, 6, 14, 0.48141673492125114, 0.0022728529023544816, 31.365862625218824
0.2357142857142857, 6, 16, 0.4805482040050837, 0.002054572148637391, 21.84465532757241
0.2357142857142857, 6, 18, 0.48095675273185834, 0.0019032942594252662, 15.211052550744688
0.2357142857142857, 8, 12, 0.46257796180056127, 0.004904110276663621, 4.054864176042455
0.2357142857142857, 8, 14, 0.4642393940001333, 0.003771364491666106, 3.4740440800739742
0.2357142857142857, 8, 16, 0.46615843971286636, 0.00313858657983251, 2.7908105883608245
0.2357142857142857, 8, 18, 0.470690950920087, 0.0027369166799001764, 5.717147270352409
0.24285714285714285, 2, 12, 0.6220080218584957, 0.0006287219199031566, 88.52006743038416
0.24285714285714285, 2, 14, 0.6152385626580044, 0.0005910094477027836, 116.2895429643752
0.24285714285714285, 2, 16, 0.6062621353863643, 0.0005637429148494123, 171.79385644877152
0.24285714285714285, 2, 18, 0.6014816867654805, 0.0005496176292740732, 271.43326352870423
0.24285714285714285, 4, 12, 0.5382626448398365, 0.0014991541119707254, 11.306357460411856
0.24285714285714285, 4, 14, 0.5266379053390426, 0.0013470101065656656, 27.647785626317543
0.24285714285714285, 4, 16, 0.5103855755498405, 0.001220090293164632, 100.85547326248158
0.24285714285714285, 4, 18, 0.5079104511227628, 0.0011526187981827061, 89.44274590998107
0.24285714285714285, 6, 12, 0.4984661705433926, 0.003273251331319045, 4.21199018015581
0.24285714285714285, 6, 14, 0.47823313269042095, 0.0026715369720608484, 17.08641067299702
