# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.2, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; Γ; eΓ; [calculated 2025-02-15T22:05:46.079]
10; 0.0; -1.9999999999999996; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0];
10; 0.007142857142857143; -2.001836609664635; [0.028568508711677442, 2.913684000961403e-5, 2.904805581641021e-8]; [5.403477954444387e-12, 1.498008592353182e-11, 1.498008592353182e-11];
10; 0.014285714285714285; -2.0073449344075347; [0.05711939240240775, 0.00023266944091703847, 9.26454256699937e-7]; [1.8352099707200835e-10, 2.309406640753973e-10, 2.309406640753973e-10];
10; 0.02142857142857143; -2.016520432261916; [0.08563449600326686, 0.0007828624677200463, 6.9962548549514155e-6]; [2.026490173411573e-9, 3.071848588547161e-9, 3.071848588547161e-9];
10; 0.02857142857142857; -2.0293555136889134; [0.11409578045436415, 0.001849943179656622, 2.9323182351337792e-5]; [3.4656334356801634e-8, 2.2983613546388745e-8, 2.2983613546388745e-8];
10; 0.03571428571428571; -2.045839807881632; [0.14248738198057628, 0.003953311992987617, 0.00013248440319091215]; [7.481208386707238e-8, 7.0940328254667315e-9, 7.0940328254667315e-9];
10; 0.04285714285714286; -2.0659591215360225; [0.17078550656735042, 0.006789263031811999, 0.0003255166886943668]; [2.590642304265557e-7, 3.328838083849024e-8, 3.328838083849024e-8];
10; 0.05; -2.0896964811620133; [0.19897102779393003, 0.010702242555014445, 0.0006930477179391257]; [7.321040285813506e-7, 1.4390577807639642e-7, 1.4390577807639642e-7];
10; 0.05714285714285714; -2.117031389354744; [0.22702186078904746, 0.01583972266076323, 0.001327773271825911]; [1.7779858704007727e-6, 4.083935974591128e-7, 4.083935974591128e-7];
10; 0.06428571428571428; -2.1479399092646205; [0.2549153317907266, 0.022358033967183, 0.00236010015884865]; [3.9942905948839115e-6, 1.1830235978598582e-6, 1.1830235978598582e-6];
10; 0.07142857142857142; -2.1823943271093076; [0.28262513201939676, 0.03034251065274221, 0.0039136732261617554]; [7.657015373766611e-6, 2.736909669700635e-6, 2.736909669700635e-6];
10; 0.07857142857142857; -2.2203631793157714; [0.31012500554402067, 0.039934605682412284, 0.006185985425988001]; [1.4123849925328334e-5, 6.011386340524867e-6, 6.011386340524867e-6];
10; 0.08571428571428572; -2.2618108817514635; [0.3373843412391219, 0.051169902770592655, 0.00931930398700335]; [2.404655556073319e-5, 1.1786320419328889e-5, 1.1786320419328889e-5];
10; 0.09285714285714286; -2.3066976350149004; [0.3643713182600514, 0.06412352591186017, 0.01352289124378281]; [3.8899341877382755e-5, 2.1655346385323106e-5, 2.1655346385323106e-5];
10; 0.1; -2.3549793023258947; [0.39105150953102175, 0.0788240056919704, 0.019031448066645293]; [6.000822800363177e-5, 3.67318634225581e-5, 3.67318634225581e-5];
10; 0.10714285714285714; -2.4066071054028524; [0.4173876529698745, 0.095275511226647, 0.02602675854590045]; [8.846642171868844e-5, 6.075747460894605e-5, 6.075747460894605e-5];
10; 0.11428571428571428; -2.461527171406161; [0.4433382821513533, 0.11347269607719712, 0.03466817196938463]; [0.00012538571485866916, 9.535365106518345e-5, 9.535365106518345e-5];
10; 0.12142857142857143; -2.519680824684208; [0.46886048485496934, 0.13335467957119032, 0.04511529374463834]; [0.0001713817524673555, 0.00014332571267262773, 0.00014332571267262773];
10; 0.12857142857142856; -2.581003710023044; [0.49390694751360886, 0.1548111946773257, 0.05748020542875971]; [0.00022657925595765056, 0.00020430488923614656, 0.00020430488923614656];
10; 0.1357142857142857; -2.645426223562823; [0.5184287773275458, 0.1777323436709548, 0.07185400870969852]; [0.00029047765025340606, 0.0002807713001843307, 0.0002807713001843307];
10; 0.14285714285714285; -2.7128731570338593; [0.5423759653813719, 0.20197151784543252, 0.08827231479863097]; [0.0003623997112896836, 0.0003738732244173342, 0.0003738732244173342];
10; 0.15; -2.783263211840227; [0.5656943786327001, 0.22733127451132948, 0.10668284292817908]; [0.0004398742855933367, 0.00048545958639885297, 0.00048545958639885297];
10; 0.15714285714285714; -2.8565095966273155; [0.5883319144223202, 0.25360271842015886, 0.12694914291369203]; [0.0005209247367701774, 0.0006023741436880686, 0.0006023741436880686];
10; 0.16428571428571428; -2.9325196007858287; [0.6102369065885853, 0.2805382825888525, 0.14894832174971212]; [0.0006030351784209254, 0.0007333118123492274, 0.0007333118123492274];
10; 0.17142857142857143; -3.011195405085668; [0.6313616472856626, 0.30789346945095813, 0.172427836918647]; [0.0006834523926050976, 0.0008709980937424596, 0.0008709980937424596];
10; 0.17857142857142858; -3.092434053847391; [0.6516630213071816, 0.3354038815585411, 0.1971328565097276]; [0.0007596513866916682, 0.0010100823637210262, 0.0010100823637210262];
10; 0.18571428571428572; -3.1761284640106164; [0.6711050642362457, 0.36281190204614466, 0.222748569593201]; [0.0008292695511959835, 0.001148623378841765, 0.001148623378841765];
10; 0.19285714285714287; -3.2621681285303517; [0.6896613068142358, 0.3898783365655661, 0.24894753646848197]; [0.0008905577404334596, 0.0012803043238379728, 0.0012803043238379728];
10; 0.2; -3.350439937117955; [0.7073144406915359, 0.41638187940707017, 0.2754157622623035]; [0.0009427917331679301, 0.0014014242457466902, 0.0014014242457466902];
10; 0.20714285714285716; -3.4408298566192346; [0.7240590898684266, 0.44213004801991956, 0.30184067273604226]; [0.0009853382989661575, 0.001507314165907277, 0.001507314165907277];
10; 0.21428571428571427; -3.5332237396898494; [0.7399006923056852, 0.46696602924806724, 0.32794001306397425]; [0.0010183588518818212, 0.0016005706392996115, 0.0016005706392996115];
10; 0.22142857142857142; -3.6275087000949253; [0.7548553237429999, 0.4907743935519919, 0.3534800954579481]; [0.0010426240695204487, 0.0016790354235550263, 0.0016790354235550263];
10; 0.22857142857142856; -3.7235742738360673; [0.7689485797190889, 0.5134747986810589, 0.37826782753656824]; [0.0010591143784944442, 0.0017417562139567494, 0.0017417562139567494];
10; 0.2357142857142857; -3.821313252463722; [0.7822136193499967, 0.5350190239882608, 0.40215042905022885]; [0.0010691246006077927, 0.0017881714128334487, 0.0017881714128334487];
