# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.6, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; Γ; eΓ; [calculated 2025-02-15T22:26:10.962]
10; 0.0; -6.0; [0.0, 0.0, 0.0]; [0.0, 0.0, 0.0];
10; 0.007142857142857143; -6.001836609664521; [0.028568508751220606, 2.9137161911925747e-5, 2.904869863641905e-8]; [1.3074217459069812e-11, 3.282359836914326e-11, 3.282359836914326e-11];
10; 0.014285714285714285; -6.00734493439936; [0.057119393718057174, 0.000232682659346067, 9.265563615117222e-7]; [6.255259306746928e-10, 2.225268466132443e-9, 2.225268466132443e-9];
10; 0.02142857142857143; -6.0165204321760815; [0.08563450518749674, 0.0007829386085520183, 6.9975982710018515e-6]; [4.161819045490367e-9, 2.757051697512361e-9, 2.757051697512361e-9];
10; 0.02857142857142857; -6.02935549824251; [0.11409548323172411, 0.0020285603300750966, 4.353886771285394e-5]; [1.8835114074230586e-8, 2.5866384789872314e-9, 2.5866384789872314e-9];
10; 0.03571428571428571; -6.045839807881577; [0.14248738199772887, 0.003953329739244022, 0.00013249547669047176]; [7.487304523105761e-8, 3.7139344836639667e-9, 3.7139344836639667e-9];
10; 0.04285714285714286; -6.065959121535794; [0.1707855066046067, 0.006789300460332615, 0.0003255468386205886]; [2.592872153111223e-7, 3.3668985998344756e-8, 3.3668985998344756e-8];
10; 0.05; -6.0896964811605425; [0.19897102786943469, 0.01070233138049217, 0.0006931334850363544]; [7.323601477075344e-7, 1.3459533099322176e-7, 1.3459533099322176e-7];
10; 0.05714285714285714; -6.1170313893492665; [0.22702186144196973, 0.01583988650868157, 0.001327965792756926]; [1.7778405700944954e-6, 3.9189561773033165e-7, 3.9189561773033165e-7];
10; 0.06428571428571428; -6.147939909246313; [0.254915331679135, 0.02235819931101889, 0.0023604936388030157]; [3.99618776744293e-6, 1.1432268188542401e-6, 1.1432268188542401e-6];
