# Hubbard model DMRG. This file contains many sizes. nmax=4, μ0=0.8, nsweeps=20, cutoff=[1.0e-8]
# L; J; E; deltaE_g^+; deltaE_g^-; nVariance; Γ; eΓ; C; eC [calculated 2025-02-15T02:09:08.570]
30; 0.0; -24.00000000000001; 0.9999999999999993; 1.6000000000000008; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
30; 0.007142857142857143; -24.005918033851678; 0.9718242765183611; 1.5861912671497251; [0.00020404691631481509, 0.00040801055141348463, 0.00040810062398422, 0.0004081006879754767, 0.00040810068802299426, 0.0004081006880227722, 0.00040810068802299426, 0.00040810068802299426, 0.0004081006880227722, 0.00040810068802299426, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880227722, 0.00040810068802299426, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880227722, 0.00040810068802299426, 0.00040810068802299426, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880227722, 0.0004081006880225502, 0.00040810068802232813, 0.000408100687976809, 0.00040810062550833415, 0.0004080105452379801, 0.00020404691552211585]; [0.028568508734680826, 2.91376997581681e-5, 2.9049780431864074e-8, 2.8878601916359683e-11, 2.869775535777564e-14, 2.851667258792084e-17, 2.833655691757239e-20, 2.815755637315823e-23]; [2.9568476687816844e-16, 4.34996846810161e-19, 4.281389684515871e-22, 4.622358265846088e-25, 5.452742921512255e-28, 5.263394237396075e-31, 4.702934252371211e-34, NaN]; [-0.00020396337074482038, -0.0001038134272898072, -7.04448374287403e-5, -5.379423949272155e-5, -4.383234328884676e-5, -3.721614052702602e-5, -3.2513001887955794e-5, -2.9006697761897547e-5, -2.6299405970020808e-5, -2.4152515686082685e-5, -2.2414266450508605e-5, -2.0983568591440704e-5, -1.9790522885105357e-5, -1.8785289976238612e-5, -1.7931413158762744e-5, -1.72016463438279e-5, -1.6575255860420463e-5, -1.6036223149245003e-5, -1.557201668942319e-5, -1.5172734209997407e-5, -1.483049208477539e-5, -1.4538983640687933e-5, -1.4293155414742165e-5, -1.4088967480129274e-5, -1.3923214921444432e-5, -1.379339473562113e-5, -1.3697607272122006e-5, -1.3634484657926902e-5, -1.360314101501623e-5]; [8.771105520236964e-10, 0.00010282864334613988, 9.753485271089468e-5, 9.026518677128693e-5, 8.406903786545107e-5, 7.900525998578571e-5, 7.484937024635e-5, 7.13966094249205e-5, 6.84916454864422e-5, 6.60201027704254e-5, 6.389741737646332e-5, 6.206022185822032e-5, 6.046028920359553e-5, 5.9060354788122967e-5, 5.78312215546655e-5, 5.67497295546023e-5, 5.579731052768952e-5, 5.4958943295941085e-5, 5.422238787889158e-5, 5.3577616506910707e-5, 5.301638595096633e-5, 5.2531912881422956e-5, 5.2118625524936676e-5, 5.177197272798455e-5, 5.1488276938167195e-5, 5.1264621399872946e-5, 5.1098764561719305e-5, 5.098907666062005e-5, 5.0934494917738537e-5]
30; 0.014285714285714285; -24.023668119036525; 0.9434506687872386; 1.5725277396163257; [0.0008157706543719945, 0.0016302096468303606, 0.0016316427940907818, 0.001631646855560387, 0.001631646867562564, 0.0016316468676005336, 0.0016316468675998674, 0.0016316468676005336, 0.0016316468676000895, 0.0016316468675998674, 0.0016316468675996454, 0.0016316468675996454, 0.0016316468675996454, 0.0016316468675996454, 0.0016316468675992013, 0.0016316468675994233, 0.0016316468675992013, 0.0016316468675989793, 0.0016316468675987572, 0.0016316468675989793, 0.0016316468675987572, 0.0016316468675994233, 0.0016316468675996454, 0.0016316468675992013, 0.0016316468675992013, 0.0016316468675650064, 0.0016316468559351982, 0.0016316428883593748, 0.0016302092594950857, 0.0008157706018991906]; [0.05711939325278471, 0.00023269691629533923, 9.266739468818521e-7, 3.6796785934270858e-9, 1.4606001864931698e-11, 5.797382803513423e-14, 2.3010704428758223e-16, 9.13329536505592e-19]; [4.3143278828085883e-16, 3.949742152893351e-18, 1.9299994680582387e-20, 6.904682374074604e-23, 1.5906766046280771e-25, 4.597861422523263e-28, 2.1459903056984057e-30, NaN]; [-0.0008144335774796057, -0.0004150407391359143, -0.0002816355383195407, -0.00021506713927986552, -0.00017523989126497444, -0.00014878858692200225, -0.0001299856336287475, -0.00011596757509937884, -0.00010514393475610007, -9.656075640807695e-5, -8.961130802970692e-5, -8.389143730394901e-5, -7.91216900320782e-5, -7.51028105380202e-5, -7.16890464223283e-5, -6.877146895135878e-5, -6.62671857679933e-5, -6.411215533627977e-5, -6.225627715528353e-5, -6.0659962356241933e-5, -5.929169252849336e-5, -5.812625385457114e-5, -5.7143442798937855e-5, -5.63271079017084e-5, -5.5664436043957385e-5, -5.514542032320078e-5, -5.47624660153504e-5, -5.4510104420776365e-5, -5.438479383588417e-5]; [1.3177120038564781e-8, 0.00041007535623183063, 0.0003892076089551584, 0.00036027368490288, 0.00033557808785189303, 0.0003153846777872922, 0.0002988069547971221, 0.00028503152993553506, 0.00027344024027880245, 0.0002635775161925079, 0.00025510635891483563, 0.0002477741558772358, 0.00024138860612118256, 0.00023580109433386114, 0.00023089516394384288, 0.0002265784284856861, 0.00022277681172389486, 0.0002194303839849416, 0.00021649030886342183, 0.0002139165745451774, 0.00021167628838161045, 0.00020974238218320564, 0.00020809262171530071, 0.00020670884510389797, 0.00020557637638326886, 0.00020468357550159028, 0.00020402149686512844, 0.0002035836363440167, 0.00020336575252477237]
30; 0.02142857142857143; -24.053238098213995; 0.9152946610879404; 1.5592864997838298; [0.001833917024172016, 0.0036610996074069035, 0.003668287812028659, 0.003668333440841609, 0.003668333743282126, 0.003668333745258767, 0.0036683337452707576, 0.0036683337452707576, 0.0036683337452707576, 0.0036683337452712017, 0.003668333745271646, 0.003668333745271646, 0.0036683337452712017, 0.0036683337452712017, 0.0036683337452714238, 0.0036683337452712017, 0.0036683337452714238, 0.003668333745271868, 0.0036683337452714238, 0.003668333745271646, 0.003668333745271646, 0.00366833374527209, 0.003668333745272534, 0.00366833374527209, 0.0036683337452596554, 0.0036683337433276453, 0.0036683334497651376, 0.0036682888330099583, 0.0036610953393900747, 0.001833916399713198]; [0.08563450375473823, 0.0007830644648553122, 6.999888807976217e-6, 6.239256956743131e-8, 5.559212416998362e-10, 4.953051411930719e-12, 4.412957178080647e-14, 3.931753147492626e-16]; [4.786328100797747e-16, 5.9033455927446835e-18, 6.404375728481491e-20, 6.515747417705887e-22, 3.7067226026523685e-24, 3.870460919891533e-26, 2.019976895260932e-28, NaN]; [-0.0018271453891309643, -0.0009330278867840171, -0.0006331345778481246, -0.0004834846103726723, -0.000393950423338325, -0.0003344862084965436, -0.00029221597335814725, -0.0002607024860363015, -0.00023637025400719116, -0.00021707472306865062, -0.00020145192103034523, -0.00018859328777373402, -0.00017787059248282412, -0.0001688358957223053, -0.00016116153682629443, -0.0001546026370721455, -0.00014897284916792265, -0.00014412820366685203, -0.00013995607145573066, -0.000136367454239169, -0.0001332914966249723, -0.0001306715163475225, -0.0001284620945736955, -0.00012662692179421113, -0.00012513719330262946, -0.00012397041294558752, -0.0001231095073002004, -0.0001225421823818121, -0.00012226047621543984]; [5.9552060506658834e-8, 0.0009180323690885805, 0.000872225530469602, 0.000807666253768177, 0.0007524344812540598, 0.0007072304178980546, 0.0006701022409443787, 0.0006392409711088337, 0.0006132675928402866, 0.0005911643124211585, 0.0005721775891052819, 0.0005557422548522976, 0.0005414279061828659, 0.0005289018185642473, 0.0005179032069793631, 0.0005082251508073907, 0.0004997017157498807, 0.0004921986408366021, 0.0004856065068811318, 0.0004798356591840253, 0.00047481239000720087, 0.0004704760399351772, 0.00046677677998338036, 0.00046367390607066625, 0.0004611345255784426, 0.000459132549444478, 0.00045764792731259075, 0.00045666608080359363, 0.00045617750308926376]
30; 0.02857142857142857; -24.09460758661981; 0.8873308060863743; 1.5465442341768594; [0.003256419071510308, 0.006491538875684988, 0.0065139910213734, 0.006514269877455847, 0.006514276595920077, 0.0065142767135408786, 0.0065142767158401504, 0.006514276715873901, 0.006514276715874123, 0.006514276715873457, 0.006514276715873679, 0.006514276715873679, 0.006514276715873901, 0.006514276715874123, 0.006514276715873679, 0.006514276715873901, 0.006514276715873679, 0.006514276715873901, 0.006514276715874345, 0.006514276715873679, 0.006514276715874345, 0.006514276715873679, 0.006514276715867018, 0.00651427671519067, 0.0065142766953356634, 0.006514275779614165, 0.006514259905969544, 0.00651401557422604, 0.006491573370113413, 0.003256397173350467]; [0.11409549757784844, 0.0020285616771479787, 4.353899403800106e-5, 9.71290369052506e-7, 2.1797687182859948e-8, 4.895279927367544e-10, 1.0993464110090835e-11, 2.4686449014237953e-13]; [1.3757821179455909e-15, 1.2344780085602299e-16, 5.355927075414415e-17, 1.9962128491693035e-18, 5.668083501171358e-20, 8.812416374023338e-22, 1.8342146230911566e-23, NaN]; [-0.0032350279391307516, -0.0016566139063487004, -0.0011242046967914635, -0.0008584843147076678, -0.0006995057463212791, -0.0005939199733969082, -0.00051886415258495, -0.0004629082145615944, -0.00041970344786960675, -0.0003854419419214422, -0.00035770180216227414, -0.0003348697722373139, -0.0003158303537491666, -0.0002997881770510313, -0.0002861614417307405, -0.0002745153365442108, -0.00026451897975145075, -0.00025591673650764797, -0.00024850862045097883, -0.00024213660454209664, -0.00023667487662019826, -0.0002320227905933578, -0.0002280996999312301, -0.00022484113278942148, -0.00022219594299195347, -0.00022012418594778216, -0.00021859554576762134, -0.00021758819302216968, -0.00021708799027960043]; [1.7177466596411968e-7, 0.001620631709681581, 0.0015419744404991912, 0.001428544602663912, 0.0013311802958521034, 0.0012513898645990543, 0.0011858094392706263, 0.0011312754284325316, 0.001085365596172622, 0.0010462884541908675, 0.0010127160285612986, 0.000983651525276229, 0.0009583354127449614, 0.0009361802911141375, 0.000916725618843197, 0.0008996058869554747, 0.0008845279268469947, 0.0008712544906767725, 0.0008595922013989226, 0.0008493825938726788, 0.0008404953768867604, 0.0008328233158069031, 0.0008262783162593376, 0.0008207884120393133, 0.000816295445153812, 0.0008127532853326135, 0.0008101264787768125, 0.000808389246851113, 0.0008075247785634055]
30; 0.03571428571428571; -24.147749215075144; 0.8595438982830352; 1.5342128373690074; [0.005080553869577287, 0.010109131552453299, 0.010163281902333399, 0.010164377890167664, 0.010164406866451703, 0.010164407729337466, 0.010164407752963456, 0.010164407756918958, 0.010164407754146287, 0.010164407756764193, 0.010164407754360782, 0.010164407756630744, 0.010164407754499116, 0.010164407756558358, 0.010164407754563953, 0.010164407756536153, 0.010164407754574833, 0.010164407756570126, 0.010164407754521099, 0.010164407756659832, 0.01016440775441163, 0.010164407756780847, 0.010164407754239546, 0.010164407756053873, 0.010164407726233504, 0.010164406871249865, 0.010164377935172775, 0.010163281746528696, 0.010109131336393462, 0.0050805538296228026]; [0.14248743932409352, 0.003953350979683622, 0.00013250690777805664, 4.617324197526987e-6, 1.6186508271282532e-7, 5.678389215999474e-9, 1.9919902959005093e-10, 6.987404873521268e-12]; [3.021259385839036e-12, 4.6452599374203266e-10, 2.8942520766708307e-11, 1.2534884216180455e-12, 4.990683593387264e-14, 1.877918539753267e-15, 6.928860248886205e-17, NaN]; [-0.005028257897215156, -0.0025842371108649675, -0.0017538730321077303, -0.0013393256219712505, -0.0010913024383258738, -0.000926577543527289, -0.0008094825792668415, -0.0007221854383661918, -0.0006547814641187304, -0.0006013299160274336, -0.0005580523841921474, -0.0005224320192437348, -0.0004927285265108354, -0.0004677010457991873, -0.0004464419073537858, -0.00042827275996149347, -0.0004126773933522667, -0.00039925699031643293, -0.0003876995511230765, -0.00037775853699172584, -0.00036923766773628506, -0.0003619799248815257, -0.0003558594913690442, -0.0003507757843494933, -0.00034664901041597714, -0.00034341685181070436, -0.00034103201256202353, -0.0003394604364672705, -0.0003386800676478068]; [3.6655751554681885e-7, 0.002509390764175018, 0.002392021085068465, 0.002217485087657213, 0.002067010566158125, 0.0019434857283977224, 0.0018418683815262476, 0.0017573208547961832, 0.0016861174144543556, 0.0016254948643334613, 0.0015734016398603883, 0.0015282961988320758, 0.0014890030638038977, 0.0014546126624662955, 0.0014244115635868014, 0.0013978333674319395, 0.0013744236550485669, 0.001353814607188911, 0.0013357063668103738, 0.0013198531760112153, 0.0013060529456596342, 0.001294139331260643, 0.001283975667026598, 0.001275450299475894, 0.0012684729926510634, 0.0012629721688310204, 0.001258892814191786, 0.0012561949267029012, 0.0012548524193351286]
