# Fit results on Γ. Minimum size considered: LMin = 20.
# J, rMin, rMax, K_∞, e_K_∞, chi2n
0.2, 2, 12, 1.5418851411957846, 0.00045897767297280656, 2243.8602263781654
0.2, 2, 14, 1.5331722256677935, 0.0003915409934942717, 16799.248144029625
0.2, 2, 16, 1.5775643777174078, 0.00037377509535005356, 27429.871249422344
0.2, 2, 18, 1.523643580348097, 0.00032921935786746353, 148226.2931678122
0.2, 2, 20, 1.636029301056394, 0.0003229532677798789, 132414.38828805438
0.20714285714285716, 2, 12, 1.3937073903274146, 0.0005909518209709444, 1129.8340319607607
0.20714285714285716, 2, 14, 1.3763924593137549, 0.0005117372883209233, 10168.48745845963
0.20714285714285716, 2, 16, 1.4132837446881086, 0.000493693397667073, 15750.127257516759
0.20714285714285716, 2, 18, 1.3679565553645785, 0.0004514597712260954, 89061.29777171268
0.20714285714285716, 2, 20, 1.4553137062397599, 0.00044117853004922453, 74298.39313057806
0.21428571428571427, 2, 12, 1.2577192325230522, 0.0007333026032299188, 622.1082943046865
0.21428571428571427, 2, 14, 1.241908780403469, 0.0006497557846323002, 6207.001721075532
0.21428571428571427, 2, 16, 1.2804021873009892, 0.0006287509532072605, 8677.686981899458
0.21428571428571427, 2, 18, 1.278045784816901, 0.0005954546381919696, 42528.447926063345
0.21428571428571427, 2, 20, 1.3526104075520171, 0.0005766540239963032, 34505.07025352338
0.22142857142857142, 2, 12, 1.1397583558844737, 0.0008779903982092235, 339.349214368192
0.22142857142857142, 2, 14, 1.127296364135971, 0.0007952815165873576, 3867.7908091972427
0.22142857142857142, 2, 16, 1.1620221857571447, 0.0007688836167942866, 4956.283917053661
0.22142857142857142, 2, 18, 1.180819108742773, 0.0007390804531048526, 23055.54759103409
0.22142857142857142, 2, 20, 1.2358675799248307, 0.000711257861790294, 18384.06192278239
0.22857142857142856, 2, 12, 1.0351010210314637, 0.0010078864044644365, 192.89445198283022
0.22857142857142856, 2, 14, 1.0260095219003789, 0.0009279056426910874, 2449.0037004794353
0.22857142857142856, 2, 16, 1.0556587441219458, 0.0008936604563970486, 2926.029854896199
0.22857142857142856, 2, 18, 1.086229984956184, 0.0008599978093719467, 12733.685552942043
0.22857142857142856, 2, 20, 1.1254452135086022, 0.0008235985293659578, 10110.524293313054
0.2357142857142857, 2, 12, 0.9448469711625482, 0.0011003307472572904, 113.7082001760354
0.2357142857142857, 2, 14, 0.9374879240776426, 0.0010235729949034673, 1623.1455933984412
0.2357142857142857, 2, 16, 0.9608691501103587, 0.000982674487564514, 1844.8822230769736
0.2357142857142857, 2, 18, 0.99445343358999, 0.0009420167249092116, 7609.212905862624
0.2357142857142857, 2, 20, 1.0204862820648957, 0.000900453377745043, 6104.960736687441
0.24285714285714285, 2, 12, 0.867613923729988, 0.0011473891989735, 69.69773336817751
0.24285714285714285, 2, 14, 0.8609454632348991, 0.0010730981880785364, 1108.592077719015
0.24285714285714285, 2, 16, 0.8785543523293089, 0.0010272169271767218, 1206.8466173869708
0.24285714285714285, 2, 18, 0.9092040374328633, 0.000979511014333119, 4626.534916845698
0.24285714285714285, 2, 20, 0.926328390700961, 0.0009353124536719883, 3769.780662231104
0.25, 2, 12, 0.8035256470173889, 0.0011501082929665466, 43.500512614024494
0.25, 2, 14, 0.7964959520696586, 0.0010780441393771832, 769.080071714389
0.25, 2, 16, 0.8088824067896798, 0.001030932484357186, 809.0525034053189
0.25, 2, 18, 0.8335404205137464, 0.0009804834356264356, 2964.4562105817645
0.25, 2, 20, 0.844491528611286, 0.0009363628425363156, 2469.0084163732427
0.2571428571428571, 2, 12, 0.7508674861086793, 0.00110977886501906, 27.43316730610895
0.2571428571428571, 2, 14, 0.7434955180135926, 0.0010420174129198991, 555.8884997372197
0.2571428571428571, 2, 16, 0.7516026279605275, 0.0009969466494980461, 565.8248855342564
0.2571428571428571, 2, 18, 0.7701349207263253, 0.0009477285242309311, 1972.831255687754
0.2571428571428571, 2, 20, 0.7768697581676937, 0.0009058712247533443, 1683.4499781675092
0.2642857142857143, 2, 12, 0.7078546177292802, 0.0010463597717632854, 17.77013446242307
0.2642857142857143, 2, 14, 0.700245550214068, 0.0009833007519892928, 400.217154731597
0.2642857142857143, 2, 16, 0.7050829858668618, 0.0009424110269487029, 396.52950925193164
0.2642857142857143, 2, 18, 0.7179382635485253, 0.0008976941660917817, 1352.5318585871055
0.2642857142857143, 2, 20, 0.7218084026088151, 0.0008591000351459014, 1183.6564680036445
0.2714285714285714, 2, 12, 0.6726637358267901, 0.0009724454851207065, 12.625863190655139
0.2714285714285714, 2, 14, 0.6648287536023965, 0.0009133136928480892, 294.33633324829304
0.2714285714285714, 2, 16, 0.6672669668660641, 0.0008774544277366996, 282.12779374951157
0.2714285714285714, 2, 18, 0.6752781664227784, 0.0008388289748267855, 909.0041238432494
0.2714285714285714, 2, 20, 0.6773069744335557, 0.0008037708024234766, 814.9433395814018
0.2785714285714286, 2, 12, 0.6435967018806253, 0.0008946070695136315, 10.652516432806399
0.2785714285714286, 2, 14, 0.6358182758530978, 0.0008392084930820015, 220.97777490949505
0.2785714285714286, 2, 16, 0.6365866600209185, 0.0008087411392044734, 204.78269466596637
0.2785714285714286, 2, 18, 0.6410484033412536, 0.000776523323266146, 616.4552735671261
0.2785714285714286, 2, 20, 0.6417625114331262, 0.0007455366758160135, 567.0679928732936
0.2857142857142857, 2, 12, 0.61923237604699, 0.0008186816113914604, 10.900874774951953
0.2857142857142857, 2, 14, 0.6117809811059887, 0.0007668164621714653, 169.30726501435777
