# Hubbard model DMRG. L=30, N=30, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-18T15:01:55.281]
0.0; 0.0; 4.750028119041913e-29; 0.2318184304376112; 0.4814752646165856 # SF
0.0; 0.034482758620689655; -1.0344827586206884; 0.0; 0.0 # MI
0.0; 0.06896551724137931; -2.0689655172413817; 0.0; 0.0 # MI
0.0; 0.10344827586206896; -3.1034482758620685; 0.0; 0.0 # MI
0.0; 0.13793103448275862; -4.137931034482763; 0.0; 0.0 # MI
0.0; 0.1724137931034483; -5.172413793103451; 0.0; 0.0 # MI
0.0; 0.20689655172413793; -6.206896551724137; 0.0; 0.0 # MI
0.0; 0.2413793103448276; -7.241379310344824; 0.0; 0.0 # MI
0.0; 0.27586206896551724; -8.275862068965514; 0.0; 0.0 # MI
0.0; 0.3103448275862069; -9.310344827586198; 0.0; 0.0 # MI
0.0; 0.3448275862068966; -10.344827586206902; 0.0; 0.0 # MI
0.0; 0.3793103448275862; -11.37931034482758; 0.0; 0.0 # MI
0.0; 0.41379310344827586; -12.413793103448274; 0.0; 0.0 # MI
0.0; 0.4482758620689655; -13.448275862068972; 0.0; 0.0 # MI
0.0; 0.4827586206896552; -14.482758620689648; 0.0; 0.0 # MI
0.0; 0.5172413793103449; -15.517241379310352; 0.0; 0.0 # MI
0.0; 0.5517241379310345; -16.55172413793103; 0.0; 0.0 # MI
0.0; 0.5862068965517241; -17.586206896551722; 0.0; 0.0 # MI
0.0; 0.6206896551724138; -18.620689655172395; 0.0; 0.0 # MI
0.0; 0.6551724137931034; -19.6551724137931; 0.0; 0.0 # MI
0.0; 0.6896551724137931; -20.689655172413804; 0.0; 0.0 # MI
0.0; 0.7241379310344828; -21.724137931034484; 0.0; 0.0 # MI
0.0; 0.7586206896551724; -22.75862068965516; 0.0; 0.0 # MI
0.0; 0.7931034482758621; -23.793103448275847; 0.0; 0.0 # MI
0.0; 0.8275862068965517; -24.827586206896548; 0.0; 0.0 # MI
0.0; 0.8620689655172413; -25.862068965517253; 0.0; 0.0 # MI
0.0; 0.896551724137931; -26.896551724137943; 0.0; 0.0 # MI
0.0; 0.9310344827586207; -27.931034482758605; 0.0; 0.0 # MI
0.0; 0.9655172413793104; -28.965517241379295; 0.0; 0.0 # MI
0.0; 1.0; -30.0; 0.0; 0.0 # MI
0.01206896551724138; 0.0; -0.17731837226183797; 0.19481766060538364; 0.055512235460367876 # SF
0.01206896551724138; 0.034482758620689655; -1.0513765875768557; 0.0011647678034880649; 6.414118630575494e-12 # MI
0.01206896551724138; 0.06896551724137931; -2.085859346196721; 0.0011647678002972839; 8.045758708348826e-13 # MI
0.01206896551724138; 0.10344827586206896; -3.120342104817979; 0.0011647677926578393; -2.46733090852146e-12 # MI
0.01206896551724138; 0.13793103448275862; -4.15482486343671; 0.0011647678076871504; 9.932156711982949e-14 # MI
0.01206896551724138; 0.1724137931034483; -5.189307622053157; 0.0011647678148762886; 4.8259739833734813e-14 # MI
