# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-19T12:02:35.571]
0.007142857142857143; 0.02040816326530612; -0.20591824231771838; 0.0004081006869678383; -1.9678832488243706e-13 # MI
0.007142857142857143; 0.04081632653061224; -0.40999987497080914; 0.00040810068737617833; 3.9322943744444017e-16 # MI
0.007142857142857143; 0.061224489795918366; -0.6140815076239008; 0.000408100687314894; 4.5752462397713315e-15 # MI
0.007142857142857143; 0.08163265306122448; -0.8181631402768996; 0.0004081006876108795; 6.686556316408442e-13 # MI
0.007142857142857143; 0.10204081632653061; -1.0222447729299562; 0.00040810068757402007; -8.581213088741523e-14 # MI
0.007142857142857143; 0.12244897959183673; -1.2263264055830756; 0.0004081006872989068; 2.578878920101319e-15 # MI
0.007142857142857143; 0.14285714285714285; -1.4304080382360347; 0.0004081006875951143; -7.118379684831707e-15 # MI
0.007142857142857143; 0.16326530612244897; -1.6344896708891454; 0.0004081006871794468; 3.636235737928957e-16 # MI
0.007142857142857143; 0.1836734693877551; -1.8385713035422353; 0.0004081006875353843; -1.2859903385471249e-15 # MI
0.007142857142857143; 0.20408163265306123; -2.0426529361952523; 0.0004081006873273285; 2.911769910806446e-14 # MI
0.007142857142857143; 0.22448979591836735; -2.2467345688482494; 0.0004081006877285631; 7.363404636358455e-16 # MI
0.007142857142857143; 0.24489795918367346; -2.4508162015013175; 0.0004081006878469129; 6.58366183831717e-15 # MI
0.007142857142857143; 0.2653061224489796; -2.65489783415439; 0.0004081006879754767; 1.475259475354962e-15 # MI
0.007142857142857143; 0.2857142857142857; -2.858979466807435; 0.00040810068804142396; -2.7897582087462063e-15 # MI
0.007142857142857143; 0.30612244897959184; -3.063061099460494; 0.00040810068804941757; -1.5386511021347734e-16 # MI
0.007142857142857143; 0.32653061224489793; -3.267142732113543; 0.00040810068789443044; -4.581429923952941e-15 # MI
0.007142857142857143; 0.3469387755102041; -3.4712243647665804; 0.0004081006874403492; -1.299865525597835e-14 # MI
0.007142857142857143; 0.3673469387755102; -3.6753059974196765; 0.0004081006882004079; -5.234874256366381e-17 # MI
0.007142857142857143; 0.3877551020408163; -3.879387630072708; 0.00040810068836094615; -3.133959035529937e-16 # MI
0.007142857142857143; 0.40816326530612246; -4.08346926272581; 0.00040810068786512055; -1.867773950872487e-17 # MI
0.007142857142857143; 0.42857142857142855; -4.287550895378834; 0.0004081006889282701; 5.383920338223199e-15 # MI
0.007142857142857143; 0.4489795918367347; -4.491632528031887; 0.0004081006889302685; 1.886371008332108e-15 # MI
0.007142857142857143; 0.46938775510204084; -4.6957141606849415; 0.00040810068898311513; -2.8129163484967e-14 # MI
0.007142857142857143; 0.4897959183673469; -4.89979579333799; 0.0004081006881995197; -1.7153115334817029e-15 # MI
0.007142857142857143; 0.5102040816326531; -5.10387742599106; 0.0004081006882477034; -3.668221975930793e-14 # MI
0.007142857142857143; 0.5306122448979592; -5.307959058644133; 0.0004081006886085259; 3.695728938617575e-14 # MI
0.007142857142857143; 0.5510204081632653; -5.512040691297177; 0.0004081006889287142; -1.3246371924876025e-13 # MI
0.007142857142857143; 0.5714285714285714; -5.716122323950243; 0.0004081006890630512; 5.119579519029992e-14 # MI
0.007142857142857143; 0.5918367346938775; -5.920203956603292; 0.00040810068783248; 7.642379267101734e-14 # MI
0.007142857142857143; 0.6122448979591837; -6.124285589256347; 0.0004081006884109062; -4.177262680236223e-13 # MI
0.007142857142857143; 0.6326530612244898; -6.328367221909424; 0.00040810068777408226; 8.294381860012942e-13 # MI
0.007142857142857143; 0.6530612244897959; -6.532448854562514; 0.00040810068713525993; 1.0732428163423072e-12 # MI
0.007142857142857143; 0.673469387755102; -6.736530487215539; 0.00040810068825591905; -5.227186581084964e-13 # MI
0.007142857142857143; 0.6938775510204082; -6.940612119868602; 0.0004081006889147254; 1.7900722776791966e-11 # MI
0.007142857142857143; 0.7142857142857143; -7.144693752521672; 0.00040810068893981644; -5.827861503840126e-13 # MI
0.007142857142857143; 0.7346938775510204; -7.348775385174703; 0.0004081006878948745; 2.8324295863136874e-11 # MI
0.007142857142857143; 0.7551020408163265; -7.55285701782778; 0.00040810068914387543; 4.1100700701270756e-11 # MI
0.007142857142857143; 0.7755102040816326; -7.756938650480892; 0.00040810068702823443; -6.3854821989238134e-12 # MI
0.007142857142857143; 0.7959183673469388; -7.961020283133896; 0.00040810068820551493; -3.8444310975938026e-11 # MI
0.007142857142857143; 0.8163265306122449; -8.165101915786979; 0.0004081006877960647; 4.2550372301751564e-11 # MI
0.007142857142857143; 0.8367346938775511; -8.369183548440036; 0.00040810068874619354; -3.43984049038484e-12 # MI
0.007142857142857143; 0.8571428571428571; -8.573265181093102; 0.00040810068917496167; -5.903911274693683e-11 # MI
0.007142857142857143; 0.8775510204081632; -8.777346813746139; 0.00040810068825392065; -7.065599020598758e-11 # MI
0.007142857142857143; 0.8979591836734694; -8.981428446399214; 0.0004081006882801219; 6.873965884096703e-11 # MI
0.007142857142857143; 0.9183673469387755; -9.185510079052275; 0.00040810068822749734; -7.423648193396998e-11 # MI
0.007142857142857143; 0.9387755102040817; -9.389591711705348; 0.0004081006872937998; 9.91058558816214e-12 # MI
0.007142857142857143; 0.9591836734693877; -9.5936733443584; 0.0004081006891243355; -9.586948245406958e-11 # MI
0.007142857142857143; 0.9795918367346939; -9.780733088064865; 0.078155690737991; 0.17120349475972513 # SF
0.007142857142857143; 1.0; -10.080759799514631; 0.2481989117653618; 0.03564684946881202 # SF
0.014285714285714285; 0.0; -0.06407818248817462; 0.017254626906188453; 0.05214760138232329 # SF
0.014285714285714285; 0.02040816326530612; -0.2070341846298718; 0.2250777966469265; -0.24905626740435335 # SF
0.014285714285714285; 0.04081632653061224; -0.41550819971357367; 0.0016316467716028793; -1.7714290415420393e-11 # MI
0.014285714285714285; 0.061224489795918366; -0.6195898323626685; 0.001631646766210082; -2.941921475461996e-12 # MI
0.014285714285714285; 0.08163265306122448; -0.8236714650181822; 0.001631646830994482; 2.1685330700607554e-13 # MI
