# Hubbard model DMRG. L=5, N=5, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a>; k[calculated 2025-02-19T12:13:51.733]
0.02; 0.5333333333333333; -2.6730621740659695; 0.003196050574360676; 2.9019451924547e-10; 6.374900607325194e-11 # MI
0.02; 0.5555555555555556; -2.7841732851774394; 0.0031960505963402053; -5.1793305902751774e-9; -1.714428599080237e-10 # MI
0.02; 0.5777777777777777; -2.89528439628828; 0.003196050608484491; 5.3892363530496896e-9; 7.993605777270939e-13 # MI
0.02; 0.6; -3.006395507399127; 0.003196050610620116; -5.606413203364914e-9; 7.494005416191218e-13 # MI
0.02666666666666667; 0.4; -2.011363548163578; 0.005676140201140045; -1.6913594742237335e-11; NaN # MI
0.02666666666666667; 0.4222222222222222; -2.1224746592703263; 0.005676140599133905; 1.847654377500566e-10; 44.99999999877255 # MI
0.02666666666666667; 0.4444444444444444; -2.2335857703751785; 0.0056761411236050385; 2.8720473488037526e-10; 4.7701842473341e-11 # MI
0.02666666666666667; 0.4666666666666667; -2.3446968814816325; 0.0056761417619375365; 5.5601859864541444e-9; -3.6181058147516775e-11 # MI
0.02666666666666667; 0.4888888888888889; -2.4558079925879275; 0.005676141687479541; 1.946425127903075e-8; -7.862810402611833e-10 # MI
0.02666666666666667; 0.5111111111111111; -2.5669191036972796; 0.005676141325893891; -1.9225485675333646e-8; 1.023181539473492e-11 # MI
0.02666666666666667; 0.5333333333333333; -2.6780302148071695; 0.005676141511437027; -2.0424444561609864e-8; -1.828537321520154e-12 # MI
0.02666666666666667; 0.5555555555555556; -2.789141325917016; 0.005676141674114232; 2.1577762145578428e-8; 3.2673863614043906e-12 # MI
0.02666666666666667; 0.5777777777777777; -2.900252437026697; 0.005676141830699422; -2.2440759676191972e-8; 4.136690989667205e-12 # MI
0.02666666666666667; 0.6; -3.0113635481362095; 0.005676141856397976; -2.3042853079200065e-8; 3.497202527495868e-12 # MI
0.03333333333333333; 0.4; -2.017743037132135; 0.008857067014056641; -6.287581405301725e-14; NaN # MI
0.03333333333333333; 0.4222222222222222; -2.1288541478958845; 0.008857066285345994; -1.79213294616727e-12; 45.000000126980616 # MI
0.03333333333333333; 0.4444444444444444; -2.2399652586969108; 0.008857065708781864; -4.835754615997737e-14; 1.1368741007063425e-8 # MI
0.03333333333333333; 0.4666666666666667; -2.3510763696042662; 0.008857066621151155; 1.03105277554698e-9; 8.420214568578962e-10 # MI
0.03333333333333333; 0.4888888888888889; -2.462187480390525; 0.008857065427661626; 2.297757796790915e-13; 1.916619371361888e-8 # MI
0.03333333333333333; 0.5111111111111111; -2.5732985912779887; 0.008857066264315483; 1.4092954429278167e-14; 1.0025365575867073e-8 # MI
0.03333333333333333; 0.5333333333333333; -2.6844097021986237; 0.008857063922521169; 1.1479940602439331e-14; 8.055381389703321e-9 # MI
0.03333333333333333; 0.5555555555555556; -2.795520813140904; 0.008857065770337291; 2.217107574256028e-15; 8.42243777310167e-9 # MI
0.03333333333333333; 0.5777777777777777; -2.9066319241115446; 0.00885706138378417; -1.2081856099786598e-16; 8.612240943566551e-9 # MI
0.03333333333333333; 0.6; -3.0177430350739005; 0.008857056447720835; 1.2571589983559244e-15; 2.1274886889296474e-8 # MI
0.04; 0.4; -2.025528017478409; 0.012732915278340418; -6.361243203718062e-17; NaN # MI
0.04; 0.4222222222222222; -2.1366391285895214; 0.012732915267288814; -3.290878910741106e-17; 44.99999999999975 # MI
0.04; 0.4444444444444444; -2.2477502397006295; 0.012732915281261414; 1.634135181129788e-17; 0.0 # MI
0.04; 0.4666666666666667; -2.3588613508117384; 0.01273291527790188; -9.453768305169748e-17; 3.996802888650497e-14 # MI
0.04; 0.4888888888888889; -2.469972461922849; 0.012732915272991363; -7.182244936318634e-17; 3.9968028886505004e-14 # MI
0.04; 0.5111111111111111; -2.581083573033961; 0.012732915275052603; 2.468855460493985e-17; 5.995204332975734e-14 # MI
0.04; 0.5333333333333333; -2.6921946841450666; 0.012732915276850498; -1.6222943272491258e-16; -4.996003610813111e-14 # MI
0.04; 0.5555555555555556; -2.8033057952561755; 0.012732915279054735; 8.339289737797915e-18; 2.997602166487862e-14 # MI
0.04; 0.5777777777777777; -2.914416906367279; 0.012732915281292723; -2.4808660841015086e-17; -4.99600361081314e-14 # MI
0.04; 0.6; -3.0255280174783934; 0.012732915283556467; -2.9467444392938764e-17; 8.992806499463571e-14 # MI
0.04666666666666667; 0.4; -2.0347108853948175; 0.017294336613335348; 6.298542726828977e-18; NaN # MI
0.04666666666666667; 0.4222222222222222; -2.1458219965059206; 0.01729433661879387; 1.006098548191951e-17; 44.99999999999872 # MI
0.04666666666666667; 0.4444444444444444; -2.256933107617024; 0.017294336625021334; 1.007276495785151e-16; 7.993605777300635e-14 # MI
0.04666666666666667; 0.4666666666666667; -2.3680442187281265; 0.01729433663030666; -6.3419707741659e-17; 8.992806499463156e-14 # MI
0.04666666666666667; 0.4888888888888889; -2.479155329839231; 0.017294336636412222; 2.0191557002040805e-17; 7.993605777300576e-14 # MI
0.04666666666666667; 0.5111111111111111; -2.5902664409503307; 0.017294336642721175; 1.8690495433853393e-17; 6.994405055137981e-14 # MI
0.04666666666666667; 0.5333333333333333; -2.701377552061432; 0.017294336648913555; 1.6859855085817514e-16; 8.99280649946306e-14 # MI
0.04666666666666667; 0.5555555555555556; -2.812488663172534; 0.017294336655466536; 2.254572275178178e-16; 9.992007221625578e-14 # MI
0.04666666666666667; 0.5777777777777777; -2.923599774283638; 0.017294336662930343; 1.3794977646315403e-16; 9.992007221625583e-14 # MI
0.04666666666666667; 0.6; -3.034710885394734; 0.017294336667026178; 2.1465150303927069e-16; 9.99200722162549e-14 # MI
0.05333333333333334; 0.4; -2.0452828666735194; 0.022530486990005816; -5.0996263089371656e-17; NaN # MI
0.05333333333333334; 0.4222222222222222; -2.156393977784592; 0.022530486999101873; -5.3807306823467086e-17; 44.999999999995225 # MI
0.05333333333333334; 0.4444444444444444; -2.26750508889568; 0.022530487019281065; 5.164214213714455e-17; 2.5979218776222817e-13 # MI
0.05333333333333334; 0.4666666666666667; -2.3786162000067606; 0.02253048703496252; 5.8423163466492e-17; 2.797762022054723e-13 # MI
0.05333333333333334; 0.4888888888888889; -2.489727311117835; 0.022530487048182835; 1.4576571643798674e-16; 2.298161660973505e-13 # MI
0.05333333333333334; 0.5111111111111111; -2.6008384222289105; 0.022530487063171956; -1.6309223169379662e-16; 3.3972824553520864e-13 # MI
0.05333333333333334; 0.5333333333333333; -2.711949533339985; 0.02253048707948624; 6.254508672808413e-15; 2.9976021664870876e-13 # MI
0.05333333333333334; 0.5555555555555556; -2.823060644451066; 0.022530487101953156; -1.329958010683642e-16; 2.6978419498383463e-13 # MI
0.05333333333333334; 0.5777777777777777; -2.934171755562133; 0.0225304871168146; -1.1362165302326688e-16; 3.09752223870326e-13 # MI
0.05333333333333334; 0.6; -3.045282866673189; 0.022530487123208376; 1.9176270785142922e-16; 4.3964831775141957e-13 # MI
0.06; 0.4; -2.0572336735889096; 0.028427344181185976; 1.2594603616587161e-16; NaN # MI
0.06; 0.4222222222222222; -2.168344784699973; 0.028427343847193143; -2.556913329671277e-16; 44.99999999998531 # MI
0.06; 0.4444444444444444; -2.2794558958109414; 0.02842734423538862; 1.4900600142569082e-16; 9.2925667161061e-13 # MI
0.06; 0.4666666666666667; -2.390567006921952; 0.02842734388323631; -7.823535957122892e-16; 9.292566716105692e-13 # MI
0.06; 0.4888888888888889; -2.5016781180329626; 0.028427343924807058; 3.685156139221858e-18; 7.094325127349301e-13 # MI
0.06; 0.5111111111111111; -2.6127892291439747; 0.02842734396936364; 1.0078536441538203e-16; 7.793765632862343e-13 # MI
0.06; 0.5333333333333333; -2.7239003402549766; 0.02842734401061331; 2.267237336557322e-16; 9.192646643888517e-13 # MI
0.06; 0.5555555555555556; -2.835011451365926; 0.028427344011512146; -3.3189113246283144e-16; 1.2789769243670256e-12 # MI
0.06; 0.5777777777777777; -2.9461225624769534; 0.028427344080021788; 6.493902826519833e-16; 7.79376563286133e-13 # MI
0.06; 0.6; -3.057233673587849; 0.02842734439020056; -7.924166921547621e-16; 1.6986412276747687e-12 # MI
# [finished at 2025-02-19T12:14:36.038]
