# Hubbard model DMRG. L=12, N=12, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Check the code.
# J, μ, E, n_variance, <a_i> [calculated 2025-02-11T17:29:05.045 @site  i=6]
0.018421052631578946, 1.0, -12.28595516234869, 0.2531980401624052, 0.004105938227109896 # SF
0.03684210526315789, 0.1, -1.1839175363279602, 0.02339170074688779, -0.1148872814895081 # MI
0.03684210526315789, 0.14736842105263157, -1.684453280827642, 0.09883692677858413, 0.1256405508053838 # MI
0.03684210526315789, 0.19473684210526315, -2.3963115583898267, 0.011143067133037587, -0.018280853395877754 # MI
0.03684210526315789, 0.24210526315789474, -2.962833944514125, 0.011142454095206866, 0.022572347422169355 # MI
0.03684210526315789, 0.2894736842105263, -3.533302945261295, 0.010813566946641928, 0.00017926283822457432 # MI
0.03684210526315789, 0.3368421052631579, -4.101204833077926, 0.011182372618061542, -0.01897234423184082 # MI
0.03684210526315789, 0.38421052631578945, -4.670145268848681, 0.01081375229031667, 4.342677182061542e-8 # MI
0.03684210526315789, 0.43157894736842106, -5.23856647312688, 0.010813752169899438, 6.288082054118179e-9 # MI
0.03684210526315789, 0.4789473684210526, -5.806987525758514, 0.010813752392161646, 8.006624117374603e-10 # MI
0.03684210526315789, 0.5263157894736842, -6.375408578389975, 0.010813752335715687, 2.2403209204899423e-9 # MI
0.03684210526315789, 0.5736842105263158, -6.94382962723321, 0.010813750833611468, 1.0710397627142688e-6 # MI
0.03684210526315789, 0.6210526315789474, -7.512250683495269, 0.010813752524392761, -8.517176142049109e-6 # MI
0.03684210526315789, 0.6684210526315789, -8.08067166644179, 0.010813538313464655, -0.0002820619801187214 # MI
0.03684210526315789, 0.7157894736842105, -8.649019685570725, 0.01089324051400764, -0.010918986816224168 # MI
0.03684210526315789, 0.7631578947368421, -9.21582912344795, 0.01080346115796793, -0.0033254808374033502 # MI
0.03684210526315789, 0.8105263157894737, -9.781355647380156, 0.027633200301762084, -0.1745396723520003 # MI
0.03684210526315789, 0.8578947368421053, -10.34289208409407, 0.08820444394983507, 0.36190085435678776 # MI
0.03684210526315789, 0.9052631578947369, -11.00861549342678, 0.2197371840247726, 0.42360847462303847 # MI
0.03684210526315789, 0.9526315789473684, -11.77114119147374, 0.255843516270025, 0.0002535515335020074 # SF
0.03684210526315789, 1.0, -12.60405355173673, 0.2619826093066342, -0.08478934811663491 # SF
0.05526315789473684, 0.1, -1.3001370326821482, 0.05664755854222148, 0.08017078708949167 # MI
0.05526315789473684, 0.14736842105263157, -1.8461945616040651, 0.05493944090686942, -0.20960133144955614 # MI
0.05526315789473684, 0.19473684210526315, -2.452867203224643, 0.024023575649561923, 0.011769326423993363 # MI
0.05526315789473684, 0.24210526315789474, -3.038502762761499, 0.024223461269054503, 0.0037468905033681147 # MI
0.05526315789473684, 0.2894736842105263, -3.604399461581377, 0.02426000638075132, 0.007648235326892481 # MI
0.05526315789473684, 0.3368421052631579, -4.175951414429512, 0.024199644496936124, -7.729733131740803e-6 # MI
0.05526315789473684, 0.38421052631578945, -4.744372591307449, 0.024199649883632768, 3.5206426980023937e-7 # MI
0.05526315789473684, 0.43157894736842106, -5.3127936448189494, 0.024199649383953803, 2.4466665186340365e-8 # MI
0.05526315789473684, 0.4789473684210526, -5.881214697413291, 0.024199648903847626, -3.704719894801631e-7 # MI
0.05526315789473684, 0.5263157894736842, -6.4496357500842425, 0.02419964851463874, 3.401328032305861e-8 # MI
0.05526315789473684, 0.5736842105263158, -7.018056377467888, 0.02420014386240621, -7.079992327751667e-5 # MI
0.05526315789473684, 0.6210526315789474, -7.586465713895848, 0.024199741940361452, -0.00043041818881683967 # MI
0.05526315789473684, 0.6684210526315789, -8.15403666699866, 0.02452972428558642, 0.03551085103096512 # MI
0.05526315789473684, 0.7157894736842105, -8.723014024097434, 0.02432501364399453, 0.018957500175548248 # MI
0.05526315789473684, 0.7631578947368421, -9.28350723955323, 0.062148817921086286, 0.2864370831241046 # MI
0.05526315789473684, 0.8105263157894737, -9.867505130192855, 0.18861144986577583, -0.06963642659677184 # MI
0.05526315789473684, 0.8578947368421053, -10.556672731835777, 0.21826534026375688, -0.04239409683042528 # MI
0.05526315789473684, 0.9052631578947369, -11.294761938157846, 0.2626072765343086, -0.3635217118374848 # MI
0.05526315789473684, 0.9526315789473684, -12.098249296444497, 0.2701866485778588, -0.33634277817895425 # SF
0.05526315789473684, 1.0, -12.957463868314505, 0.2739419757839703, 0.14348031112510093 # SF
0.07368421052631578, 0.1, -1.3995022809390818, 0.09585806719027401, 0.1947640480155108 # MI
0.07368421052631578, 0.14736842105263157, -1.8846276789832976, 0.2301760957109793, 0.15335630113076285 # MI
0.07368421052631578, 0.19473684210526315, -2.4706617253834753, 0.05195249117759737, 0.03917812339269048 # MI
0.07368421052631578, 0.24210526315789474, -3.122492175546165, 0.06472256864383541, -0.19597499200772878 # MI
0.07368421052631578, 0.2894736842105263, -3.7108782073573248, 0.0426837332533494, -0.0009161829191327269 # MI
0.07368421052631578, 0.3368421052631579, -4.279301134936988, 0.04267942797090041, 1.4387964833775789e-5 # MI
0.07368421052631578, 0.38421052631578945, -4.847722188793112, 0.04267945173461074, -1.9892209784348152e-7 # MI
0.07368421052631578, 0.43157894736842106, -5.416143241143819, 0.04267910893615534, 1.9079821670810708e-5 # MI
0.07368421052631578, 0.4789473684210526, -5.9845642940341754, 0.04267944579034366, -4.986806215025109e-7 # MI
0.07368421052631578, 0.5263157894736842, -6.552982647588673, 0.04267944591241357, 0.00020428376196103537 # MI
0.07368421052631578, 0.5736842105263158, -7.121355581454383, 0.042669621520759815, -0.013443083149164675 # MI
0.07368421052631578, 0.6210526315789474, -7.684164198027503, 0.048612945380148265, 0.12838118606185617 # MI
0.07368421052631578, 0.6684210526315789, -8.258247691429899, 0.04268028645370103, 0.0013190223940059234 # MI
0.07368421052631578, 0.7157894736842105, -8.822711417465726, 0.09200357231970302, -0.3372077504867534 # MI
0.07368421052631578, 0.7631578947368421, -9.429661012742434, 0.1801148659604488, -0.08566531855720397 # MI
0.07368421052631578, 0.8105263157894737, -10.105721729850295, 0.20696587348901518, -0.13216468309572932 # MI
0.07368421052631578, 0.8578947368421053, -10.854733434140984, 0.26618352959036073, 0.39254354079436626 # MI
0.07368421052631578, 0.9052631578947369, -11.642695334276823, 0.2820902390257518, -1.308371697750951e-6 # SF
0.07368421052631578, 0.9526315789473684, -12.471117865177245, 0.29118505475087364, 7.744435420670266e-6 # SF
0.07368421052631578, 1.0, -13.344466433927723, 0.2922551730925256, 3.718705392123982e-6 # SF
0.09210526315789473, 0.1, -1.590174156731867, 0.21178571466304785, 0.0862549424621708 # MI
0.09210526315789473, 0.14736842105263157, -2.121979493618138, 0.12730761813605185, -0.272972201564686 # MI
0.09210526315789473, 0.19473684210526315, -2.6274692112270337, 0.06725588394065996, 0.023660771476308125 # MI
0.09210526315789473, 0.24210526315789474, -3.2739646000884726, 0.06642978060384097, 0.03172652478557037 # MI
0.09210526315789473, 0.2894736842105263, -3.840148368763912, 0.06593696128729987, 0.005639629899903981 # MI
0.09210526315789473, 0.3368421052631579, -4.411172270189402, 0.06595807787145747, -4.369300384938526e-5 # MI
0.09210526315789473, 0.38421052631578945, -4.979593352764429, 0.06595762137850092, -2.9499179519532063e-6 # MI
