# Hubbard model DMRG. L=20, N=20, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-18T17:57:13.680]
0.0; 0.0; 4.245884112213729e-29; 0.1286067633969744; 0.3586178514755984 # SF
0.0; 0.02040816326530612; -0.4081632653061229; 0.0; 0.0 # MI
0.0; 0.04081632653061224; -0.8163265306122458; 0.0; 0.0 # MI
0.0; 0.061224489795918366; -1.224489795918366; 0.0; 0.0 # MI
0.0; 0.08163265306122448; -1.6326530612244903; 0.0; 0.0 # MI
0.0; 0.10204081632653061; -2.0408163265306114; 0.0; 0.0 # MI
0.0; 0.12244897959183673; -2.4489795918367365; 0.0; 0.0 # MI
0.0; 0.14285714285714285; -2.857142857142856; 0.0; 0.0 # MI
0.0; 0.16326530612244897; -3.2653061224489806; 0.0; 0.0 # MI
0.0; 0.1836734693877551; -3.6734693877551017; 0.0; 0.0 # MI
0.0; 0.20408163265306123; -4.081632653061223; 0.0; 0.0 # MI
0.0; 0.22448979591836735; -4.4897959183673475; 0.0; 0.0 # MI
0.0; 0.24489795918367346; -4.897959183673473; 0.0; 0.0 # MI
0.0; 0.2653061224489796; -5.306122448979593; 0.0; 0.0 # MI
0.0; 0.2857142857142857; -5.714285714285713; 0.0; 0.0 # MI
0.0; 0.30612244897959184; -6.1224489795918355; 0.0; 0.0 # MI
0.0; 0.32653061224489793; -6.530612244897961; 0.0; 0.0 # MI
0.0; 0.3469387755102041; -6.938775510204083; 0.0; 0.0 # MI
0.0; 0.3673469387755102; -7.346938775510203; 0.0; 0.0 # MI
0.0; 0.3877551020408163; -7.755102040816324; 0.0; 0.0 # MI
0.0; 0.40816326530612246; -8.163265306122446; 0.0; 0.0 # MI
0.0; 0.42857142857142855; -8.571428571428575; 0.0; 0.0 # MI
0.0; 0.4489795918367347; -8.979591836734695; 0.0; 0.0 # MI
0.0; 0.46938775510204084; -9.387755102040815; 0.0; 0.0 # MI
0.0; 0.4897959183673469; -9.795918367346939; 0.0; 0.0 # MI
0.0; 0.5102040816326531; -10.204081632653054; 0.0; 0.0 # MI
0.0; 0.5306122448979592; -10.612244897959187; 0.0; 0.0 # MI
0.0; 0.5510204081632653; -11.020408163265301; 0.0; 0.0 # MI
0.0; 0.5714285714285714; -11.428571428571425; 0.0; 0.0 # MI
0.0; 0.5918367346938775; -11.836734693877556; 0.0; 0.0 # MI
0.0; 0.6122448979591837; -12.244897959183671; 0.0; 0.0 # MI
0.0; 0.6326530612244898; -12.653061224489797; 0.0; 0.0 # MI
0.0; 0.6530612244897959; -13.061224489795922; 0.0; 0.0 # MI
0.0; 0.673469387755102; -13.469387755102037; 0.0; 0.0 # MI
0.0; 0.6938775510204082; -13.877551020408166; 0.0; 0.0 # MI
0.0; 0.7142857142857143; -14.285714285714295; 0.0; 0.0 # MI
0.0; 0.7346938775510204; -14.693877551020407; 0.0; 0.0 # MI
0.0; 0.7551020408163265; -15.102040816326534; 0.0; 0.0 # MI
0.0; 0.7755102040816326; -15.510204081632647; 0.0; 0.0 # MI
0.0; 0.7959183673469388; -15.918367346938778; 0.0; 0.0 # MI
0.0; 0.8163265306122449; -16.32653061224489; 0.0; 0.0 # MI
0.0; 0.8367346938775511; -16.73469387755102; 0.0; 0.0 # MI
0.0; 0.8571428571428571; -17.14285714285715; 0.0; 0.0 # MI
0.0; 0.8775510204081632; -17.551020408163257; 0.0; 0.0 # MI
0.0; 0.8979591836734694; -17.95918367346939; 0.0; 0.0 # MI
0.0; 0.9183673469387755; -18.36734693877552; 0.0; 0.0 # MI
0.0; 0.9387755102040817; -18.77551020408163; 0.0; 0.0 # MI
0.0; 0.9591836734693877; -19.183673469387756; 0.0; 0.0 # MI
0.0; 0.9795918367346939; -19.591836734693878; 0.0; 0.0 # MI
0.0; 1.0; -20.0; 0.0; 0.0 # MI
0.007142857142857143; 0.0; -0.05914299859895732; 0.16155186227629728; -0.09292935848305518 # SF
0.007142857142857143; 0.02040816326530612; -0.41204058706392477; 0.00040810068684371537; -1.9455710778770327e-12 # MI
0.007142857142857143; 0.04081632653061224; -0.8202038523700876; 0.00040810068682772815; 4.619214938129228e-13 # MI
0.007142857142857143; 0.061224489795918366; -1.2283671176762194; 0.00040810068691432555; -3.846570385442014e-14 # MI
0.007142857142857143; 0.08163265306122448; -1.636530382982289; 0.0004081006871810011; 3.901744799597853e-13 # MI
0.007142857142857143; 0.10204081632653061; -2.0446936482884137; 0.00040810068782826114; -5.974210006146027e-13 # MI
0.007142857142857143; 0.12244897959183673; -2.4528569135945437; 0.000408100687230073; -1.6194562633481458e-13 # MI
0.007142857142857143; 0.14285714285714285; -2.8610201789005183; 0.00040810068760488427; -4.871456267064085e-15 # MI
0.007142857142857143; 0.16326530612244897; -3.2691834442067726; 0.0004081006872556081; -1.97141170789261e-14 # MI
0.007142857142857143; 0.1836734693877551; -3.6773467095128125; 0.0004081006875358284; 2.896946708873805e-14 # MI
0.007142857142857143; 0.20408163265306123; -4.085509974818923; 0.00040810068751717665; -1.211621730063494e-14 # MI
0.007142857142857143; 0.22448979591836735; -4.493673240125062; 0.00040810068815932965; 2.2496576729351676e-15 # MI
0.007142857142857143; 0.24489795918367346; -4.901836505431069; 0.00040810068753960316; 1.2844417895659257e-16 # MI
0.007142857142857143; 0.2653061224489796; -5.3099997707371465; 0.00040810068790797516; -1.9829691788269294e-16 # MI
0.007142857142857143; 0.2857142857142857; -5.718163036043304; 0.000408100688798152; -2.0469105829919517e-16 # MI
0.007142857142857143; 0.30612244897959184; -6.126326301349465; 0.0004081006887817207; -6.359577735397534e-15 # MI
0.007142857142857143; 0.32653061224489793; -6.5344895666555445; 0.00040810068758978524; -7.997395489012901e-18 # MI
0.007142857142857143; 0.3469387755102041; -6.942652831961582; 0.00040810068837826563; -3.8313747019393584e-16 # MI
0.007142857142857143; 0.3673469387755102; -7.350816097267659; 0.000408100688335411; -3.074818222672704e-16 # MI
0.007142857142857143; 0.3877551020408163; -7.75897936257387; 0.0004081006882636906; 1.1877727051689964e-15 # MI
0.007142857142857143; 0.40816326530612246; -8.16714262788001; 0.00040810068873886607; -1.3005475179371158e-16 # MI
0.007142857142857143; 0.42857142857142855; -8.575305893186078; 0.0004081006884408822; 4.1577228948597904e-17 # MI
0.007142857142857143; 0.4489795918367347; -8.983469158492186; 0.000408100688504609; 2.2771226822877106e-15 # MI
0.007142857142857143; 0.46938775510204084; -9.391632423798328; 0.0004081006884617544; -2.6581666694212902e-15 # MI
0.007142857142857143; 0.4897959183673469; -9.799795689104382; 0.00040810068825636314; 2.248273323520026e-14 # MI
0.007142857142857143; 0.5102040816326531; -10.207958954410527; 0.0004081006884930627; 9.267402029146631e-15 # MI
0.007142857142857143; 0.5306122448979592; -10.616122219716592; 0.00040810068876018235; 4.2710897963288e-13 # MI
0.007142857142857143; 0.5510204081632653; -11.024285485022745; 0.00040810068872776384; 3.4040863833675093e-13 # MI
0.007142857142857143; 0.5714285714285714; -11.432448750328856; 0.00040810068862717763; 5.476905089372758e-13 # MI
0.007142857142857143; 0.5918367346938775; -11.840612015634981; 0.00040810068854502113; -9.929592397215329e-13 # MI
0.007142857142857143; 0.6122448979591837; -12.248775280941063; 0.00040810068910057673; 1.0907810177966274e-11 # MI
0.007142857142857143; 0.6326530612244898; -12.6569385462472; 0.0004081006887768357; -3.025121081082101e-12 # MI
0.007142857142857143; 0.6530612244897959; -13.065101811553312; 0.0004081006890168659; 1.3895941093294347e-11 # MI
0.007142857142857143; 0.673469387755102; -13.47326507685945; 0.0004081006888470018; -3.204511840433641e-11 # MI
0.007142857142857143; 0.6938775510204082; -13.88142834216559; 0.0004081006887182159; 3.045538038882079e-11 # MI
0.007142857142857143; 0.7142857142857143; -14.289591607471682; 0.0004081006890481742; 3.5797974362074e-11 # MI
