# Hubbard model DMRG. L=10, N=10, nmax=4
# NOTE: Different DMRG settings have been used for MI and SF. Calculation performed on central site.
# J; μ; E; n_variance; <a> [calculated 2025-02-18T10:01:16.157]
0.0; 0.0; 2.6314606670221757e-29; 0.23536585775139302; 0.4851451924438632 # SF
0.0; 0.034482758620689655; -0.34482758620689613; 0.0; 0.0 # MI
0.0; 0.06896551724137931; -0.6896551724137934; 0.0; 0.0 # MI
0.0; 0.10344827586206896; -1.0344827586206895; 0.0; 0.0 # MI
0.0; 0.13793103448275862; -1.3793103448275867; 0.0; 0.0 # MI
0.0; 0.1724137931034483; -1.724137931034483; 0.0; 0.0 # MI
0.0; 0.20689655172413793; -2.068965517241379; 0.0; 0.0 # MI
0.0; 0.2413793103448276; -2.413793103448276; 0.0; 0.0 # MI
0.0; 0.27586206896551724; -2.758620689655173; 0.0; 0.0 # MI
0.0; 0.3103448275862069; -3.1034482758620685; 0.0; 0.0 # MI
0.0; 0.3448275862068966; -3.448275862068966; 0.0; 0.0 # MI
0.0; 0.3793103448275862; -3.7931034482758625; 0.0; 0.0 # MI
0.0; 0.41379310344827586; -4.137931034482758; 0.0; 0.0 # MI
0.0; 0.4482758620689655; -4.482758620689654; 0.0; 0.0 # MI
0.0; 0.4827586206896552; -4.827586206896552; 0.0; 0.0 # MI
0.0; 0.5172413793103449; -5.172413793103448; 0.0; 0.0 # MI
0.0; 0.5517241379310345; -5.517241379310346; 0.0; 0.0 # MI
0.0; 0.5862068965517241; -5.862068965517242; 0.0; 0.0 # MI
0.0; 0.6206896551724138; -6.206896551724137; 0.0; 0.0 # MI
0.0; 0.6551724137931034; -6.551724137931033; 0.0; 0.0 # MI
0.0; 0.6896551724137931; -6.896551724137932; 0.0; 0.0 # MI
0.0; 0.7241379310344828; -7.241379310344826; 0.0; 0.0 # MI
0.0; 0.7586206896551724; -7.586206896551725; 0.0; 0.0 # MI
0.0; 0.7931034482758621; -7.931034482758621; 0.0; 0.0 # MI
0.0; 0.8275862068965517; -8.275862068965516; 0.0; 0.0 # MI
0.0; 0.8620689655172413; -8.620689655172413; 0.0; 0.0 # MI
0.0; 0.896551724137931; -8.965517241379308; 0.0; 0.0 # MI
0.0; 0.9310344827586207; -9.310344827586208; 0.0; 0.0 # MI
0.0; 0.9655172413793104; -9.655172413793103; 0.0; 0.0 # MI
0.0; 1.0; -10.0; 0.0; 0.0 # MI
0.01206896551724138; 0.0; -0.058613432830223786; 0.17507837064506304; 0.2302351986464176 # SF
0.01206896551724138; 0.034482758620689655; -0.35007032333968136; 0.0011647677635020504; -1.623913092678222e-11 # MI
0.01206896551724138; 0.06896551724137931; -0.6948979095476675; 0.001164767798380817; -1.0781369260892053e-12 # MI
0.01206896551724138; 0.10344827586206896; -1.0397254957531006; 0.0011647678095907388; -4.136689531009208e-14 # MI
0.01206896551724138; 0.13793103448275862; -1.3845530819595346; 0.001164767788315535; 2.745508977313153e-14 # MI
0.01206896551724138; 0.1724137931034483; -1.7293806681672255; 0.0011647678136610384; -2.3669127673004777e-14 # MI
