# J, μUp(∞), μDown(∞), error_μUp(∞), error_μDown(∞), chi2_plus, chi2_minus
0.05714285714285714,0.7736231777767232,1.0978449216274153,0.00044948178793533097,0.0002584387984384137,2.578998081668235e-6,8.525939490112506e-7
0.06428571428571428,0.7460342255231498,1.0869369507253834,0.0005072884596962969,0.0002858830687942368,3.285010673721582e-6,1.0432867465998262e-6
0.07142857142857142,0.7186616960745933,1.0764789836466186,0.0005692318506103737,0.0003125573689711742,4.1362349947972325e-6,1.2470570002512657e-6
0.07857142857142857,0.691516864188486,1.0664976592173858,0.0006337446044277709,0.00034302822476032667,5.126906171273403e-6,1.50205740694777e-6
0.08571428571428572,0.6646140347690402,1.0569953801896566,0.0007000398001488192,0.00037285947703187994,6.255647719978478e-6,1.774668300602971e-6
0.09285714285714286,0.6379690705906602,1.047998420349297,0.0007667258035712413,0.00040396565390600134,7.504244548228808e-6,2.0831267870165615e-6
0.1,0.6116011070727368,1.0395179197014173,0.0008327075318832918,0.0004328943230777203,8.85139670399957e-6,2.3921620749695927e-6
0.10714285714285714,0.5855316753239543,1.0315751570020908,0.0008969664716817777,0.0004586075446704424,1.0270207986580624e-5,2.684783128211238e-6
0.11428571428571428,0.5597827865199815,1.024193686555542,0.0009578373261134682,0.00047975171237616467,1.1711440974595759e-5,2.9380547653946915e-6
0.12142857142857143,0.5343808611755936,1.017399808926852,0.001013658256998167,0.0004946985604853836,1.3116257807025009e-5,3.123979051591853e-6
0.12857142857142856,0.5093518772170369,1.011220028922603,0.0010619522031189083,0.0005013132001210514,1.4395831681630466e-5,3.2080793376107016e-6
0.1357142857142857,0.4847292444606793,1.0056879421198546,0.0011005597158665974,0.0004979588330028008,1.5461586127107864e-5,3.1652914206049605e-6
0.14285714285714285,0.46054696847596804,1.0008375191131458,0.0011264750346714678,0.00048243823591698714,1.619831954490166e-5,2.971052055491526e-6
0.15,0.4368428134718699,0.9967059502204363,0.00113683649758919,0.000452940857933268,1.649767848503638e-5,2.6188451298603033e-6
0.15714285714285714,0.4136593143592225,0.9933341713613315,0.0011285792346546783,0.000407820662253248,1.6258891393588116e-5,2.1230746794349127e-6
0.16428571428571428,0.3910440325455894,0.9907669201921356,0.0010993289785259516,0.00034658041900587896,1.542702460068346e-5,1.5333272874308511e-6
0.17142857142857143,0.36904554117220284,0.9890489384787732,0.0010469690800871114,0.0002700129219138357,1.3992474740546405e-5,9.306704329404746e-7
0.17857142857142858,0.3477170133509178,0.9882275629652514,0.000970968302195669,0.00018446832127306864,1.2034745880267523e-5,4.34380589844957e-7
0.18571428571428572,0.3271127010803137,0.9883496655503978,0.0008723573668398114,0.00011934950889590207,9.714393367759992e-6,1.8183106911417405e-7
0.19285714285714287,0.30728481111282824,0.9894583526949288,0.0007546151728969215,0.00015322035339676666,7.269053848644201e-6,2.9968136568031343e-7
0.2,0.2882801991478088,0.9915898186376846,0.0006235494736249011,0.000259813247008942,4.963278597536271e-6,8.616867217502809e-7
0.20714285714285716,0.2701357951787758,0.9947694774076089,0.0004877151545912965,0.0003800626670788731,3.0364023619739035e-6,1.843899484950844e-6
0.21428571428571427,0.2528715444800926,0.9990052217723705,0.00035724947399457825,0.0004930089682568218,1.6291835476342305e-6,3.102676231980856e-6
0.22142857142857142,0.2364838092775106,1.0042822615494236,0.00024262816352584892,0.0005865671527869261,7.514658372779019e-7,4.391999663457491e-6
0.22857142857142856,0.22093965635583113,1.0105583501360857,0.00015244110261634767,0.0006527454242971337,2.966408674543118e-7,5.438942804602937e-6
